"metrica","valor"
"n_linhas","306"
"n_colunas_entrada","74"
"n_colunas_validas","73"
"n_degeneradas","2"
"n_somente_na","0"
"n_variancia_zero","1"
"n_near_zero_var","1"
"nzv_aplicado","sim"
