"PROFICIENCIA_MT_SAEB","TX_RESP_Q10a_num","TX_RESP_Q10c_num","TX_RESP_Q10d_num","TX_RESP_Q22c_num","TX_RESP_Q22d_num","TX_RESP_Q22e_num","TX_RESP_Q23e_num"
-1.69135198185455,-1.06715675015986,0.258198889747162,0.356753034006338,0.354245954216038,0.428746462856272,-1.91292294501069,0
-1.05529855502206,-1.06715675015986,-3.61478445646026,-1.42701213602535,-1.15129935120212,0.428746462856272,0.869510429550315,-1.36930639376292
-0.792693684137653,0.582085500087199,NA,NA,0.354245954216038,0.428746462856272,0.869510429550315,0
-0.450911667527135,-1.06715675015986,0.258198889747162,0.356753034006338,-1.15129935120212,-1.02899151085505,-0.521706257730189,-1.36930639376292
-1.10354434917679,0.582085500087199,0.258198889747162,-3.21077730605704,-1.15129935120212,-1.02899151085505,-0.521706257730189,-1.36930639376292
1.30999574950204,2.23132775033426,0.258198889747162,0.356753034006338,1.8597912596342,1.8864844365676,2.26072711683082,1.36930639376292
1.13298400654988,0.582085500087199,0.258198889747162,0.356753034006338,0.354245954216038,1.8864844365676,0.869510429550315,0
-0.303200002235236,-1.06715675015986,NA,NA,1.8597912596342,-1.02899151085505,NA,NA
1.12996116447558,0.582085500087199,0.258198889747162,0.356753034006338,0.354245954216038,0.428746462856272,-0.521706257730189,0
1.09220897715439,0.582085500087199,0.258198889747162,0.356753034006338,0.354245954216038,0.428746462856272,0.869510429550315,1.36930639376292
-0.492063484998799,0.582085500087199,0.258198889747162,0.356753034006338,-1.15129935120212,0.428746462856272,-0.521706257730189,-1.36930639376292
NA,NA,NA,NA,NA,NA,NA,NA
0.93903350810524,-1.06715675015986,0.258198889747162,0.356753034006338,-1.15129935120212,-1.02899151085505,-0.521706257730189,0
-0.526834918789179,0.582085500087199,0.258198889747162,0.356753034006338,-1.15129935120212,-1.02899151085505,-0.521706257730189,1.36930639376292
0.325535967212835,-1.06715675015986,0.258198889747162,0.356753034006338,0.354245954216038,-1.02899151085505,-0.521706257730189,0
-0.447502321664237,0.582085500087199,0.258198889747162,0.356753034006338,0.354245954216038,0.428746462856272,0.869510429550315,0
-0.598803623991584,-1.06715675015986,0.258198889747162,0.356753034006338,0.354245954216038,-1.02899151085505,-0.521706257730189,1.36930639376292
1.53248521639726,0.582085500087199,0.258198889747162,0.356753034006338,0.354245954216038,0.428746462856272,-0.521706257730189,0
NA,NA,NA,NA,NA,NA,NA,NA
