Modelo,AIC_MT,BIC_MT,R2_Marginal_MT,R2_Condicional_MT,AIC_LP,BIC_LP,R2_Marginal_LP,R2_Condicional_LP
Nulo,2642233.0935831894,2642262.346006781,NA,1.6022588316847832e-4,2667834.5118289995,2667863.764252591,NA,NA
Modelo 1 (INSE),2642225.903909137,2642264.9071405926,6.551399853105355e-6,1.7679753083584563e-4,2667826.7691320125,2667865.772363468,9.32042083320914e-6,NA
Modelo 2 (INSE + Contexto),2642217.6618876066,2642266.415926926,7.902762058767054e-6,1.9344028435728665e-4,2667818.339446508,2667867.093485827,1.0577354206533618e-5,NA
