"PROFICIENCIA_MT_SAEB","TX_RESP_Q10a_num","TX_RESP_Q10d_num","TX_RESP_Q10e_num","TX_RESP_Q10f_num","TX_RESP_Q21a_num","TX_RESP_Q21e_num","TX_RESP_Q23e_num","TX_RESP_Q23i_num","TX_RESP_Q19_num"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.13441917814017,-1.11269728052837,-0.884282131006867,0.267261241912425,-0.223374237314982,0.640512615220348,0.75955452531275,0.370138274054947,0.609449400220044,-0.385164443259822
0.937701552953912,-1.11269728052837,-2.43177586026888,0.267261241912425,-0.223374237314982,0.640512615220348,0.75955452531275,2.0974502196447,0.609449400220044,-0.385164443259822
-0.198225627489558,-1.11269728052837,0.66321159825515,0.267261241912425,-0.223374237314982,0.640512615220348,0.75955452531275,0.370138274054947,0.609449400220044,-0.385164443259822
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.286907007703431,1.48359637403783,0.66321159825515,0.267261241912425,-1.67530677986236,0.640512615220348,-0.227866357593825,0.370138274054947,0.609449400220044,-0.385164443259822
0.901927953496928,-1.11269728052837,0.66321159825515,0.267261241912425,NA,-1.44115338424578,0.75955452531275,-1.3571736715348,0.609449400220044,-0.385164443259822
1.50443181918611,0.185449546754729,-0.884282131006867,0.267261241912425,1.2285583052324,0.640512615220348,-0.227866357593825,0.370138274054947,-1.52362350055011,-0.385164443259822
-2.03970046929058,0.185449546754729,0.66321159825515,0.267261241912425,-0.223374237314982,-1.44115338424578,-2.20270812340697,-1.3571736715348,-1.52362350055011,1.28388147753274
0.269871490871963,0.185449546754729,0.66321159825515,0.267261241912425,-0.223374237314982,NA,NA,0.370138274054947,0.609449400220044,NA
-0.307288254944786,0.185449546754729,0.66321159825515,0.267261241912425,1.2285583052324,-1.44115338424578,-1.2152872405004,-1.3571736715348,-1.52362350055011,-0.385164443259822
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.1584824069331,-1.11269728052837,-0.884282131006867,0.267261241912425,-0.223374237314982,0.640512615220348,0.75955452531275,0.370138274054947,0.609449400220044,-0.385164443259822
-1.80940155734886,1.48359637403783,-0.884282131006867,-3.47439614486152,-1.67530677986236,0.640512615220348,-1.2152872405004,-1.3571736715348,-1.52362350055011,2.9529273983253
0.00227239578990279,0.185449546754729,0.66321159825515,0.267261241912425,1.2285583052324,0.640512615220348,0.75955452531275,0.370138274054947,0.609449400220044,-0.385164443259822
0.0859317711832336,0.185449546754729,0.66321159825515,0.267261241912425,-0.223374237314982,0.640512615220348,-0.227866357593825,0.370138274054947,0.609449400220044,-0.385164443259822
-0.0365508379119116,1.48359637403783,0.66321159825515,0.267261241912425,1.2285583052324,-1.44115338424578,0.75955452531275,0.370138274054947,0.609449400220044,-0.385164443259822
