"PROFICIENCIA_LP_SAEB","TX_RESP_Q21a_num","TX_RESP_Q21b_num","TX_RESP_Q22f_num"
-0.189550894957882,1.57233251936452,1.15041963666757,1.31627356143751
0.14061223696102,1.57233251936452,-1.07242508502909,-0.961892217973566
NA,NA,NA,NA
0.777447178922931,0.557924442355153,1.15041963666757,-0.961892217973566
1.31495842087235,0.557924442355153,1.15041963666757,NA
0.901510397783275,-0.456483634654216,1.15041963666757,-0.961892217973566
-0.409203564956607,-0.456483634654216,1.15041963666757,0.177190671731973
0.309509321719854,-1.47089171166359,0.409471396102016,-0.961892217973566
NA,NA,NA,NA
-0.323053722403616,NA,NA,-0.961892217973566
0.139320545100276,0.557924442355153,0.409471396102016,1.31627356143751
0.176523356249017,NA,NA,0.177190671731973
1.01167218025198,1.57233251936452,1.15041963666757,0.177190671731973
-0.0823967428861056,-1.47089171166359,-1.07242508502909,1.31627356143751
1.00609346338722,-0.456483634654216,-1.07242508502909,-0.961892217973566
0.746219015044131,1.57233251936452,NA,-0.961892217973566
-0.441526870449524,-0.456483634654216,-0.331476844463537,1.31627356143751
NA,-0.456483634654216,-0.331476844463537,1.31627356143751
0.452739945691123,NA,NA,NA
1.7273415223765,1.57233251936452,1.15041963666757,-0.961892217973566
-1.71941105921631,-1.47089171166359,-1.07242508502909,1.31627356143751
-0.506284070963304,-0.456483634654216,-1.07242508502909,-0.961892217973566
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
-0.971178383614443,-1.47089171166359,-1.07242508502909,1.31627356143751
NA,NA,NA,NA
1.34582469904401,1.57233251936452,1.15041963666757,-0.961892217973566
0.988245140254302,NA,NA,-0.961892217973566
NA,NA,NA,NA
0.11770205893824,0.557924442355153,0.409471396102016,0.177190671731973
-0.834312643192477,NA,NA,0.177190671731973
-1.66295769499891,-0.456483634654216,1.15041963666757,1.31627356143751
NA,NA,NA,NA
0.483442757859242,-0.456483634654216,1.15041963666757,0.177190671731973
-1.38624597387532,NA,-1.07242508502909,-0.961892217973566
0.475844770201594,-0.456483634654216,-1.07242508502909,-0.961892217973566
-1.73063841749692,-0.456483634654216,-1.07242508502909,1.31627356143751
-1.47198477600854,-1.47089171166359,-1.07242508502909,-0.961892217973566
NA,NA,NA,NA
0.381646212200265,0.557924442355153,-1.07242508502909,1.31627356143751
0.71195296643725,0.557924442355153,-0.331476844463537,-0.961892217973566
1.80111878416913,0.557924442355153,1.15041963666757,-0.961892217973566
-0.190299243728477,-0.456483634654216,-1.07242508502909,0.177190671731973
NA,NA,NA,NA
-0.608282809541781,0.557924442355153,NA,1.31627356143751
-1.16537059326297,NA,NA,-0.961892217973566
NA,NA,NA,NA
-0.0747609716164762,-1.47089171166359,-0.331476844463537,0.177190671731973
NA,NA,NA,NA
-0.0470374392730589,-1.47089171166359,1.15041963666757,-2.10097510767911
0.895038749374877,0.557924442355153,NA,0.177190671731973
NA,NA,NA,NA
-1.50837403035547,-0.456483634654216,-0.331476844463537,1.31627356143751
2.08010676639062,0.557924442355153,-1.07242508502909,-0.961892217973566
-1.48039254725209,-0.456483634654216,0.409471396102016,1.31627356143751
-0.19548961092183,0.557924442355153,-1.07242508502909,0.177190671731973
0.65555534290934,-0.456483634654216,1.15041963666757,0.177190671731973
-0.399395450385267,-0.456483634654216,-1.07242508502909,0.177190671731973
NA,NA,NA,NA
-1.24227832078117,1.57233251936452,1.15041963666757,0.177190671731973
