"PROFICIENCIA_MT_SAEB","TX_RESP_Q21b_num","TX_RESP_Q23g_num"
-0.12920869201333,1.00118133532036,1.5890757729881
-0.12760927664275,0.250295333830089,-0.483631756996379
NA,NA,NA
NA,NA,NA
-0.12689619947013,NA,1.5890757729881
-0.127360905345884,NA,1.5890757729881
-0.126616889780148,-1.25147666915045,-0.483631756996379
-0.127243348053871,1.00118133532036,-1.51998552198862
NA,NA,NA
-0.128504957308597,-1.25147666915045,-0.483631756996379
-0.127547486441831,1.00118133532036,0.552722007995862
-0.128412841878153,-1.25147666915045,-1.51998552198862
-0.128463888979267,1.00118133532036,0.552722007995862
-0.127234455393406,1.00118133532036,-0.483631756996379
-0.128952873812605,1.00118133532036,1.5890757729881
-0.128761380123431,0.250295333830089,-0.483631756996379
-0.127771761635333,1.00118133532036,0.552722007995862
NA,NA,NA
-0.128606410321511,1.00118133532036,-1.51998552198862
-0.127489449550598,-1.25147666915045,0.552722007995862
-0.128649748429171,-0.500590667660178,-1.51998552198862
-0.128574133454699,-1.25147666915045,0.552722007995862
-0.128677564931079,NA,0.552722007995862
-0.127742206840602,1.00118133532036,1.5890757729881
-0.128659599198638,NA,1.5890757729881
-0.1271552273033,-1.25147666915045,-0.483631756996379
-0.128345798980394,NA,-1.51998552198862
-0.129716061896287,0.250295333830089,0.552722007995862
NA,NA,NA
-0.127201799448685,1.00118133532036,-0.483631756996379
-0.126410738768026,-1.25147666915045,-0.483631756996379
-0.129113887465567,1.00118133532036,-0.483631756996379
-0.130445310435265,1.00118133532036,0.552722007995862
-0.129027138121645,-1.25147666915045,-1.51998552198862
-0.129310743555389,1.00118133532036,1.5890757729881
-0.128158362151124,-0.500590667660178,1.5890757729881
NA,NA,NA
NA,NA,NA
-0.127656353447461,1.00118133532036,-0.483631756996379
-0.127819591775876,1.00118133532036,-0.483631756996379
NA,NA,NA
-0.127693845192743,1.00118133532036,-0.483631756996379
NA,NA,NA
-0.126498270738478,NA,0.552722007995862
-0.127131949158507,1.00118133532036,0.552722007995862
-0.128958601921693,1.00118133532036,-0.483631756996379
-0.126976132129127,-1.25147666915045,-0.483631756996379
-0.12667893354299,-1.25147666915045,-1.51998552198862
-0.128714565408314,-1.25147666915045,0.552722007995862
-0.125497731159963,0.250295333830089,-0.483631756996379
-0.129621115954928,1.00118133532036,0.552722007995862
-0.127218582713658,0.250295333830089,0.552722007995862
-0.126953296485439,-1.25147666915045,-1.51998552198862
-0.126787395844076,-1.25147666915045,-0.483631756996379
-0.1296428337757,0.250295333830089,1.5890757729881
7.6822086569695,-1.25147666915045,-0.483631756996379
NA,NA,NA
-0.129951656799788,1.00118133532036,0.552722007995862
-0.129061137403671,1.00118133532036,0.552722007995862
-0.127287956370234,-1.25147666915045,0.552722007995862
-0.129058787168613,-0.500590667660178,-0.483631756996379
-0.127909784837922,1.00118133532036,-1.51998552198862
-0.127653980050286,-1.25147666915045,-0.483631756996379
-0.126702351881834,-1.25147666915045,-0.483631756996379
-0.129037305832611,1.00118133532036,0.552722007995862
-0.129115839102854,0.250295333830089,0.552722007995862
-0.127886315311237,0.250295333830089,-1.51998552198862
-0.127757237178308,-0.500590667660178,-0.483631756996379
NA,NA,NA
NA,NA,NA
-0.126243363122978,-1.25147666915045,NA
-0.128023223111809,NA,-0.483631756996379
-0.128801381817686,-0.500590667660178,1.5890757729881
