"PROFICIENCIA_MT_SAEB","TX_RESP_Q10a_num","TX_RESP_Q10e_num","TX_RESP_Q21b_num","TX_RESP_Q21c_num","TX_RESP_Q22a_num","TX_RESP_Q22b_num","TX_RESP_Q22f_num","TX_RESP_Q23b_num","TX_RESP_Q23d_num","TX_RESP_Q23g_num","TX_RESP_Q23h_num","TX_RESP_Q23i_num","TX_RESP_Q19_num","TX_RESP_Q20_num"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.628092457094633,-1.12464311423107,0.301511344577763,1.5,0.316227766016838,0.936281675898539,-0.539359889970594,-0.833476259898716,0.720749970156447,-1.26131244777378,0.20806259464412,0.870388279778489,-0.870388279778489,-0.572077553547355,-0.474341649025257
1.26995279095731,0.42174116783665,0.301511344577763,0,-0.737864787372622,-1.35240686518678,0.943879807448539,0.185216946644159,-1.26131244777378,0.720749970156447,1.35240686518678,0.870388279778489,1.04446593573419,-0.572077553547355,-0.474341649025257
1.45248885423561,0.42174116783665,-3.01511344577764,NA,NA,-1.35240686518678,-2.02259958738973,-0.833476259898716,0.720749970156447,-1.26131244777378,0.20806259464412,0.870388279778489,1.04446593573419,NA,NA
0.603540650814134,0.42174116783665,0.301511344577763,-1.5,0.316227766016838,-0.20806259464412,-0.539359889970594,0.185216946644159,0.720749970156447,0.720749970156447,1.35240686518678,0.870388279778489,1.04446593573419,-0.572077553547355,-0.474341649025257
-1.31974293847895,-1.12464311423107,0.301511344577763,0,1.3703203194063,0.936281675898539,-0.539359889970594,1.20391015318703,0.720749970156447,0.720749970156447,0.20806259464412,-1.04446593573419,-0.870388279778489,-0.572077553547355,-0.474341649025257
-0.783696214995056,-1.12464311423107,0.301511344577763,0,1.3703203194063,0.936281675898539,0.943879807448539,1.20391015318703,0.720749970156447,0.720749970156447,-2.0806259464412,0.870388279778489,-0.870388279778489,-0.572077553547355,-0.474341649025257
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.08468802633791,0.42174116783665,0.301511344577763,-1.5,0.316227766016838,-1.35240686518678,-0.539359889970594,-1.85216946644159,-1.26131244777378,-1.26131244777378,0.20806259464412,-1.04446593573419,-0.870388279778489,0.858116330321033,1.89736659610103
0.365987020153392,0.42174116783665,0.301511344577763,0,-0.737864787372622,0.936281675898539,0.943879807448539,1.20391015318703,0.720749970156447,0.720749970156447,-0.936281675898539,0.870388279778489,1.04446593573419,2.28831021418942,1.89736659610103
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.23417151038641,0.42174116783665,0.301511344577763,0,-0.737864787372622,-0.20806259464412,0.943879807448539,0.185216946644159,0.720749970156447,0.720749970156447,0.20806259464412,-1.04446593573419,-0.870388279778489,-0.572077553547355,-0.474341649025257
-0.392513720328154,1.96812544990437,0.301511344577763,0,0.316227766016838,-0.20806259464412,-0.539359889970594,-0.833476259898716,-1.26131244777378,-1.26131244777378,-0.936281675898539,-1.04446593573419,-0.870388279778489,-0.572077553547355,-0.474341649025257
-0.418440501215156,-1.12464311423107,0.301511344577763,1.5,-1.79195734076208,0.936281675898539,0.943879807448539,0.185216946644159,-1.26131244777378,0.720749970156447,0.20806259464412,-1.04446593573419,1.04446593573419,0.858116330321033,-0.474341649025257
