"Variavel","N_Total","N_NA","Pct_NA"
"TX_RESP_Q10e_num",40,7,17.5
"TX_RESP_Q10f_num",40,6,15
"TX_RESP_Q10a_num",40,5,12.5
"TX_RESP_Q10b_num",40,5,12.5
"TX_RESP_Q10d_num",40,5,12.5
"TX_RESP_Q22g_num",40,5,12.5
"TX_RESP_Q10c_num",40,4,10
"TX_RESP_Q21a_num",40,4,10
"TX_RESP_Q21b_num",40,4,10
"TX_RESP_Q21c_num",40,4,10
"TX_RESP_Q21d_num",40,4,10
"TX_RESP_Q21e_num",40,4,10
"TX_RESP_Q22a_num",40,4,10
"TX_RESP_Q22b_num",40,4,10
"TX_RESP_Q22c_num",40,4,10
"TX_RESP_Q22d_num",40,4,10
"TX_RESP_Q22e_num",40,4,10
"TX_RESP_Q22f_num",40,4,10
"TX_RESP_Q22h_num",40,4,10
"TX_RESP_Q23a_num",40,4,10
"TX_RESP_Q23b_num",40,4,10
"TX_RESP_Q23c_num",40,4,10
"TX_RESP_Q23d_num",40,4,10
"TX_RESP_Q23e_num",40,4,10
"TX_RESP_Q23f_num",40,4,10
"TX_RESP_Q23g_num",40,4,10
"TX_RESP_Q23h_num",40,4,10
"TX_RESP_Q23i_num",40,4,10
"TX_RESP_Q19_num",40,4,10
"TX_RESP_Q20_num",40,4,10
"TX_RESP_Q01",40,0,0
"TX_RESP_Q02",40,0,0
"TX_RESP_Q03",40,0,0
"TX_RESP_Q04",40,0,0
"TX_RESP_Q05a",40,0,0
"TX_RESP_Q05b",40,0,0
"TX_RESP_Q05c",40,0,0
"TX_RESP_Q06",40,0,0
"TX_RESP_Q07a",40,0,0
"TX_RESP_Q07b",40,0,0
"TX_RESP_Q07c",40,0,0
"TX_RESP_Q07d",40,0,0
"TX_RESP_Q07e",40,0,0
"TX_RESP_Q08",40,0,0
"TX_RESP_Q09",40,0,0
"TX_RESP_Q10a",40,0,0
"TX_RESP_Q10b",40,0,0
"TX_RESP_Q10c",40,0,0
"TX_RESP_Q10d",40,0,0
"TX_RESP_Q10e",40,0,0
"TX_RESP_Q10f",40,0,0
"TX_RESP_Q11a",40,0,0
"TX_RESP_Q11b",40,0,0
"TX_RESP_Q11c",40,0,0
"TX_RESP_Q12a",40,0,0
"TX_RESP_Q12b",40,0,0
"TX_RESP_Q12c",40,0,0
"TX_RESP_Q12d",40,0,0
"TX_RESP_Q12e",40,0,0
"TX_RESP_Q12f",40,0,0
"TX_RESP_Q12g",40,0,0
"TX_RESP_Q13a",40,0,0
"TX_RESP_Q13b",40,0,0
"TX_RESP_Q13c",40,0,0
"TX_RESP_Q13d",40,0,0
"TX_RESP_Q13e",40,0,0
"TX_RESP_Q13f",40,0,0
"TX_RESP_Q13g",40,0,0
"TX_RESP_Q13h",40,0,0
"TX_RESP_Q13i",40,0,0
"TX_RESP_Q14",40,0,0
"TX_RESP_Q15a",40,0,0
"TX_RESP_Q15b",40,0,0
"TX_RESP_Q16",40,0,0
"TX_RESP_Q17",40,0,0
"TX_RESP_Q18",40,0,0
"TX_RESP_Q19",40,0,0
"TX_RESP_Q20",40,0,0
"TX_RESP_Q21a",40,0,0
"TX_RESP_Q21b",40,0,0
"TX_RESP_Q21c",40,0,0
"TX_RESP_Q21d",40,0,0
"TX_RESP_Q21e",40,0,0
"TX_RESP_Q22a",40,0,0
"TX_RESP_Q22b",40,0,0
"TX_RESP_Q22c",40,0,0
"TX_RESP_Q22d",40,0,0
"TX_RESP_Q22e",40,0,0
"TX_RESP_Q22f",40,0,0
"TX_RESP_Q22g",40,0,0
"TX_RESP_Q22h",40,0,0
"TX_RESP_Q23a",40,0,0
"TX_RESP_Q23b",40,0,0
"TX_RESP_Q23c",40,0,0
"TX_RESP_Q23d",40,0,0
"TX_RESP_Q23e",40,0,0
"TX_RESP_Q23f",40,0,0
"TX_RESP_Q23g",40,0,0
"TX_RESP_Q23h",40,0,0
"TX_RESP_Q23i",40,0,0
"TX_RESP_Q24",40,0,0
"TX_RESP_Q25",40,0,0
