"Variavel","N_Total","N_NA","Pct_NA"
"TX_RESP_Q21c_num",112,37,33.04
"TX_RESP_Q20_num",112,37,33.04
"TX_RESP_Q10e_num",112,36,32.14
"TX_RESP_Q21a_num",112,36,32.14
"TX_RESP_Q21b_num",112,36,32.14
"TX_RESP_Q21d_num",112,36,32.14
"TX_RESP_Q21e_num",112,36,32.14
"TX_RESP_Q19_num",112,36,32.14
"TX_RESP_Q10c_num",112,35,31.25
"TX_RESP_Q10f_num",112,35,31.25
"TX_RESP_Q23c_num",112,35,31.25
"TX_RESP_Q10a_num",112,34,30.36
"TX_RESP_Q10b_num",112,34,30.36
"TX_RESP_Q22a_num",112,34,30.36
"TX_RESP_Q22c_num",112,34,30.36
"TX_RESP_Q22h_num",112,34,30.36
"TX_RESP_Q23d_num",112,34,30.36
"TX_RESP_Q10d_num",112,33,29.46
"TX_RESP_Q22b_num",112,33,29.46
"TX_RESP_Q22d_num",112,33,29.46
"TX_RESP_Q22e_num",112,33,29.46
"TX_RESP_Q22f_num",112,33,29.46
"TX_RESP_Q22g_num",112,33,29.46
"TX_RESP_Q23a_num",112,33,29.46
"TX_RESP_Q23b_num",112,33,29.46
"TX_RESP_Q23e_num",112,33,29.46
"TX_RESP_Q23f_num",112,33,29.46
"TX_RESP_Q23g_num",112,33,29.46
"TX_RESP_Q23h_num",112,33,29.46
"TX_RESP_Q23i_num",112,33,29.46
"TX_RESP_Q01",112,0,0
"TX_RESP_Q02",112,0,0
"TX_RESP_Q03",112,0,0
"TX_RESP_Q04",112,0,0
"TX_RESP_Q05a",112,0,0
"TX_RESP_Q05b",112,0,0
"TX_RESP_Q05c",112,0,0
"TX_RESP_Q06",112,0,0
"TX_RESP_Q07a",112,0,0
"TX_RESP_Q07b",112,0,0
"TX_RESP_Q07c",112,0,0
"TX_RESP_Q07d",112,0,0
"TX_RESP_Q07e",112,0,0
"TX_RESP_Q08",112,0,0
"TX_RESP_Q09",112,0,0
"TX_RESP_Q10a",112,0,0
"TX_RESP_Q10b",112,0,0
"TX_RESP_Q10c",112,0,0
"TX_RESP_Q10d",112,0,0
"TX_RESP_Q10e",112,0,0
"TX_RESP_Q10f",112,0,0
"TX_RESP_Q11a",112,0,0
"TX_RESP_Q11b",112,0,0
"TX_RESP_Q11c",112,0,0
"TX_RESP_Q12a",112,0,0
"TX_RESP_Q12b",112,0,0
"TX_RESP_Q12c",112,0,0
"TX_RESP_Q12d",112,0,0
"TX_RESP_Q12e",112,0,0
"TX_RESP_Q12f",112,0,0
"TX_RESP_Q12g",112,0,0
"TX_RESP_Q13a",112,0,0
"TX_RESP_Q13b",112,0,0
"TX_RESP_Q13c",112,0,0
"TX_RESP_Q13d",112,0,0
"TX_RESP_Q13e",112,0,0
"TX_RESP_Q13f",112,0,0
"TX_RESP_Q13g",112,0,0
"TX_RESP_Q13h",112,0,0
"TX_RESP_Q13i",112,0,0
"TX_RESP_Q14",112,0,0
"TX_RESP_Q15a",112,0,0
"TX_RESP_Q15b",112,0,0
"TX_RESP_Q16",112,0,0
"TX_RESP_Q17",112,0,0
"TX_RESP_Q18",112,0,0
"TX_RESP_Q19",112,0,0
"TX_RESP_Q20",112,0,0
"TX_RESP_Q21a",112,0,0
"TX_RESP_Q21b",112,0,0
"TX_RESP_Q21c",112,0,0
"TX_RESP_Q21d",112,0,0
"TX_RESP_Q21e",112,0,0
"TX_RESP_Q22a",112,0,0
"TX_RESP_Q22b",112,0,0
"TX_RESP_Q22c",112,0,0
"TX_RESP_Q22d",112,0,0
"TX_RESP_Q22e",112,0,0
"TX_RESP_Q22f",112,0,0
"TX_RESP_Q22g",112,0,0
"TX_RESP_Q22h",112,0,0
"TX_RESP_Q23a",112,0,0
"TX_RESP_Q23b",112,0,0
"TX_RESP_Q23c",112,0,0
"TX_RESP_Q23d",112,0,0
"TX_RESP_Q23e",112,0,0
"TX_RESP_Q23f",112,0,0
"TX_RESP_Q23g",112,0,0
"TX_RESP_Q23h",112,0,0
"TX_RESP_Q23i",112,0,0
"TX_RESP_Q24",112,0,0
"TX_RESP_Q25",112,0,0
