Termo,Coef,SE,t_value,p_valor,Sig,IC_95_inf,IC_95_sup
(Intercept),260.79886368965487,1.530406210893122,170.41152984961855,0,***,257.7992675163043,263.7984598630054
INSE_MEDIO_norm,12.25724337794307,0.40721516619908876,30.10016422608009,2.4894608856386793e-168,***,11.459101652192857,13.055385103693283
TIPO_ESCOLA_Privada,24.77259912165732,3.3038765919660094,7.498040084758766,9.164366247164267e-14,***,18.29700100140394,31.248197241910695
AREA_LOCAL_Rural_Interior,14.526400924661067,2.1850203304660054,6.648176551090937,3.6870564301102435e-11,***,10.243761076947695,18.809040772374438
AREA_LOCAL_Urbana_Interior,9.448423377105472,1.576614555251093,5.992855606740677,2.3838622042938155e-9,***,6.35825884881333,12.538587905397614
