"PROFICIENCIA_MT_SAEB","TX_RESP_Q10c_num","TX_RESP_Q10d_num","TX_RESP_Q10e_num","TX_RESP_Q21a_num","TX_RESP_Q22b_num","TX_RESP_Q22h_num","TX_RESP_Q23a_num","TX_RESP_Q23b_num","TX_RESP_Q23g_num"
1.02386257361771,-1.13284303119776,-1.50213523239762,-1.20659949980977,-1.08980882931709,1.02353263143832,0.17778975055469,0.12974982402692,0.52545638988472,0.124646392502318
0.177288287231663,0.809173593712687,-0.375533808099406,0.402199833269922,-1.08980882931709,-0.511766315719159,-0.88894875277345,0.12974982402692,0.52545638988472,0.124646392502318
1.1444363425561,-1.13284303119776,-0.375533808099406,-2.81539883288945,-1.08980882931709,-0.511766315719159,-0.88894875277345,0.12974982402692,-0.735638945838608,0.124646392502318
-0.177353923975159,0.809173593712687,0.751067616198811,0.402199833269922,0.242179739848241,-0.511766315719159,1.24452825388283,0.12974982402692,-0.735638945838608,0.124646392502318
1.79182846863158,-1.13284303119776,-1.50213523239762,0.402199833269922,-1.08980882931709,1.02353263143832,-0.88894875277345,-2.72474630456533,-1.99673428156194,-2.8668670275533
-0.878169518446166,0.809173593712687,0.751067616198811,0.402199833269922,0.242179739848241,1.02353263143832,0.17778975055469,NA,0.52545638988472,0.124646392502318
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.61189569213091,0.809173593712687,0.751067616198811,0.402199833269922,0.242179739848241,1.02353263143832,1.24452825388283,0.12974982402692,0.52545638988472,0.124646392502318
-1.4229080194712,0.809173593712687,0.751067616198811,0.402199833269922,NA,-0.511766315719159,1.24452825388283,0.12974982402692,0.52545638988472,1.62040310253013
-0.716000238429753,0.809173593712687,0.751067616198811,0.402199833269922,1.57416830901357,-2.04706526287664,-0.88894875277345,0.12974982402692,0.52545638988472,0.124646392502318
-1.16715000507488,0.809173593712687,0.751067616198811,0.402199833269922,1.57416830901357,-0.511766315719159,1.24452825388283,1.55699788832305,1.78655172560805,0.124646392502318
0.158348304291768,-1.13284303119776,-1.50213523239762,0.402199833269922,0.242179739848241,1.02353263143832,-0.88894875277345,0.12974982402692,-0.735638945838608,0.124646392502318
-0.546077963062581,-1.13284303119776,0.751067616198811,0.402199833269922,0.242179739848241,-0.511766315719159,-0.88894875277345,0.12974982402692,-0.735638945838608,0.124646392502318
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
