"PROFICIENCIA_MT_SAEB","TX_RESP_Q10f_num","TX_RESP_Q22h_num","TX_RESP_Q23g_num"
NA,NA,NA,NA
-0.27973001004592,-1.54611894277919,0.262222446036629,1.27438618572862
-1.82323828435593,-0.336112813647649,0.262222446036629,0.265497122026796
-0.991418272370732,NA,0.262222446036629,0.265497122026796
-0.600193225507425,0.873893315483888,0.262222446036629,-0.743391941675028
-0.661714153089198,-0.336112813647649,1.92296460426861,-0.743391941675028
0.72990672483293,-0.336112813647649,0.262222446036629,0.265497122026796
0.745773760753229,0.873893315483888,0.262222446036629,-1.75228100537685
1.42577253199863,-0.336112813647649,-1.39851971219536,-1.75228100537685
0.841751213696926,0.873893315483888,-1.39851971219536,-1.75228100537685
0.611549894885656,0.873893315483888,0.262222446036629,0.265497122026796
NA,NA,NA,NA
0.376023679340095,-1.54611894277919,-1.39851971219536,1.27438618572862
-1.26934990059338,0.873893315483888,-1.39851971219536,-0.743391941675028
NA,NA,NA,NA
NA,NA,NA,NA
0.669731613378325,0.873893315483888,-1.39851971219536,0.265497122026796
0.194041792439831,-1.54611894277919,0.262222446036629,0.265497122026796
0.667995110172999,0.873893315483888,0.262222446036629,0.265497122026796
NA,NA,NA,NA
-1.4491969194124,-1.54611894277919,1.92296460426861,1.27438618572862
-1.19989852341867,-0.336112813647649,0.262222446036629,1.27438618572862
1.43200492241303,0.873893315483888,0.262222446036629,0.265497122026796
0.580188044882009,0.873893315483888,0.262222446036629,0.265497122026796
NA,NA,NA,NA
NA,NA,NA,NA
