"PROFICIENCIA_MT_SAEB","TX_RESP_Q10a_num","TX_RESP_Q10b_num","TX_RESP_Q10f_num","TX_RESP_Q22d_num","TX_RESP_Q22f_num","TX_RESP_Q23b_num","TX_RESP_Q23i_num","TX_RESP_Q19_num"
-1.41018635288333,1.9820163336368,1.25902316058341,0.750848869254839,1.76822513826188,1.9174748259817,1.62223274020479,1.13814879044733,-0.3659625273557
0.0924847484130534,0.578088097310734,-0.0786889475364631,0.750848869254839,1.76822513826188,-0.185562079933713,0.473151215893064,1.13814879044733,-0.3659625273557
0.154850786876447,0.578088097310734,1.25902316058341,-0.409553928684458,0.69465987574574,-0.185562079933713,0.473151215893064,1.13814879044733,-0.3659625273557
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
0.987784755490422,0.578088097310734,-1.41640105565634,-1.56995672662375,-1.45247064928655,-1.23708053289142,-1.82501183273039,-0.0711342994029576,-0.3659625273557
0.100750337734322,0.578088097310734,-0.0786889475364631,0.750848869254839,0.69465987574574,0.865956373023994,0.473151215893064,-0.0711342994029576,-0.3659625273557
-1.08406761152259,-0.825840139015334,-0.0786889475364631,-1.56995672662375,-1.45247064928655,-1.23708053289142,-0.675930308418663,1.13814879044733,2.5617376914899
-2.29942690883159,0.578088097310734,-1.41640105565634,0.750848869254839,-0.378905386770404,0.865956373023994,0.473151215893064,-0.0711342994029576,-0.3659625273557
1.8425085838373,-0.825840139015334,-0.0786889475364631,0.750848869254839,-1.45247064928655,-1.23708053289142,-0.675930308418663,-0.0711342994029576,-0.3659625273557
1.49545665320894,-0.825840139015334,-1.41640105565634,0.750848869254839,-0.378905386770404,-0.185562079933713,0.473151215893064,-1.28041738925324,-0.3659625273557
0.351233169203949,-0.825840139015334,-0.0786889475364631,0.750848869254839,-0.378905386770404,-0.185562079933713,-0.675930308418663,-0.0711342994029576,-0.3659625273557
-0.251187257519984,-0.825840139015334,-0.0786889475364631,-0.409553928684458,-0.378905386770404,-0.185562079933713,-1.82501183273039,-2.48970047910352,-0.3659625273557
0.382298111795337,-0.825840139015334,-0.0786889475364631,0.750848869254839,0.69465987574574,0.865956373023994,-0.675930308418663,-0.0711342994029576,-0.3659625273557
-0.328148674896725,-0.825840139015334,1.25902316058341,-1.56995672662375,0.69465987574574,1.9174748259817,1.62223274020479,1.13814879044733,-0.3659625273557
0.566247884140454,-0.825840139015334,-1.41640105565634,0.750848869254839,-0.378905386770404,-0.185562079933713,-0.675930308418663,-0.0711342994029576,-0.3659625273557
-0.225820137851047,-0.825840139015334,1.25902316058341,-0.409553928684458,-0.378905386770404,-0.185562079933713,0.473151215893064,-0.0711342994029576,NA
-0.0951289815723606,0.578088097310734,1.25902316058341,0.750848869254839,-0.378905386770404,-0.185562079933713,0.473151215893064,-1.28041738925324,-0.3659625273557
-0.279649105622611,1.9820163336368,-0.0786889475364631,-1.56995672662375,0.69465987574574,-1.23708053289142,0.473151215893064,-0.0711342994029576,2.5617376914899
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
