"PROFICIENCIA_LP_SAEB","TX_RESP_Q21b_num"
NA,NA
NA,NA
0.403397331459604,1.59711417620261
1.80735891444316,1.59711417620261
-1.70700429547974,1.59711417620261
1.19960274786636,0.39561543814193
-0.00772419872067283,NA
1.00722940193055,1.59711417620261
1.9041289174378,NA
NA,NA
0.363621832474284,-0.805883299918747
0.697510415934414,-0.805883299918747
-0.207760100841182,0.39561543814193
-0.51714191380768,-0.805883299918747
-0.827853674025668,-0.805883299918747
0.0230822758940256,1.59711417620261
-0.663954655484632,-0.805883299918747
-0.976492174284139,-0.805883299918747
0.0308517353990397,-0.805883299918747
-0.0282869127039436,-0.805883299918747
2.52556653384321,0.39561543814193
1.48474446219652,-0.805883299918747
0.820091311834582,0.39561543814193
NA,NA
1.04902450573351,-0.805883299918747
0.150110076956686,2.79861291426328
0.452314546434924,-0.805883299918747
1.00750198087336,0.39561543814193
NA,NA
-2.26229980612551,1.59711417620261
0.395882814941707,0.39561543814193
1.26316599495329,0.39561543814193
0.774508401397173,NA
0.101329151452772,NA
NA,NA
NA,NA
-1.62261046834001,-0.805883299918747
NA,NA
-0.321599917631229,0.39561543814193
-0.892696348921473,-0.805883299918747
NA,NA
0.987867404374686,0.39561543814193
-1.84049862784775,-0.805883299918747
-0.385221894369896,0.39561543814193
0.669872591560354,2.79861291426328
0.191744239335664,-0.805883299918747
0.847778482764243,0.39561543814193
1.0191755547545,0.39561543814193
-1.053620563458,-0.805883299918747
NA,NA
0.914922767167081,0.39561543814193
0.439320408398437,0.39561543814193
1.15807433724591,0.39561543814193
NA,NA
0.211538584371311,-0.805883299918747
-0.329644301853091,-0.805883299918747
NA,NA
0.689555320402395,0.39561543814193
NA,NA
0.988021329801788,0.39561543814193
NA,NA
NA,NA
NA,NA
-0.558021781883242,-0.805883299918747
1.47676000183863,-0.805883299918747
-0.109385225878202,-0.805883299918747
NA,NA
-0.368972163176965,1.59711417620261
-0.257272993144746,-0.805883299918747
0.727425155212493,1.59711417620261
0.38178426516454,NA
0.427551638741938,-0.805883299918747
-1.48368818545782,-0.805883299918747
NA,NA
NA,NA
-0.80844821567451,0.39561543814193
-0.467445731251144,0.39561543814193
-0.676501177184892,-0.805883299918747
NA,NA
-0.00410441348275792,1.59711417620261
-1.69382217564221,-0.805883299918747
-1.50382558928341,-0.805883299918747
0.242834984555732,-0.805883299918747
0.472286295963239,-0.805883299918747
1.15880862849437,-0.805883299918747
NA,NA
0.38707944486836,0.39561543814193
0.197485862488693,NA
NA,NA
-0.102010517492763,-0.805883299918747
-1.42001801372535,NA
1.40759374551889,1.59711417620261
0.107706394068287,NA
-2.23738888009095,-0.805883299918747
-0.672722774971805,0.39561543814193
0.171658527839707,0.39561543814193
NA,NA
NA,NA
-0.829986067923938,-0.805883299918747
1.17483632151233,-0.805883299918747
NA,NA
0.230065230468258,-0.805883299918747
0.536128007753287,0.39561543814193
0.483573350259137,-0.805883299918747
-0.0533294366618464,-0.805883299918747
-1.34026378642244,0.39561543814193
-2.00366452802734,-0.805883299918747
-1.66036047674738,-0.805883299918747
-0.633302084971818,-0.805883299918747
-0.783816884579643,-0.805883299918747
NA,NA
-0.68433056055388,-0.805883299918747
0.615303020796626,NA
0.0730921310894157,2.79861291426328
NA,NA
NA,NA
0.307853891057186,0.39561543814193
-0.35508157693057,0.39561543814193
-1.80654817627022,-0.805883299918747
NA,NA
