"PROFICIENCIA_LP_SAEB","TX_RESP_Q19_num"
NA,NA
-0.596337585479172,-0.498338673990284
-0.536811039467765,-0.498338673990284
0.620381664903927,-0.498338673990284
-0.994770655619766,-0.498338673990284
-0.581412338198727,1.27076361867522
-1.54102982577496,-0.498338673990284
NA,NA
NA,NA
-0.842735754666629,-0.498338673990284
0.677279782597411,-0.498338673990284
0.225619933032785,-0.498338673990284
-0.410356222891112,-0.498338673990284
0.20829457953003,-0.498338673990284
-0.160660003200562,-0.498338673990284
-0.866281360178283,1.27076361867522
0.096971561866517,1.27076361867522
-0.284223399610427,1.27076361867522
-0.542333449183409,-0.498338673990284
-1.80276501832495,-0.498338673990284
-1.47055336558025,-0.498338673990284
-0.0869406753873807,1.27076361867522
-0.941985176285289,-0.498338673990284
1.45797638304363,-0.498338673990284
1.56152571557025,-0.498338673990284
0.441240139371096,-0.498338673990284
0.939109903679301,-0.498338673990284
2.90282817466852,-0.498338673990284
1.90702575619077,-0.498338673990284
0.705851361418365,-0.498338673990284
0.507416665373929,-0.498338673990284
0.481733945488832,-0.498338673990284
NA,NA
0.213645084082313,-0.498338673990284
0.910079119436186,-0.498338673990284
-1.77804695114445,1.27076361867522
1.35602029914404,-0.498338673990284
NA,NA
NA,NA
0.460682094115922,-0.498338673990284
NA,NA
1.75863269278353,-0.498338673990284
0.21150412786247,-0.498338673990284
0.565510342382479,-0.498338673990284
1.50626443399747,-0.498338673990284
-1.08524837354306,-0.498338673990284
-0.273301728819127,-0.498338673990284
NA,NA
NA,NA
0.632475797364071,-0.498338673990284
0.623800302816076,-0.498338673990284
0.243830401377748,-0.498338673990284
1.4527105388156,-0.498338673990284
0.318060298935233,-0.498338673990284
0.403995627233079,-0.498338673990284
-0.805796564539605,1.27076361867522
-0.181945322414868,-0.498338673990284
NA,NA
-1.34305694295145,-0.498338673990284
NA,NA
1.05016997606178,3.03986591134073
-0.829485831822617,-0.498338673990284
-0.510577980907168,-0.498338673990284
0.789870213745586,-0.498338673990284
-1.32482081572933,-0.498338673990284
0.0693325737956803,-0.498338673990284
0.277702447612142,-0.498338673990284
-0.751192075713418,-0.498338673990284
-0.907440946634792,-0.498338673990284
0.576547478120969,-0.498338673990284
-2.1466077096934,3.03986591134073
NA,NA
NA,NA
0.58467009604645,-0.498338673990284
-0.576619832730822,3.03986591134073
0.15436099350448,1.27076361867522
-1.07255516916796,3.03986591134073
NA,NA
-0.0459901785105795,-0.498338673990284
NA,NA
-0.241016481566594,1.27076361867522
-0.729614263926696,1.27076361867522
1.15266610714531,-0.498338673990284
0.0806198486605427,1.27076361867522
-2.06096871581436,1.27076361867522
0.19707529370445,-0.498338673990284
