"PROFICIENCIA_MT_SAEB","TX_RESP_Q10f_num","TX_RESP_Q21a_num","TX_RESP_Q21d_num","TX_RESP_Q23f_num"
0.439142084537115,1.00222965717159,0.878553465981382,-0.954577342096276,1.93351564736898
-0.199114065596992,1.00222965717159,-0.41615690493855,-0.954577342096276,-0.615209524162858
-0.664216310814239,-0.400891862868636,-1.71086727585848,1.08017962395105,-1.88957210992878
0.353103222316412,-0.400891862868636,-1.71086727585848,1.08017962395105,-0.615209524162858
0.49752423832387,-0.400891862868636,0.878553465981382,-0.954577342096276,-0.615209524162858
-0.927794423246839,-0.400891862868636,0.878553465981382,1.08017962395105,-0.615209524162858
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0.482561243258062,-0.400891862868636,-0.41615690493855,-0.954577342096276,0.659153061603062
-0.430761660539298,1.00222965717159,-0.41615690493855,-0.276325020080501,0.659153061603062
0.684982834118452,-0.400891862868636,0.878553465981382,-0.954577342096276,0.659153061603062
-1.4639940496133,1.00222965717159,NA,NA,0.659153061603062
4.04676545121322,-1.80401338290886,2.17326383690131,1.08017962395105,0.659153061603062
-0.430795241600817,1.00222965717159,0.878553465981382,-0.954577342096276,-0.615209524162858
NA,NA,NA,NA,NA
0.775720064241993,-1.80401338290886,0.878553465981382,-0.954577342096276,-0.615209524162858
-0.242054916542631,1.00222965717159,-0.41615690493855,-0.954577342096276,0.659153061603062
-0.187325863028724,-0.400891862868636,-0.41615690493855,-0.954577342096276,0.659153061603062
-0.471223666656041,-0.400891862868636,-0.41615690493855,1.08017962395105,0.659153061603062
0.13878593103012,1.00222965717159,-0.41615690493855,-0.954577342096276,-0.615209524162858
-1.26801877258947,1.00222965717159,-0.41615690493855,-0.276325020080501,-0.615209524162858
-0.0986832065462152,1.00222965717159,0.878553465981382,1.08017962395105,0.659153061603062
NA,NA,NA,NA,NA
-0.647080810968211,NA,-1.71086727585848,1.08017962395105,-0.615209524162858
-0.0991064192656884,-0.400891862868636,-0.41615690493855,-0.954577342096276,-1.88957210992878
-0.531555276783621,-0.400891862868636,0.878553465981382,NA,-0.615209524162858
1.35095485016138,-1.80401338290886,-0.41615690493855,-0.954577342096276,1.93351564736898
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-0.633116065238666,1.00222965717159,0.878553465981382,1.08017962395105,0.659153061603062
0.00865479850317521,-0.400891862868636,0.878553465981382,1.08017962395105,0.659153061603062
-0.177410555827094,1.00222965717159,0.878553465981382,1.08017962395105,0.659153061603062
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-0.894367180777673,-0.400891862868636,-1.71086727585848,1.08017962395105,-1.88957210992878
0.342181589016404,-1.80401338290886,-0.41615690493855,-0.954577342096276,-0.615209524162858
NA,NA,NA,NA,NA
0.24624217891531,1.00222965717159,-0.41615690493855,1.08017962395105,0.659153061603062
NA,NA,NA,NA,NA
