"PROFICIENCIA_LP_SAEB","TX_RESP_Q10c_num","TX_RESP_Q10e_num","TX_RESP_Q21a_num","TX_RESP_Q21c_num","TX_RESP_Q21e_num","TX_RESP_Q22a_num","TX_RESP_Q22c_num","TX_RESP_Q22f_num","TX_RESP_Q23a_num","TX_RESP_Q23b_num","TX_RESP_Q23d_num","TX_RESP_Q23e_num","TX_RESP_Q23f_num","TX_RESP_Q23h_num","TX_RESP_Q19_num","TX_RESP_Q20_num"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.795319380421625,0.377964473009227,0.377964473009227,0.944911182523068,0.726273039202563,-0.705475621502659,0.944911182523068,1,0.944911182523068,-0.133630620956212,0.133630620956212,-0.58554004376912,-0.544704779401922,-0.944911182523068,-0.58554004376912,-0.377964473009227,2.26778683805536
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.859824117691173,0.377964473009227,0.377964473009227,0.944911182523068,-0.544704779401922,0.117579270250443,-0.377964473009227,-1,-0.377964473009227,0.801783725737273,1.0690449676497,1.4638501094228,0.726273039202563,0.377964473009227,1.4638501094228,2.26778683805536,-0.377964473009227
-1.26778664480305,0.377964473009227,0.377964473009227,-1.70084012854152,0.726273039202563,-1.52853051325576,0.944911182523068,1,0.944911182523068,0.801783725737273,0.133630620956212,-0.58554004376912,-0.544704779401922,0.377964473009227,-0.58554004376912,-0.377964473009227,-0.377964473009227
1.55530558853784,-2.26778683805536,-2.26778683805536,0.944911182523068,0.726273039202563,0.940634162003545,-1.70084012854152,-1,-0.377964473009227,-0.133630620956212,-0.801783725737273,-0.58554004376912,-0.544704779401922,-0.944911182523068,-0.58554004376912,-0.377964473009227,-0.377964473009227
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.336830812947004,0.377964473009227,0.377964473009227,-0.377964473009227,0.726273039202563,0.940634162003545,-0.377964473009227,-1,-1.70084012854152,-0.133630620956212,0.133630620956212,-0.58554004376912,-0.544704779401922,0.377964473009227,-0.58554004376912,-0.377964473009227,-0.377964473009227
0.127350678616811,0.377964473009227,0.377964473009227,-0.377964473009227,-0.544704779401922,0.940634162003545,-0.377964473009227,0,-0.377964473009227,-2.00445931434318,-1.73719807243076,-0.58554004376912,-0.544704779401922,-0.944911182523068,-0.58554004376912,-0.377964473009227,-0.377964473009227
-0.687195698029057,0.377964473009227,0.377964473009227,-0.377964473009227,-1.81568259800641,-0.705475621502659,0.944911182523068,1,0.944911182523068,0.801783725737273,1.0690449676497,1.4638501094228,1.99725085780705,1.70084012854152,1.4638501094228,-0.377964473009227,-0.377964473009227
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
