Variavel,Referencia,Descricao
TIPO_ESCOLA,Publica,Categoria base para comparacao de tipo de escola
AREA_LOCAL,Urbana_Capital,Categoria base para comparacao da localizacao combinada (urbana/rural ? capital/interior)
