ID_ESCOLA,TIPO_ESCOLA,AREA,LOCALIZACAO,AREA_LOCAL,MEDIA_MT,MEDIA_LP,INSE_MEDIO,N_ALUNOS_MT,N_ALUNOS_INSE
61399103,Publica,Capital,Urbana,Urbana_Capital,259.809121925,273.29089055833333,5.3542056074766355,120,107
61399357,Publica,Capital,Urbana,Urbana_Capital,252.46871497,252.46974584,4.941931818181819,100,88
61399370,Publica,Capital,Urbana,Urbana_Capital,250.03962204065041,250.71828894308942,4.971372549019608,123,102
61399373,Publica,Capital,Urbana,Urbana_Capital,272.26271961344537,284.66171416806725,5.12036036036036,119,111
61399376,Publica,Interior,Urbana,Urbana_Interior,249.52619988235293,259.8228709117647,5.216470588235294,34,34
61399380,Publica,Capital,Urbana,Urbana_Capital,274.5667086078431,280.6555293137255,5.234555555555556,102,90
61399383,Publica,Capital,Urbana,Urbana_Capital,269.64177103125,293.30576546875,4.8440625,32,32
61399385,Privada,Capital,Urbana,Urbana_Capital,334.9241422380952,325.4551498571429,5.754705882352941,21,17
61399386,Publica,Interior,Urbana,Urbana_Interior,277.32917158888887,284.59166552222223,4.9626582278481015,90,79
61399388,Publica,Interior,Urbana,Urbana_Interior,273.9624095612245,282.9918588061225,5.197252747252747,98,91
61399389,Publica,Interior,Urbana,Urbana_Interior,249.1732903611111,262.39909172222224,4.050285714285715,36,35
61399391,Publica,Interior,Urbana,Urbana_Interior,252.778191,250.8521098,5.442222222222222,10,9
61399395,Publica,Interior,Urbana,Urbana_Interior,281.54782360377357,281.1416983018868,4.709411764705882,53,51
61399396,Publica,Interior,Urbana,Urbana_Interior,273.0665003,274.21835228888887,5.035113636363636,90,88
61399397,Publica,Interior,Urbana,Urbana_Interior,256.4460964642857,260.7868663214286,4.019166666666667,28,24
61399398,Publica,Interior,Urbana,Urbana_Interior,262.559272877193,262.7264126842105,4.032678571428572,57,56
61399399,Publica,Interior,Rural,Rural_Interior,237.9965523846154,237.87022223076923,4.1054545454545455,13,11
61399418,Publica,Interior,Urbana,Urbana_Interior,358.2111632149533,346.7233412990654,5.569809523809524,107,105
61399423,Publica,Capital,Urbana,Urbana_Capital,270.95215248,295.53566118,5.402564102564103,50,39
61399426,Publica,Capital,Urbana,Urbana_Capital,274.35055505945945,281.9128906972973,5.3192405063291135,185,158
61399427,Publica,Capital,Urbana,Urbana_Capital,286.6677198137255,303.0795056372549,5.35,102,102
61399428,Publica,Capital,Urbana,Urbana_Capital,269.1644108411215,273.63974391588783,5.175837563451776,214,197
61399429,Publica,Interior,Urbana,Urbana_Interior,251.62898804081632,255.98381277551022,4.625,49,48
61399431,Publica,Interior,Urbana,Urbana_Interior,262.3885105522388,277.8212396119403,4.9349253731343286,67,67
61399433,Publica,Interior,Urbana,Urbana_Interior,262.86141881818185,278.3341112727273,4.073,11,10
61399435,Publica,Interior,Urbana,Urbana_Interior,238.65305933333335,225.16506883333335,4.325,18,18
61399436,Publica,Interior,Urbana,Urbana_Interior,260.7065065698925,265.8737647580645,5.1336,186,175
61399443,Publica,Interior,Urbana,Urbana_Interior,271.7995153333333,287.41299891666665,5.122083333333333,24,24
61399444,Publica,Interior,Urbana,Urbana_Interior,270.10030196,272.67724204,4.8738947368421055,100,95
61399445,Publica,Interior,Urbana,Urbana_Interior,269.35952071428574,271.61036269387756,4.369583333333333,49,48
61399447,Publica,Interior,Urbana,Urbana_Interior,283.63180945,284.9685372,5.016842105263158,20,19
61399450,Publica,Interior,Urbana,Urbana_Interior,313.27431046478875,328.6752466478873,5.277142857142858,71,70
61399451,Publica,Interior,Urbana,Urbana_Interior,277.3420120755814,270.62673087209305,4.903614457831325,172,166
