"PROFICIENCIA_MT_SAEB","TX_RESP_Q21a_num","TX_RESP_Q22a_num","TX_RESP_Q22b_num","TX_RESP_Q22d_num","TX_RESP_Q22f_num","TX_RESP_Q23c_num","TX_RESP_Q20_num"
-0.385522408076923,-0.280994230545191,0.885489079035371,-1.46841751555884,-1.65039426726838,-1.62508563094012,-0.168975997512182,-0.242535625036333
0.705593963431672,-0.280994230545191,0.885489079035371,1.46841751555884,-0.518695341141491,-0.598715758767412,-0.168975997512182,-0.242535625036333
-0.836284568195222,-0.280994230545191,0.885489079035371,0.48947250518628,-0.518695341141491,-0.598715758767412,-0.168975997512182,-0.242535625036333
0.043369282349935,NA,0.885489079035371,-0.48947250518628,-0.518695341141491,-0.598715758767412,1.77424797387791,NA
NA,NA,NA,NA,NA,NA,NA,NA
1.11733108974883,-0.280994230545191,-0.295163026345124,-0.48947250518628,-0.518695341141491,-0.598715758767412,-0.168975997512182,-0.242535625036333
-0.342849446123008,0.67438615330846,-1.47581513172562,0.48947250518628,-0.518695341141491,0.427654113405294,1.77424797387791,-0.242535625036333
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
-1.21599739186451,-1.23637461439884,0.885489079035371,1.46841751555884,0.613003584985398,-0.598715758767412,1.77424797387791,3.88057000058133
0.662632463731906,1.62976653716211,-1.47581513172562,-1.46841751555884,-0.518695341141491,-1.62508563094012,-0.168975997512182,-0.242535625036333
2.42825678680895,1.62976653716211,-1.47581513172562,-0.48947250518628,-1.65039426726838,-0.598715758767412,-0.168975997512182,-0.242535625036333
0.35410609734778,-1.23637461439884,0.885489079035371,-0.48947250518628,0.613003584985398,0.427654113405294,NA,-0.242535625036333
0.499565468790176,NA,NA,NA,NA,NA,NA,NA
-0.665460878812401,1.62976653716211,-0.295163026345124,0.48947250518628,0.613003584985398,0.427654113405294,-0.168975997512182,-0.242535625036333
1.34756190252265,NA,-0.295163026345124,-0.48947250518628,-0.518695341141491,-0.598715758767412,-2.11219996890227,NA
-0.96840962742998,-1.23637461439884,0.885489079035371,-0.48947250518628,0.613003584985398,1.454023985578,-0.168975997512182,-0.242535625036333
-1.69861283901885,NA,-0.295163026345124,1.46841751555884,0.613003584985398,1.454023985578,-0.168975997512182,NA
0.309041229428318,-0.280994230545191,0.885489079035371,0.48947250518628,1.74470251111229,0.427654113405294,-2.11219996890227,-0.242535625036333
-1.55234006303886,NA,0.885489079035371,1.46841751555884,1.74470251111229,1.454023985578,-0.168975997512182,NA
0.281334621307012,0.67438615330846,-0.295163026345124,-0.48947250518628,-0.518695341141491,-0.598715758767412,-0.168975997512182,-0.242535625036333
0.80422720003737,0.67438615330846,-1.47581513172562,-1.46841751555884,1.74470251111229,1.454023985578,-0.168975997512182,-0.242535625036333
0.599188358095092,-1.23637461439884,-1.47581513172562,-1.46841751555884,-0.518695341141491,-0.598715758767412,-0.168975997512182,-0.242535625036333
-0.571679337127549,NA,-1.47581513172562,-0.48947250518628,-0.518695341141491,-0.598715758767412,-0.168975997512182,NA
-0.680000289285154,NA,-0.295163026345124,0.48947250518628,-0.518695341141491,-0.598715758767412,-0.168975997512182,NA
-1.01425134211725,-0.280994230545191,0.885489079035371,0.48947250518628,-0.518695341141491,1.454023985578,-0.168975997512182,-0.242535625036333
0.779199727490013,-0.280994230545191,0.885489079035371,-0.48947250518628,-0.518695341141491,-0.598715758767412,-0.168975997512182,-0.242535625036333
NA,NA,0.885489079035371,1.46841751555884,1.74470251111229,1.454023985578,1.77424797387791,NA
NA,NA,NA,NA,NA,NA,NA,NA
