"PROFICIENCIA_LP_SAEB","TX_RESP_Q10b_num","TX_RESP_Q10c_num","TX_RESP_Q10d_num","TX_RESP_Q10e_num","TX_RESP_Q21a_num","TX_RESP_Q21d_num","TX_RESP_Q22a_num","TX_RESP_Q22b_num","TX_RESP_Q22c_num","TX_RESP_Q22d_num","TX_RESP_Q22e_num","TX_RESP_Q22f_num","TX_RESP_Q22g_num","TX_RESP_Q23a_num","TX_RESP_Q23b_num","TX_RESP_Q23c_num","TX_RESP_Q23e_num","TX_RESP_Q23f_num","TX_RESP_Q19_num"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.3875522750233,-0.42174116783665,0.552770798392567,0.623231962511588,0.449466574975494,0.0925579720669508,-1.11298640545999,0,-2.10385134365299,-2.10385134365299,-1.20325363687036,-1.01813769273646,-1.24452825388283,0.288675134594813,-0.809173593712687,-1.36618661370027,-0.809173593712687,-0.511766315719159,0,-0.288675134594813
-0.0645483206355455,1.12464311423107,0.552770798392567,0.623231962511588,0.449466574975494,1.20325363687036,0.890389124367988,0.957427107756338,0.809173593712687,0.809173593712687,1.01813769273646,1.20325363687036,0.88894875277345,0.288675134594813,1.13284303119776,1.15600405774638,1.13284303119776,1.02353263143832,1.17260393995586,-0.288675134594813
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.619294222673403,-0.42174116783665,0.552770798392567,0.623231962511588,0.449466574975494,1.20325363687036,-1.11298640545999,-1.91485421551268,-0.161834718742537,-1.13284303119776,-1.20325363687036,-1.01813769273646,-1.24452825388283,0.288675134594813,-0.809173593712687,-1.36618661370027,1.13284303119776,1.02353263143832,1.17260393995586,-0.288675134594813
0.785135664097697,-0.42174116783665,0.552770798392567,-0.872524747516223,0.449466574975494,-1.01813769273646,0.890389124367988,0,0.809173593712687,-0.161834718742537,-0.0925579720669508,0.0925579720669508,-0.17778975055469,0.288675134594813,-0.809173593712687,-0.105091277976944,-0.809173593712687,-0.511766315719159,-1.17260393995586,-0.288675134594813
0.548196570967978,-0.42174116783665,-1.6583123951777,-0.872524747516223,-2.02259958738973,0.0925579720669508,0.890389124367988,0,0.809173593712687,0.809173593712687,1.01813769273646,0.0925579720669508,0.88894875277345,0.288675134594813,-0.809173593712687,-0.105091277976944,-0.809173593712687,-0.511766315719159,-1.17260393995586,-0.288675134594813
-0.332332809005698,1.12464311423107,0.552770798392567,0.623231962511588,0.449466574975494,-1.01813769273646,0.222597281091997,0,0.809173593712687,0.809173593712687,1.01813769273646,1.20325363687036,0.88894875277345,0.288675134594813,1.13284303119776,1.15600405774638,1.13284303119776,1.02353263143832,-1.17260393995586,-0.288675134594813
-1.45336970289451,NA,0.552770798392567,0.623231962511588,0.449466574975494,-1.01813769273646,0.890389124367988,0.957427107756338,-0.161834718742537,-0.161834718742537,-0.0925579720669508,-1.01813769273646,0.88894875277345,0.288675134594813,-0.809173593712687,-0.105091277976944,-0.809173593712687,-0.511766315719159,0,-0.288675134594813
-0.0164495055017677,1.12464311423107,0.552770798392567,0.623231962511588,0.449466574975494,1.20325363687036,0.890389124367988,0.957427107756338,0.809173593712687,0.809173593712687,1.01813769273646,1.20325363687036,0.88894875277345,0.288675134594813,1.13284303119776,1.15600405774638,1.13284303119776,1.02353263143832,1.17260393995586,-0.288675134594813
-1.68360886404642,1.12464311423107,0.552770798392567,0.623231962511588,0.449466574975494,0.0925579720669508,-1.11298640545999,0.957427107756338,0.809173593712687,0.809173593712687,1.01813769273646,1.20325363687036,0.88894875277345,0.288675134594813,1.13284303119776,1.15600405774638,1.13284303119776,1.02353263143832,1.17260393995586,3.17542648054294
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.12242592358981,-0.42174116783665,0.552770798392567,0.623231962511588,NA,-1.01813769273646,0.890389124367988,0,-1.13284303119776,0.809173593712687,-0.0925579720669508,0.0925579720669508,-1.24452825388283,0.288675134594813,-0.809173593712687,-0.105091277976944,-0.809173593712687,-0.511766315719159,0,-0.288675134594813
1.1976999527067,-1.96812544990437,-1.6583123951777,-2.36828145754403,-2.02259958738973,1.20325363687036,-1.11298640545999,-1.91485421551268,-1.13284303119776,-1.13284303119776,-1.20325363687036,-1.01813769273646,-1.24452825388283,-3.17542648054294,-0.809173593712687,-1.36618661370027,-0.809173593712687,-0.511766315719159,-1.17260393995586,-0.288675134594813
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.134856440204681,-0.42174116783665,-1.6583123951777,-0.872524747516223,0.449466574975494,-1.01813769273646,-1.11298640545999,0,-0.161834718742537,-0.161834718742537,-1.20325363687036,-1.01813769273646,-0.17778975055469,0.288675134594813,1.13284303119776,-0.105091277976944,-0.809173593712687,-2.04706526287664,0,-0.288675134594813
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
