"PROFICIENCIA_LP_SAEB","TX_RESP_Q22c_num"
-0.124153661024149,1.26156600410324
-0.123955463190597,-0.019711968814113
-0.123708942627586,-0.019711968814113
NA,NA
-0.125733325528071,-1.30098994173146
NA,NA
-0.124018610677411,1.26156600410324
-0.125406058600432,-1.30098994173146
-0.12437910113835,-0.019711968814113
-0.124586801465424,-0.019711968814113
-0.123381870905569,1.26156600410324
-0.123996295773504,1.26156600410324
-0.124521362770271,-0.019711968814113
-0.124151943710216,-1.30098994173146
NA,NA
-0.12326079836836,-0.019711968814113
-0.123606414198199,1.26156600410324
-0.123445081507181,-1.30098994173146
-0.123076104250705,-0.019711968814113
-0.123888575785726,-1.30098994173146
-0.123759528697896,-0.019711968814113
-0.124228550873771,-0.019711968814113
NA,NA
-0.123421069856931,-1.30098994173146
-0.124596221768506,-0.019711968814113
-0.125863423534553,-1.30098994173146
NA,NA
-0.124815985920246,-2.58226791464881
-0.123608433871707,1.26156600410324
-0.12410385580297,-0.019711968814113
NA,NA
-0.124484929147522,-1.30098994173146
-0.125431683367919,-0.019711968814113
-0.124184866349248,-0.019711968814113
-0.12324416971071,-0.019711968814113
-0.123295881616856,1.26156600410324
-0.123919691567206,-0.019711968814113
-0.124301566328479,-1.30098994173146
NA,NA
-0.122921391313489,-1.30098994173146
-0.12452670552177,-1.30098994173146
NA,NA
-0.124014304164846,-0.019711968814113
NA,NA
-0.12483074900147,1.26156600410324
-0.124520589221037,-1.30098994173146
-0.123074718655784,1.26156600410324
NA,NA
-0.123977960085715,1.26156600410324
-0.124573440124147,1.26156600410324
-0.123588267854802,-0.019711968814113
-0.125498958280061,-1.30098994173146
-0.124001827896037,-0.019711968814113
-0.124297325861326,-0.019711968814113
-0.125188841073476,-0.019711968814113
-0.124375710522997,-1.30098994173146
-0.123107553243147,1.26156600410324
-0.122933869047606,1.26156600410324
-0.124029644097732,-0.019711968814113
-0.123871254330614,-1.30098994173146
NA,NA
-0.123715518342233,1.26156600410324
-0.123848654677466,-0.019711968814113
-0.123627528429011,1.26156600410324
-0.12522274275116,-0.019711968814113
NA,NA
-0.122838217253775,-0.019711968814113
7.93822083955403,-1.30098994173146
-0.123458611651899,-0.019711968814113
NA,NA
-0.12335059806975,1.26156600410324
-0.12370643122347,-0.019711968814113
-0.123909827968593,1.26156600410324
-0.123980379015598,-0.019711968814113
-0.12385709596854,1.26156600410324
-0.122872450623828,1.26156600410324
-0.122637726719935,-0.019711968814113
NA,NA
-0.125331676626444,-0.019711968814113
NA,NA
NA,NA
