"PROFICIENCIA_MT_SAEB","TX_RESP_Q10d_num","TX_RESP_Q21a_num","TX_RESP_Q21b_num","TX_RESP_Q21c_num","TX_RESP_Q21d_num","TX_RESP_Q21e_num","TX_RESP_Q22a_num","TX_RESP_Q22c_num","TX_RESP_Q22e_num","TX_RESP_Q22g_num","TX_RESP_Q23a_num","TX_RESP_Q23b_num","TX_RESP_Q23d_num","TX_RESP_Q23e_num","TX_RESP_Q23f_num","TX_RESP_Q23g_num","TX_RESP_Q23h_num"
-1.28625693105168,-1.76383420737639,-1.62665141688112,-0.20333142711014,1.41421356237309,0.700300975251854,-1.82931824152009,0.764719112901872,1.15470053837925,-0.58925565098879,1.16666666666667,-0.666666666666667,-0.333333333333333,-0.333333333333333,0.298142396999972,-0.666666666666667,0,-0.266666666666667
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.49325094509567,0.50395263067897,1.11832284910577,0.711659994885488,0,-0.875376219064817,1.25765629104507,-0.611775290321498,-1.15470053837925,-0.58925565098879,-0.333333333333333,1.33333333333333,-0.333333333333333,-0.333333333333333,1.19256958799989,1.33333333333333,0,-0.266666666666667
0.815143595722627,0.50395263067897,1.11832284910577,0.711659994885488,0,-0.875376219064817,1.25765629104507,0.764719112901872,1.15470053837925,1.29636243217534,-1.83333333333333,-0.666666666666667,-0.333333333333333,1.16666666666667,-0.596284793999944,0.333333333333333,0,0.933333333333333
-0.12278637006783,0.50395263067897,0.20333142711014,-1.11832284910577,0,1.48813957241019,0.228664780190012,-0.611775290321498,0,0.353553390593274,1.16666666666667,-0.666666666666667,-0.333333333333333,-0.333333333333333,0.298142396999972,0.333333333333333,0,0.933333333333333
1.15044408861978,0.50395263067897,1.11832284910577,1.62665141688112,-1.41421356237309,-0.0875376219064817,0.228664780190012,-1.98826969354487,0,1.29636243217534,-0.333333333333333,1.33333333333333,-0.333333333333333,1.16666666666667,1.19256958799989,1.33333333333333,0,0.933333333333333
0.336562435968292,0.50395263067897,-0.711659994885488,0.711659994885488,-1.41421356237309,-0.875376219064817,-0.800326730665041,-0.611775290321498,-1.15470053837925,-0.58925565098879,-0.333333333333333,-0.666666666666667,-0.333333333333333,-0.333333333333333,0.298142396999972,-0.666666666666667,-2,-0.266666666666667
-0.570383984909059,-1.76383420737639,-0.711659994885488,-1.11832284910577,1.41421356237309,-0.875376219064817,0.228664780190012,0.764719112901872,0,NA,-0.333333333333333,1.33333333333333,-0.333333333333333,-0.333333333333333,-1.49071198499986,-1.66666666666667,0,-1.46666666666667
-1.02022547416565,0.50395263067897,0.20333142711014,-0.20333142711014,0,1.48813957241019,-0.800326730665041,0.764719112901872,1.15470053837925,-1.53206469257085,-0.333333333333333,-0.666666666666667,2.66666666666667,-1.83333333333333,-1.49071198499986,0.333333333333333,2,-1.46666666666667
-0.795748305212149,0.50395263067897,-0.711659994885488,-1.11832284910577,0,-0.0875376219064817,0.228664780190012,0.764719112901872,-1.15470053837925,0.353553390593274,1.16666666666667,-0.666666666666667,-0.333333333333333,1.16666666666667,0.298142396999972,-0.666666666666667,0,0.933333333333333
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
