"PROFICIENCIA_MT_SAEB","TX_RESP_Q10a_num","TX_RESP_Q21b_num","TX_RESP_Q22c_num","TX_RESP_Q23c_num","TX_RESP_Q23f_num"
-0.115470888017239,0.126892454130473,NA,NA,NA,NA
-1.05130664287023,-1.14203208717426,-0.623055982849033,1.67378376931734,0.324893144826965,-1.96644384828317
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
-0.407985746160479,-1.14203208717426,-0.623055982849033,-0.264281647786948,1.40787029425018,-0.80971217282248
0.290446583807492,1.3958169954352,NA,-0.264281647786948,0.324893144826965,0.347019502638205
NA,NA,NA,NA,NA,NA
2.61873943710543,1.3958169954352,-0.623055982849033,0.704751060765195,0.324893144826965,1.50375117809889
0.152317184229879,NA,NA,NA,NA,NA
-0.69782452416062,0.126892454130473,-0.623055982849033,1.67378376931734,1.40787029425018,0.347019502638205
-0.282731439198307,-1.14203208717426,1.99377914511691,-1.23331435633909,-1.84106115401947,1.50375117809889
-1.31736323376945,NA,-0.623055982849033,-0.264281647786948,1.40787029425018,-0.80971217282248
-0.970955082970408,0.126892454130473,-0.623055982849033,0.704751060765195,NA,NA
NA,NA,NA,NA,NA,NA
0.0402517612900441,1.3958169954352,-0.623055982849033,-1.23331435633909,-0.758084004596253,-0.80971217282248
-1.64281493241689,NA,-0.623055982849033,1.67378376931734,NA,NA
-0.381253937109235,-1.14203208717426,-0.623055982849033,-0.264281647786948,0.324893144826965,0.347019502638205
1.14981857914801,0.126892454130473,-0.623055982849033,-1.23331435633909,0.324893144826965,0.347019502638205
0.25580883783154,-1.14203208717426,-0.623055982849033,-0.264281647786948,-0.758084004596253,-0.80971217282248
0.00338689958966961,-1.14203208717426,-0.623055982849033,-0.264281647786948,0.324893144826965,0.347019502638205
-1.3761226972676,NA,NA,NA,NA,NA
0.615310920449967,1.3958169954352,-0.623055982849033,-1.23331435633909,-1.84106115401947,0.347019502638205
1.05094848937953,0.126892454130473,1.99377914511691,-0.264281647786948,0.324893144826965,-0.80971217282248
0.621253667315636,0.126892454130473,1.12150076912826,0.704751060765195,0.324893144826965,0.347019502638205
NA,NA,NA,NA,NA,NA
0.120476180823514,0.126892454130473,0.249222393139613,-0.264281647786948,0.324893144826965,0.347019502638205
1.18897493289961,-1.14203208717426,1.12150076912826,-0.264281647786948,0.324893144826965,1.50375117809889
NA,NA,NA,NA,NA,NA
0.309816372555654,1.3958169954352,-0.623055982849033,-1.23331435633909,-1.84106115401947,-1.96644384828317
1.13157039530291,0.126892454130473,1.99377914511691,-0.264281647786948,-0.758084004596253,0.347019502638205
-1.30529111778841,NA,0.249222393139613,1.67378376931734,0.324893144826965,0.347019502638205
NA,NA,NA,NA,NA,NA
