ID_ESCOLA,AREA_LOCAL,AREA,LOCALIZACAO,TIPO_ESCOLA,CLUSTER,MEDIA_MT,MEDIA_LP,INSE_MEDIO,FAIXA_MT,FAIXA_LP,GRUPO_INSE
61459797,Rural_Interior,Interior,Rural,Publica,1,264.18,8719.78,3.88,Q2_Medio-Baixo,Q4_Alto,Baixo_INSE
61439327,Rural_Interior,Interior,Rural,Publica,1,256.39,8988.28,3.88,Q1_Baixo,Q4_Alto,Baixo_INSE
61399879,Rural_Interior,Interior,Rural,Publica,1,238.6,231.29,4.34,Q1_Baixo,Q1_Baixo,Baixo_INSE
61451159,Rural_Interior,Interior,Rural,Publica,1,233.24,12488.92,4.13,Q1_Baixo,Q4_Alto,Baixo_INSE
61459457,Rural_Interior,Interior,Rural,Publica,1,231.03,243.96,4.07,Q1_Baixo,Q1_Baixo,Baixo_INSE
61448126,Rural_Interior,Interior,Rural,Publica,1,230.1,240.56,4.03,Q1_Baixo,Q1_Baixo,Baixo_INSE
61459766,Rural_Interior,Interior,Rural,Publica,1,228.7,221.61,4.04,Q1_Baixo,Q1_Baixo,Baixo_INSE
61426084,Rural_Interior,Interior,Rural,Publica,1,226.45,218.28,4.27,Q1_Baixo,Q1_Baixo,Baixo_INSE
61438237,Rural_Interior,Interior,Rural,Publica,1,226.07,220.49,3.89,Q1_Baixo,Q1_Baixo,Baixo_INSE
61459394,Rural_Interior,Interior,Rural,Publica,1,224.71,206.69,3.99,Q1_Baixo,Q1_Baixo,Baixo_INSE
61465829,Rural_Interior,Interior,Rural,Publica,1,221.09,239.02,3.92,Q1_Baixo,Q1_Baixo,Baixo_INSE
61458778,Urbana_Capital,Capital,Urbana,Publica,1,243.98,252,4.63,Q1_Baixo,Q1_Baixo,Baixo_INSE
61432950,Urbana_Capital,Capital,Urbana,Publica,1,243.85,240.65,4.39,Q1_Baixo,Q1_Baixo,Baixo_INSE
61470491,Urbana_Interior,Interior,Urbana,Publica,1,226.03,210.95,4.15,Q1_Baixo,Q1_Baixo,Baixo_INSE
61425004,Urbana_Interior,Interior,Urbana,Publica,1,225.86,219.04,4.28,Q1_Baixo,Q1_Baixo,Baixo_INSE
61428646,Urbana_Interior,Interior,Urbana,Publica,1,221.21,222.31,4.39,Q1_Baixo,Q1_Baixo,Baixo_INSE
61412203,Urbana_Interior,Interior,Urbana,Publica,1,219.5,215.95,4.45,Q1_Baixo,Q1_Baixo,Baixo_INSE
61425129,Urbana_Interior,Interior,Urbana,Publica,1,219.02,214.28,4.44,Q1_Baixo,Q1_Baixo,Baixo_INSE
61416177,Rural_Interior,Interior,Rural,Publica,2,3706.96,302.9,5.68,Q4_Alto,Q4_Alto,Alto_INSE
61415627,Urbana_Capital,Capital,Urbana,Publica,2,3950.57,280.46,5.12,Q4_Alto,Q3_Medio-Alto,Alto_INSE
61470048,Urbana_Capital,Capital,Urbana,Publica,2,3177.12,235.21,4.87,Q4_Alto,Q1_Baixo,Medio_INSE
61451133,Urbana_Capital,Capital,Urbana,Publica,2,2648.64,306.36,5.54,Q4_Alto,Q4_Alto,Alto_INSE
61424801,Urbana_Capital,Capital,Urbana,Publica,2,2613.21,290.48,5.52,Q4_Alto,Q4_Alto,Alto_INSE
61421759,Urbana_Capital,Capital,Urbana,Privada,2,363.02,4995.63,6.31,Q4_Alto,Q4_Alto,Alto_INSE
61449078,Urbana_Capital,Capital,Urbana,Publica,2,246.99,243.98,5.13,Q1_Baixo,Q1_Baixo,Alto_INSE
61405119,Urbana_Capital,Capital,Urbana,Publica,2,242.04,252.95,5,Q1_Baixo,Q1_Baixo,Medio_INSE
61448608,Urbana_Capital,Capital,Urbana,Publica,2,239.16,236.3,4.97,Q1_Baixo,Q1_Baixo,Medio_INSE
61432943,Urbana_Capital,Capital,Urbana,Publica,2,239.12,232.39,5.05,Q1_Baixo,Q1_Baixo,Medio_INSE
61449076,Urbana_Capital,Capital,Urbana,Publica,2,232.24,223.99,4.9,Q1_Baixo,Q1_Baixo,Medio_INSE
61437644,Urbana_Capital,Capital,Urbana,Publica,2,230.79,234.96,5.11,Q1_Baixo,Q1_Baixo,Alto_INSE
61455969,Urbana_Interior,Interior,Urbana,Publica,2,245.44,206.29,4.87,Q1_Baixo,Q1_Baixo,Medio_INSE
61438217,Urbana_Interior,Interior,Urbana,Privada,2,240.94,195.25,5.43,Q1_Baixo,Q1_Baixo,Alto_INSE
61400070,Urbana_Interior,Interior,Urbana,Publica,2,218.83,202.72,5.04,Q1_Baixo,Q1_Baixo,Medio_INSE
61455951,Rural_Interior,Interior,Rural,Publica,3,276,28765.5,4.25,Q3_Medio-Alto,Q4_Alto,Baixo_INSE
61433082,Rural_Interior,Interior,Rural,Publica,3,271.48,7458.22,5.12,Q3_Medio-Alto,Q4_Alto,Alto_INSE
61399383,Urbana_Capital,Capital,Urbana,Publica,3,269.6,9253.96,4.84,Q3_Medio-Alto,Q4_Alto,Medio_INSE
61425090,Urbana_Capital,Capital,Urbana,Publica,3,265.82,8826.04,5,Q2_Medio-Baixo,Q4_Alto,Medio_INSE
61466270,Urbana_Interior,Interior,Urbana,Publica,3,291.34,27507.65,4.37,Q4_Alto,Q4_Alto,Baixo_INSE
61432993,Urbana_Interior,Interior,Urbana,Publica,3,259.22,19346.1,5.19,Q2_Medio-Baixo,Q4_Alto,Alto_INSE
61456024,Urbana_Interior,Interior,Urbana,Publica,3,255.73,14085.77,4.72,Q1_Baixo,Q4_Alto,Medio_INSE
61412188,Urbana_Interior,Interior,Urbana,Publica,3,247.34,18049.62,4.83,Q1_Baixo,Q4_Alto,Medio_INSE
61465816,Rural_Interior,Interior,Rural,Publica,4,18564.84,289.18,5.44,Q4_Alto,Q4_Alto,Alto_INSE
61432493,Urbana_Interior,Interior,Urbana,Publica,4,22195.53,283.44,4.4,Q4_Alto,Q3_Medio-Alto,Baixo_INSE
61421870,Urbana_Interior,Interior,Urbana,Publica,4,19851.56,273.67,4.73,Q4_Alto,Q3_Medio-Alto,Medio_INSE
61428659,Urbana_Interior,Interior,Urbana,Publica,4,16537.67,261.56,4.92,Q4_Alto,Q2_Medio-Baixo,Medio_INSE
