Termo,Coef,SE,t_value,p_valor,Sig,IC_95_inf,IC_95_sup,Referencia
AREA_LOCAL_Rural_Interior,14.526400924661619,2.185020330466013,6.648176551091167,3.6870564301046407e-11,***,10.243761076948234,18.809040772375006,Privada_Urbana_Capital
AREA_LOCAL_Rural_Interior,5.077977547555877,1.537474579927261,3.3028042309461267,9.717581844130112e-4,***,2.0645273708984453,8.091427724213307,Privada_Urbana_Interior
AREA_LOCAL_Rural_Interior,14.526400924661177,2.185020330466015,6.648176551090957,3.6870564301097776e-11,***,10.243761076947788,18.809040772374566,Publica_Urbana_Capital
AREA_LOCAL_Rural_Interior,5.077977547555831,1.5374745799272591,3.302804230946101,9.717581844130999e-4,***,2.0645273708984027,8.091427724213258,Publica_Urbana_Interior
AREA_LOCAL_Urbana_Capital,-14.52640092466147,2.1850203304660334,-6.648176551091036,3.687056430107833e-11,***,-18.809040772374896,-10.243761076948044,Privada_Rural_Interior
AREA_LOCAL_Urbana_Capital,-9.448423377105685,1.5766145552511006,-5.992855606740783,2.3838622042922852e-9,***,-12.538587905397844,-6.358258848813528,Privada_Urbana_Interior
AREA_LOCAL_Urbana_Capital,-14.526400924661028,2.1850203304660356,-6.648176551090827,3.6870564301129693e-11,***,-18.80904077237446,-10.243761076947598,Publica_Rural_Interior
AREA_LOCAL_Urbana_Capital,-9.448423377105293,1.5766145552510977,-5.992855606740545,2.3838622042957197e-9,***,-12.538587905397444,-6.358258848813142,Publica_Urbana_Interior
AREA_LOCAL_Urbana_Interior,-5.077977547555743,1.537474579927262,-3.3028042309460375,9.717581844133194e-4,***,-8.091427724213176,-2.0645273708983094,Privada_Rural_Interior
AREA_LOCAL_Urbana_Interior,9.448423377105758,1.5766145552510857,5.9928556067408865,2.3838622042907913e-9,***,6.35825884881363,12.538587905397886,Privada_Urbana_Capital
AREA_LOCAL_Urbana_Interior,-5.077977547555703,1.5374745799272602,-3.3028042309460153,9.717581844133951e-4,***,-8.091427724213133,-2.064527370898273,Publica_Rural_Interior
AREA_LOCAL_Urbana_Interior,9.448423377105364,1.5766145552510835,5.992855606740645,2.3838622042942717e-9,***,6.35825884881324,12.538587905397488,Publica_Urbana_Capital
INSE_MEDIO_norm,12.257243377943103,0.4072151661990894,30.10016422608013,2.4894608856365504e-168,***,11.459101652192889,13.055385103693318,Privada_Rural_Interior
INSE_MEDIO_norm,12.257243377943121,0.40721516619908926,30.100164226080178,2.4894608856335714e-168,***,11.459101652192906,13.055385103693336,Privada_Urbana_Capital
INSE_MEDIO_norm,12.257243377943118,0.4072151661990894,30.100164226080164,2.489460885634565e-168,***,11.459101652192903,13.055385103693332,Privada_Urbana_Interior
INSE_MEDIO_norm,12.257243377943078,0.4072151661990884,30.10016422608014,2.4894608856358415e-168,***,11.459101652192865,13.055385103693292,Publica_Rural_Interior
INSE_MEDIO_norm,12.257243377943098,0.4072151661990883,30.100164226080192,2.4894608856327194e-168,***,11.459101652192885,13.055385103693311,Publica_Urbana_Capital
INSE_MEDIO_norm,12.25724337794309,0.4072151661990884,30.100164226080167,2.4894608856341395e-168,***,11.459101652192876,13.055385103693302,Publica_Urbana_Interior
TIPO_ESCOLA_Privada,24.772599121658327,3.303876591966079,7.498040084758912,9.164366247154246e-14,***,18.297001001404812,31.248197241911843,Publica_Rural_Interior
TIPO_ESCOLA_Privada,24.772599121658256,3.3038765919660786,7.498040084758892,9.1643662471557e-14,***,18.29700100140474,31.24819724191177,Publica_Urbana_Capital
TIPO_ESCOLA_Privada,24.772599121658274,3.3038765919660795,7.4980400847588955,9.16436624715543e-14,***,18.29700100140476,31.24819724191179,Publica_Urbana_Interior
TIPO_ESCOLA_Publica,-24.77259912165742,3.3038765919661035,-7.498040084758583,9.164366247176679e-14,***,-31.248197241910983,-18.29700100140386,Privada_Rural_Interior
TIPO_ESCOLA_Publica,-24.772599121657358,3.3038765919661026,-7.498040084758566,9.164366247177963e-14,***,-31.24819724191092,-18.297001001403796,Privada_Urbana_Capital
TIPO_ESCOLA_Publica,-24.772599121657368,3.3038765919661035,-7.498040084758567,9.164366247177863e-14,***,-31.24819724191093,-18.297001001403807,Privada_Urbana_Interior
