Variavel,VIF_MT,VIF_LP,Status_MT,Status_LP
TIPO_ESCOLA_Privada,1.1043349287496498,1.1043349287496496,OK (<5),OK (<5)
AREA_LOCAL_Rural_Interior,2.2406805875133435,2.240680587513342,OK (<5),OK (<5)
AREA_LOCAL_Urbana_Interior,2.058489210523515,2.058489210523514,OK (<5),OK (<5)
INSE_MEDIO_norm,1.2359199400531407,1.2359199400531404,OK (<5),OK (<5)
