"PROFICIENCIA_MT_SAEB","TX_RESP_Q21a_num","TX_RESP_Q23c_num","TX_RESP_Q23g_num","TX_RESP_Q23h_num"
-0.0796335597233186,0.56136089142384,-0.254122269789712,-0.158113883008419,-2.00809116473334
-1.93217727470334,-1.98347514969757,1.11178493032999,-2.68793601114312,-0.568959163341112
NA,NA,NA,NA,NA
0.61614501140575,0.56136089142384,-0.254122269789712,-0.158113883008419,-0.568959163341112
-1.89554602006269,-0.711057129136863,-2.98593667002912,-2.68793601114312,-0.568959163341112
-0.340899920467815,-0.711057129136863,-0.254122269789712,-0.158113883008419,-0.568959163341112
-0.386907408354881,1.83377891198454,-1.62002946990941,-0.158113883008419,0.870172838051113
1.10270128224504,NA,1.11178493032999,-0.158113883008419,0.870172838051113
0.485816849202936,0.56136089142384,-0.254122269789712,-0.158113883008419,-0.568959163341112
-0.770943721039589,-0.711057129136863,-0.254122269789712,-0.158113883008419,-0.568959163341112
0.292417509049276,-0.711057129136863,1.11178493032999,1.10679718105893,0.870172838051113
0.459104651006023,1.83377891198454,1.11178493032999,1.10679718105893,0.870172838051113
-1.32494652952271,NA,1.11178493032999,NA,-2.00809116473334
0.333317260654182,-0.711057129136863,-0.254122269789712,-0.158113883008419,-0.568959163341112
-0.0783945255400501,-0.711057129136863,-0.254122269789712,1.10679718105893,-0.568959163341112
0.549904733830756,-0.711057129136863,-0.254122269789712,-0.158113883008419,0.870172838051113
0.269243157803552,NA,-0.254122269789712,-1.42302494707577,-2.00809116473334
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-0.48306511852245,NA,-1.62002946990941,-1.42302494707577,0.870172838051113
-0.616993161089666,-1.98347514969757,-0.254122269789712,NA,0.870172838051113
0.225579281168204,-0.711057129136863,-0.254122269789712,1.10679718105893,-0.568959163341112
0.977177564731068,0.56136089142384,1.11178493032999,1.10679718105893,0.870172838051113
NA,NA,NA,NA,NA
1.7793585778908,0.56136089142384,1.11178493032999,1.10679718105893,0.870172838051113
NA,NA,NA,NA,NA
-0.670026364666977,-0.711057129136863,-0.254122269789712,-0.158113883008419,0.870172838051113
-1.30179456210303,NA,NA,NA,-2.00809116473334
-0.24925884091735,NA,1.11178493032999,-0.158113883008419,0.870172838051113
-0.587878740548333,0.56136089142384,1.11178493032999,-0.158113883008419,0.870172838051113
-0.0757682799449378,0.56136089142384,1.11178493032999,1.10679718105893,-0.568959163341112
NA,NA,NA,NA,NA
0.697365525815015,0.56136089142384,-0.254122269789712,-0.158113883008419,0.870172838051113
1.09395228943519,-0.711057129136863,-0.254122269789712,-0.158113883008419,-0.568959163341112
2.28310605877252,0.56136089142384,-0.254122269789712,1.10679718105893,0.870172838051113
-1.5434554352596,-1.98347514969757,-1.62002946990941,-0.158113883008419,-0.568959163341112
-1.13597076986633,0.56136089142384,-0.254122269789712,-0.158113883008419,-0.568959163341112
-0.411174312299694,-0.711057129136863,-0.254122269789712,-1.42302494707577,-0.568959163341112
0.105773336275259,0.56136089142384,-0.254122269789712,1.10679718105893,0.870172838051113
NA,NA,NA,NA,NA
2.48362071158402,0.56136089142384,1.11178493032999,1.10679718105893,0.870172838051113
0.277080518425607,NA,1.11178493032999,1.10679718105893,0.870172838051113
1.18938795163855,1.83377891198454,1.11178493032999,-0.158113883008419,-0.568959163341112
NA,NA,NA,NA,NA
0.0825214124313052,0.56136089142384,1.11178493032999,-0.158113883008419,0.870172838051113
-0.100800303761649,0.56136089142384,-0.254122269789712,-0.158113883008419,0.870172838051113
-1.62087960960814,0.56136089142384,-0.254122269789712,-0.158113883008419,-0.568959163341112
-0.219658481695286,-0.711057129136863,-1.62002946990941,-1.42302494707577,-2.00809116473334
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0.936965360399829,0.56136089142384,1.11178493032999,1.10679718105893,0.870172838051113
-0.735542867701643,NA,-1.62002946990941,NA,NA
0.66910239979266,NA,-0.254122269789712,-0.158113883008419,0.870172838051113
-0.347925636158061,NA,-0.254122269789712,1.10679718105893,0.870172838051113
