"PROFICIENCIA_LP_SAEB","TX_RESP_Q10a_num","TX_RESP_Q10c_num","TX_RESP_Q10d_num","TX_RESP_Q10f_num","TX_RESP_Q21e_num","TX_RESP_Q22c_num","TX_RESP_Q22d_num","TX_RESP_Q22e_num","TX_RESP_Q22f_num","TX_RESP_Q22g_num","TX_RESP_Q22h_num","TX_RESP_Q23c_num","TX_RESP_Q23e_num","TX_RESP_Q23f_num"
-1.14416968143295,0.354245954216038,0.582085500087199,-0.242535625036333,1.06715675015986,-0.0716256161379083,-1.69207757903517,0,NA,-1.08653373420044,-0.775248412452487,-1.33490473438938,1.4776858785126,1.17851130197758,1.31414768081222
-1.44709305520376,0.354245954216038,0.582085500087199,-0.242535625036333,-0.582085500087199,-1.07438424206862,0.27291573855406,0,0,0.869226987360353,-0.775248412452487,-1.33490473438938,-1.65153127598467,-0.235702260395516,-1.64268460101527
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.733203574833025,-1.15129935120212,-2.71639900040693,-1.61690416690889,-2.23132775033426,-2.07714286799934,1.25541239734868,-1.03077640640442,-2,-1.08653373420044,-0.775248412452487,1.0679237875115,-0.086922698736035,-1.64991582276861,-0.164268460101527
-0.723017896647088,-1.15129935120212,-1.06715675015986,-1.61690416690889,-0.582085500087199,NA,-0.709580920240557,0,0,0.869226987360353,-0.775248412452487,-0.133490473438938,-0.086922698736035,-0.235702260395516,-0.164268460101527
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.204138078122665,0.354245954216038,0.582085500087199,1.13183291683622,1.06715675015986,-1.07438424206862,1.25541239734868,1.03077640640442,1,0.869226987360353,1.21824750528248,1.0679237875115,-0.086922698736035,-0.235702260395516,-0.164268460101527
1.07381883005246,0.354245954216038,0.582085500087199,1.13183291683622,1.06715675015986,NA,1.25541239734868,1.03077640640442,1,0.869226987360353,1.21824750528248,1.0679237875115,1.4776858785126,1.17851130197758,1.31414768081222
1.52966774965131,0.354245954216038,0.582085500087199,-0.242535625036333,1.06715675015986,-0.0716256161379083,0.27291573855406,0,0,-0.108653373420044,-0.775248412452487,-0.133490473438938,-0.086922698736035,1.17851130197758,1.31414768081222
0.994713031781255,NA,NA,NA,NA,NA,-0.709580920240557,-1.03077640640442,0,0.869226987360353,-0.775248412452487,-0.133490473438938,-0.086922698736035,-0.235702260395516,-0.164268460101527
-1.06961466088454,-1.15129935120212,0.582085500087199,1.13183291683622,-0.582085500087199,0.931133009792805,-0.709580920240557,-1.03077640640442,-1,-0.108653373420044,-0.775248412452487,-1.33490473438938,-1.65153127598467,-1.64991582276861,-1.64268460101527
1.88019169767774,0.354245954216038,0.582085500087199,1.13183291683622,1.06715675015986,0.931133009792805,0.27291573855406,1.03077640640442,1,0.869226987360353,1.21824750528248,-0.133490473438938,-0.086922698736035,-0.235702260395516,-0.164268460101527
0.0662706238897015,1.8597912596342,0.582085500087199,1.13183291683622,-0.582085500087199,NA,-1.69207757903517,0,1,-1.08653373420044,1.21824750528248,-1.33490473438938,-1.65153127598467,1.17851130197758,1.31414768081222
-0.127867152625058,-1.15129935120212,-1.06715675015986,-0.242535625036333,-0.582085500087199,0.931133009792805,-0.709580920240557,-1.03077640640442,-1,-1.08653373420044,1.21824750528248,1.0679237875115,-0.086922698736035,-0.235702260395516,-0.164268460101527
0.511837232086009,1.8597912596342,0.582085500087199,-0.242535625036333,-0.582085500087199,-1.07438424206862,0.27291573855406,1.03077640640442,1,0.869226987360353,-0.775248412452487,1.0679237875115,1.4776858785126,1.17851130197758,-0.164268460101527
0.572690040721233,0.354245954216038,-1.06715675015986,-0.242535625036333,-0.582085500087199,0.931133009792805,1.25541239734868,1.03077640640442,-1,-0.108653373420044,1.21824750528248,1.0679237875115,1.4776858785126,1.17851130197758,1.31414768081222
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.18235046686295,0.354245954216038,0.582085500087199,-0.242535625036333,-0.582085500087199,0.931133009792805,0.27291573855406,-2.06155281280883,-1,-2.06441409498084,-0.775248412452487,-0.133490473438938,-0.086922698736035,-0.235702260395516,-0.164268460101527
-1.45143395851567,-1.15129935120212,-1.06715675015986,-0.242535625036333,1.06715675015986,-0.0716256161379083,-0.709580920240557,-1.03077640640442,-1,-1.08653373420044,-0.775248412452487,-1.33490473438938,-0.086922698736035,-0.235702260395516,-1.64268460101527
0.355913069299682,0.354245954216038,0.582085500087199,1.13183291683622,1.06715675015986,0.931133009792805,-0.709580920240557,1.03077640640442,1,0.869226987360353,1.21824750528248,1.0679237875115,-0.086922698736035,-1.64991582276861,-0.164268460101527
-0.675190840002917,-1.15129935120212,0.582085500087199,-1.61690416690889,-0.582085500087199,-0.0716256161379083,1.25541239734868,1.03077640640442,1,0.869226987360353,-0.775248412452487,-0.133490473438938,-0.086922698736035,-0.235702260395516,-0.164268460101527
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
