"PROFICIENCIA_MT_SAEB","TX_RESP_Q21a_num","TX_RESP_Q21e_num","TX_RESP_Q23a_num"
0.659849089726056,-0.215472901842834,-0.0716256161379083,1.4776858785126
1.88424716177613,1.292837411057,-1.07438424206862,1.4776858785126
NA,NA,NA,NA
0.0214897119833345,-1.72378321474267,-2.07714286799934,1.4776858785126
0.0905281300711623,NA,NA,-1.65153127598467
NA,NA,NA,NA
NA,NA,NA,NA
0.304611283770439,-0.215472901842834,-1.07438424206862,-0.086922698736035
1.08824466354452,NA,NA,1.4776858785126
0.00949889506376297,1.292837411057,-0.0716256161379083,-0.086922698736035
0.386027739329008,NA,NA,-0.086922698736035
0.822127867330534,1.292837411057,0.931133009792805,-1.65153127598467
-1.64065751008642,-0.215472901842834,0.931133009792805,-0.086922698736035
0.0599146126554788,NA,NA,-0.086922698736035
0.181224779057086,-0.215472901842834,0.931133009792805,-0.086922698736035
0.962948693663892,-0.215472901842834,-1.07438424206862,-0.086922698736035
-0.190724072291084,1.292837411057,0.931133009792805,-0.086922698736035
NA,NA,NA,NA
-1.36330434990952,-0.215472901842834,0.931133009792805,-0.086922698736035
-0.919849062104009,-0.215472901842834,-0.0716256161379083,-0.086922698736035
-0.247727158027337,-0.215472901842834,0.931133009792805,-0.086922698736035
-2.10845047555304,-1.72378321474267,-0.0716256161379083,-1.65153127598467
NA,NA,NA,NA
NA,NA,NA,NA
