"PROFICIENCIA_MT_SAEB","TX_RESP_Q21d_num","TX_RESP_Q22a_num","TX_RESP_Q22b_num","TX_RESP_Q22f_num","TX_RESP_Q23c_num","TX_RESP_Q23d_num","TX_RESP_Q23f_num","TX_RESP_Q23h_num","TX_RESP_Q23i_num","TX_RESP_Q19_num"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.01682059897724,NA,-0.199888981395831,-0.467165729979027,1.40732464621584,-0.665912091816292,0.449088713139071,-0.767631625208642,-2.09574732798234,0.449088713139071,NA
-1.31926981228419,-0.359937016532678,-0.199888981395831,-0.467165729979027,0.3198465105036,-2.28312717194157,-2.09574732798234,-0.767631625208642,-2.09574732798234,-2.09574732798234,-0.277350098112614
1.27340419610499,-0.359937016532678,0.932815246513878,-0.467165729979027,0.3198465105036,0.951302988308988,0.449088713139071,-0.767631625208642,0.449088713139071,0.449088713139071,3.32820117735137
-0.669787692603811,3.14944889466093,0.932815246513878,1.51828862243184,1.40732464621584,0.951302988308988,0.449088713139071,1.40732464621584,0.449088713139071,0.449088713139071,-0.277350098112614
0.760000187616341,-0.359937016532678,0.932815246513878,1.51828862243184,-0.767631625208642,0.951302988308988,0.449088713139071,1.40732464621584,0.449088713139071,0.449088713139071,-0.277350098112614
0.394761924618472,0.809858287198525,0.932815246513878,1.51828862243184,1.40732464621584,0.951302988308988,0.449088713139071,1.40732464621584,0.449088713139071,0.449088713139071,-0.277350098112614
-1.07590566715859,NA,-0.199888981395831,-1.45989290618446,-1.85510976092088,-0.665912091816292,-2.09574732798234,-0.767631625208642,0.449088713139071,0.449088713139071,NA
-0.347337316232594,NA,-0.199888981395831,-0.467165729979027,0.3198465105036,-0.665912091816292,0.449088713139071,-0.767631625208642,-2.09574732798234,0.449088713139071,NA
1.24237348588645,-0.359937016532678,-0.199888981395831,0.525561446226405,-0.767631625208642,0.951302988308988,0.449088713139071,0.3198465105036,0.449088713139071,0.449088713139071,-0.277350098112614
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.00582540966616974,-0.359937016532678,-1.33259320930554,-0.467165729979027,0.3198465105036,-0.665912091816292,0.449088713139071,0.3198465105036,0.449088713139071,0.449088713139071,-0.277350098112614
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.722831640231642,-0.359937016532678,0.932815246513878,-0.467165729979027,-0.767631625208642,-0.665912091816292,0.449088713139071,-0.767631625208642,0.449088713139071,-2.09574732798234,-0.277350098112614
-0.380310540209512,-0.359937016532678,-1.33259320930554,-1.45989290618446,1.40732464621584,0.951302988308988,0.449088713139071,-0.767631625208642,0.449088713139071,0.449088713139071,-0.277350098112614
0.371686235439808,-0.359937016532678,-2.46529743721525,-0.467165729979027,-0.767631625208642,-0.665912091816292,0.449088713139071,0.3198465105036,0.449088713139071,0.449088713139071,-0.277350098112614
0.9272727280824,-0.359937016532678,-0.199888981395831,0.525561446226405,-0.767631625208642,-0.665912091816292,0.449088713139071,0.3198465105036,0.449088713139071,0.449088713139071,-0.277350098112614
-1.24510153583872,NA,-0.199888981395831,-0.467165729979027,0.3198465105036,0.951302988308988,-2.09574732798234,-1.85510976092088,0.449088713139071,-2.09574732798234,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.14259371931369,-0.359937016532678,0.932815246513878,-0.467165729979027,-0.767631625208642,0.951302988308988,0.449088713139071,1.40732464621584,0.449088713139071,0.449088713139071,-0.277350098112614
0.213783636344697,-0.359937016532678,0.932815246513878,1.51828862243184,-0.767631625208642,-0.665912091816292,0.449088713139071,0.3198465105036,0.449088713139071,0.449088713139071,-0.277350098112614
