"PROFICIENCIA_MT_SAEB","TX_RESP_Q10e_num","TX_RESP_Q22f_num"
NA,NA,NA
-0.429486573539389,0.526415125315332,-1.1032440509232
-0.0917014429640051,-2.53636378561023,0.157606292989029
-0.308713727891677,0.526415125315332,0.157606292989029
0.692052314063856,0.526415125315332,0.157606292989029
1.50442977860578,0.526415125315332,1.41845663690126
1.99883286037514,-2.53636378561023,-1.1032440509232
-1.46278949192646,-1.00497433014745,0.157606292989029
-0.74396544220463,0.526415125315332,-1.1032440509232
1.85514409308531,-2.53636378561023,1.41845663690126
-0.264937097754844,0.526415125315332,1.41845663690126
-0.683137580304227,0.526415125315332,-1.1032440509232
-0.925482556946468,0.526415125315332,0.157606292989029
-1.25413932215437,0.526415125315332,-1.1032440509232
-0.757305091525289,0.526415125315332,1.41845663690126
0.791911162091273,0.526415125315332,1.41845663690126
NA,NA,NA
NA,NA,NA
-0.100753456455719,0.526415125315332,0.157606292989029
1.16016638592305,-1.00497433014745,1.41845663690126
-0.583031020301863,0.526415125315332,-1.1032440509232
NA,NA,NA
NA,NA,NA
-0.851767281776622,0.526415125315332,0.157606292989029
-0.465455573725779,0.526415125315332,-1.1032440509232
0.508413683988875,0.526415125315332,0.157606292989029
-0.779757284393749,0.526415125315332,0.157606292989029
0.802923380506978,0.526415125315332,0.157606292989029
0.936417999917738,-1.00497433014745,0.157606292989029
0.0318640311631676,0.526415125315332,-1.1032440509232
-1.37560781249944,-1.00497433014745,-1.1032440509232
1.65613647205198,-1.00497433014745,-1.1032440509232
1.01889436293723,0.526415125315332,1.41845663690126
-1.49359661055686,0.526415125315332,-1.1032440509232
0.247336703578698,0.526415125315332,1.41845663690126
NA,NA,NA
0.173320401539888,0.526415125315332,-1.1032440509232
NA,NA,NA
-0.806216262907553,0.526415125315332,0.157606292989029
NA,NA,NA
