"PROFICIENCIA_LP_SAEB","TX_RESP_Q22b_num","TX_RESP_Q22c_num","TX_RESP_Q23a_num","TX_RESP_Q19_num"
-1.51416422552224,-0.706317241284438,1.74408357466046,-1.43831385180441,-0.487904561874226
-0.492638920628805,0.332384584133853,-0.8590262382656,0.0293533439143757,1.64113352630422
-1.42857283336859,1.37108640955214,0.44252866819743,0.0293533439143757,-0.487904561874226
-0.377128538466389,-0.706317241284438,-0.8590262382656,-1.43831385180441,1.64113352630422
NA,NA,NA,NA,NA
-2.32225048878809,1.37108640955214,1.74408357466046,1.49702053963316,1.64113352630422
0.290464716453172,1.37108640955214,1.74408357466046,-2.90598104752319,1.64113352630422
NA,NA,NA,NA,NA
-1.31776273290945,1.37108640955214,0.44252866819743,0.0293533439143757,1.64113352630422
-0.213292409535006,1.37108640955214,-0.8590262382656,0.0293533439143757,1.64113352630422
NA,NA,NA,NA,NA
0.493776137155624,-1.74501906670273,-2.16058114472863,-1.43831385180441,-0.487904561874226
0.78823496780899,-0.706317241284438,-0.8590262382656,0.0293533439143757,NA
NA,NA,NA,NA,NA
0.276302552981254,-0.706317241284438,0.44252866819743,0.0293533439143757,-0.487904561874226
-0.369584773051553,0.332384584133853,0.44252866819743,0.0293533439143757,-0.487904561874226
NA,NA,NA,NA,NA
-0.718464828452694,-0.706317241284438,-0.8590262382656,-1.43831385180441,-0.487904561874226
1.4699915431507,-0.706317241284438,-0.8590262382656,-1.43831385180441,-0.487904561874226
1.19288304514889,-0.706317241284438,0.44252866819743,0.0293533439143757,NA
0.62395619829019,1.37108640955214,-0.8590262382656,0.0293533439143757,-0.487904561874226
0.707453617655292,1.37108640955214,-0.8590262382656,-1.43831385180441,1.64113352630422
0.151237047431774,-0.706317241284438,-0.8590262382656,0.0293533439143757,-0.487904561874226
-0.122255959681003,0.332384584133853,1.74408357466046,1.49702053963316,-0.487904561874226
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-0.0543229917397618,-1.74501906670273,-0.8590262382656,1.49702053963316,-0.487904561874226
NA,NA,NA,NA,NA
-0.450551449491851,-0.706317241284438,0.44252866819743,1.49702053963316,1.64113352630422
NA,NA,NA,NA,NA
-1.29420951873287,-0.706317241284438,-0.8590262382656,0.0293533439143757,1.64113352630422
-2.06944355893566,1.37108640955214,1.74408357466046,1.49702053963316,-0.487904561874226
-0.0114222274421893,-1.74501906670273,-0.8590262382656,-2.90598104752319,-0.487904561874226
0.984395686224231,-0.706317241284438,-0.8590262382656,0.0293533439143757,-0.487904561874226
0.0398237688285034,-1.74501906670273,0.44252866819743,0.0293533439143757,-0.487904561874226
1.15451966824742,-0.706317241284438,0.44252866819743,1.49702053963316,-0.487904561874226
-2.01575419090742,-0.706317241284438,0.44252866819743,0.0293533439143757,-0.487904561874226
0.860825710245106,-0.706317241284438,-0.8590262382656,-1.43831385180441,-0.487904561874226
0.202712055572694,-0.706317241284438,-0.8590262382656,0.0293533439143757,-0.487904561874226
0.195570780287347,-0.706317241284438,-0.8590262382656,0.0293533439143757,-0.487904561874226
0.175027522105209,-0.706317241284438,0.44252866819743,-1.43831385180441,-0.487904561874226
-1.06118095298651,-0.706317241284438,-0.8590262382656,0.0293533439143757,-0.487904561874226
0.797373439138769,-0.706317241284438,-0.8590262382656,-2.90598104752319,-0.487904561874226
0.352115723178776,-0.706317241284438,-0.8590262382656,0.0293533439143757,-0.487904561874226
-1.38082309783839,-0.706317241284438,0.44252866819743,0.0293533439143757,-0.487904561874226
-0.701506359128526,-0.706317241284438,-0.8590262382656,0.0293533439143757,-0.487904561874226
0.941922222211048,0.332384584133853,-0.8590262382656,0.0293533439143757,-0.487904561874226
0.0480722240575092,1.37108640955214,0.44252866819743,0.0293533439143757,-0.487904561874226
-0.607703105653102,1.37108640955214,0.44252866819743,-1.43831385180441,-0.487904561874226
