"PROFICIENCIA_MT_SAEB","TX_RESP_Q10b_num","TX_RESP_Q21a_num","TX_RESP_Q23f_num","TX_RESP_Q19_num"
-0.122707208922806,-0.157084442610031,-0.131122013621437,-0.519237752033935,-0.35
-0.105742433192224,-1.36887871417312,-0.131122013621437,0.684449764044734,-0.35
1.11373881756742,1.05470982895306,1.18009812259293,-0.519237752033935,-0.35
-0.905934771194544,-1.36887871417312,NA,-0.519237752033935,NA
2.28988611001171,1.05470982895306,1.18009812259293,0.684449764044734,-0.35
-0.631724290716078,-0.157084442610031,-0.131122013621437,-0.519237752033935,-0.35
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0.452560852465633,1.05470982895306,1.18009812259293,0.684449764044734,-0.35
-0.139894359434025,1.05470982895306,-0.131122013621437,1.8881372801234,-0.35
3.10658992384335,1.05470982895306,1.18009812259293,0.684449764044734,-0.35
0.363488685735521,1.05470982895306,-0.131122013621437,-0.519237752033935,-0.35
0.0611399375463001,1.05470982895306,1.18009812259293,-0.519237752033935,-0.35
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-0.825907061787371,-0.157084442610031,-0.131122013621437,-0.519237752033935,3.15
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
2.21884142296535,1.05470982895306,-0.131122013621437,0.684449764044734,-0.35
-0.0390418244073065,-0.157084442610031,-1.44234214983581,-0.519237752033935,-0.35
0.0540279669623886,-0.157084442610031,1.18009812259293,0.684449764044734,-0.35
-0.530514245972343,1.05470982895306,2.49131825880731,0.684449764044734,-0.35
0.438069103219598,-1.36887871417312,1.18009812259293,0.684449764044734,-0.35
NA,NA,NA,NA,NA
-1.72075278446231,-1.36887871417312,-1.44234214983581,-0.519237752033935,-0.35
1.39627260342874,-1.36887871417312,-0.131122013621437,1.8881372801234,-0.35
0.537915467646494,1.05470982895306,-1.44234214983581,-1.7229252681126,-0.35
0.43599534903813,-0.157084442610031,-1.44234214983581,0.684449764044734,-0.35
NA,NA,NA,NA,NA
1.15312550812987,-0.157084442610031,-0.131122013621437,0.684449764044734,-0.35
1.43664089060616,-0.157084442610031,-0.131122013621437,-0.519237752033935,-0.35
0.194449035643401,1.05470982895306,-0.131122013621437,-0.519237752033935,-0.35
-0.193050416405145,-0.157084442610031,-0.131122013621437,-1.7229252681126,-0.35
-0.0993491527538552,-0.157084442610031,-0.131122013621437,-0.519237752033935,-0.35
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0.370584698615494,1.05470982895306,-1.44234214983581,-0.519237752033935,-0.35
-0.505234781139824,1.05470982895306,1.18009812259293,-0.519237752033935,-0.35
-0.849626320365159,-1.36887871417312,-0.131122013621437,-1.7229252681126,-0.35
-0.618008973885896,-1.36887871417312,-0.131122013621437,NA,-0.35
NA,NA,NA,NA,NA
-1.40447496094319,-1.36887871417312,-1.44234214983581,-0.519237752033935,-0.35
0.0805494950650651,-1.36887871417312,-0.131122013621437,-0.519237752033935,-0.35
-1.62604414129424,1.05470982895306,1.18009812259293,0.684449764044734,-0.35
1.37581634362136,1.05470982895306,1.18009812259293,0.684449764044734,-0.35
-1.35895422570029,-1.36887871417312,NA,NA,NA
0.678481496461765,-1.36887871417312,1.18009812259293,1.8881372801234,-0.35
-0.998621269945405,-1.36887871417312,1.18009812259293,-1.7229252681126,1.4
NA,NA,NA,NA,NA
-0.139759202517337,1.05470982895306,-0.131122013621437,1.8881372801234,3.15
NA,NA,NA,NA,NA
-1.83228985950763,-0.157084442610031,-0.131122013621437,-0.519237752033935,1.4
-0.35722879157788,NA,NA,NA,NA
0.486556740497715,-0.157084442610031,-0.131122013621437,0.684449764044734,-0.35
1.2078749836018,1.05470982895306,1.18009812259293,-0.519237752033935,-0.35
-0.184668137854711,-1.36887871417312,-1.44234214983581,-1.7229252681126,-0.35
NA,NA,NA,NA,NA
-0.791178965720046,-0.157084442610031,-1.44234214983581,0.684449764044734,3.15
-1.01313143868993,-0.157084442610031,-1.44234214983581,-0.519237752033935,-0.35
0.116845204751071,-1.36887871417312,NA,NA,NA
0.150208411584592,NA,NA,NA,NA
-0.971279107026572,-0.157084442610031,-1.44234214983581,-1.7229252681126,-0.35
NA,NA,NA,NA,NA
NA,1.05470982895306,-0.131122013621437,0.684449764044734,-0.35
NA,-1.36887871417312,-0.131122013621437,0.684449764044734,-0.35
-0.363441459821676,1.05470982895306,-1.44234214983581,0.684449764044734,3.15
-0.0952065459997061,1.05470982895306,NA,1.8881372801234,NA
-0.959046625765361,1.05470982895306,-0.131122013621437,0.684449764044734,-0.35
-0.23253415002942,-0.157084442610031,-0.131122013621437,-0.519237752033935,-0.35
-0.00896247565691733,1.05470982895306,1.18009812259293,-0.519237752033935,-0.35
-0.0953490663197264,-0.157084442610031,-0.131122013621437,-0.519237752033935,-0.35
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
