"PROFICIENCIA_LP_SAEB","TX_RESP_Q21e_num"
-0.14687537900317,1.0445485642645
-0.14685310110792,NA
NA,NA
-0.147661387112622,1.0445485642645
-0.147641872186368,-1.14402937990873
-0.147193325915894,-0.0497404078221188
-0.14672136526186,-0.0497404078221188
-0.147747773503037,-1.14402937990873
-0.146134840470993,1.0445485642645
-0.14671363244722,1.0445485642645
NA,NA
NA,NA
NA,NA
-0.149268503984194,-1.14402937990873
-0.14696239978671,1.0445485642645
-0.146653698760575,-0.0497404078221188
-0.14841165204241,-0.0497404078221188
-0.147368219187718,1.0445485642645
-0.148187254743106,-1.14402937990873
-0.148050994478967,-0.0497404078221188
-0.1477573230869,1.0445485642645
-0.149074498020855,-1.14402937990873
-0.149899954387304,-0.0497404078221188
NA,NA
NA,NA
6.63488506680739,-1.14402937990873
-0.147370268139827,1.0445485642645
NA,NA
-0.148791757060157,-2.23831835199535
-0.147270938821366,-0.0497404078221188
-0.145738163029192,-1.14402937990873
NA,NA
NA,NA
-0.147436877752062,-0.0497404078221188
-0.146853615354916,NA
NA,NA
-0.147904903865336,-1.14402937990873
-0.147241593570119,1.0445485642645
-0.149023155615488,-1.14402937990873
NA,NA
-0.147048930602376,1.0445485642645
-0.145655017423835,1.0445485642645
-0.147421431036487,-1.14402937990873
-0.147747661466281,-0.0497404078221188
-0.14689960866054,-0.0497404078221188
-0.146764025957856,-1.14402937990873
NA,NA
-0.146146634734417,1.0445485642645
-0.148366386277462,-0.0497404078221188
-0.147573955984969,1.0445485642645
-0.147123212294698,1.0445485642645
-0.148918575710252,-1.14402937990873
-0.147035589506528,-1.14402937990873
NA,NA
-0.146064959008183,-1.14402937990873
-0.146520715736927,1.0445485642645
-0.148634572700698,1.0445485642645
-0.147335661472972,1.0445485642645
NA,NA
NA,NA
-0.14681967953662,1.0445485642645
