"PROFICIENCIA_MT_SAEB","TX_RESP_Q10a_num","TX_RESP_Q10b_num","TX_RESP_Q10f_num","TX_RESP_Q21a_num","TX_RESP_Q22a_num","TX_RESP_Q22e_num","TX_RESP_Q23d_num","TX_RESP_Q23i_num"
-0.163024028210012,1.13284303119776,-0.124646392502318,0.626783170528009,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
0.683950944865731,-0.809173593712687,-0.124646392502318,-0.626783170528009,1.08980882931709,0.92499458012576,0.539359889970594,0.242179739848241,1.04446593573419
0.608809856259514,-0.809173593712687,-1.62040310253013,0.626783170528009,-1.57416830901357,0.92499458012576,-0.943879807448539,0.242179739848241,1.04446593573419
-0.948249362081988,-0.809173593712687,-0.124646392502318,0.626783170528009,-0.242179739848241,-1.61874051522008,-0.943879807448539,0.242179739848241,-0.870388279778489
-1.28588410599471,-0.809173593712687,-0.124646392502318,0.626783170528009,-1.57416830901357,-0.34687296754716,0.539359889970594,-1.08980882931709,-0.870388279778489
2.47003403376731,-0.809173593712687,-1.62040310253013,-1.88034951158403,1.08980882931709,-0.34687296754716,-0.943879807448539,0.242179739848241,-0.870388279778489
-0.690417666866832,1.13284303119776,1.37111031752549,0.626783170528009,-0.242179739848241,0.92499458012576,0.539359889970594,0.242179739848241,-0.870388279778489
-0.347932289338574,1.13284303119776,-0.124646392502318,0.626783170528009,-0.242179739848241,-1.61874051522008,0.539359889970594,-2.42179739848241,1.04446593573419
NA,NA,NA,NA,NA,NA,NA,NA,NA
0.114694633488874,1.13284303119776,-0.124646392502318,-0.626783170528009,-0.242179739848241,-0.34687296754716,0.539359889970594,0.242179739848241,-0.870388279778489
NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.294015029619488,1.13284303119776,1.37111031752549,0.626783170528009,1.08980882931709,0.92499458012576,2.02259958738973,1.57416830901357,1.04446593573419
-0.0908117743263209,-0.809173593712687,-0.124646392502318,-1.88034951158403,1.08980882931709,-0.34687296754716,-0.943879807448539,0.242179739848241,-0.870388279778489
0.913236772952056,-0.809173593712687,1.37111031752549,0.626783170528009,-0.242179739848241,0.92499458012576,-0.943879807448539,0.242179739848241,1.04446593573419
-0.970391984895555,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
