"PROFICIENCIA_MT_SAEB","TX_RESP_Q22a_num","TX_RESP_Q19_num"
-1.20082520544255,1.16555439417764,3.327478833083
-1.06615637984204,1.16555439417764,NA
NA,NA,NA
NA,NA,NA
1.10230255653963,-0.132449362974731,3.327478833083
NA,NA,NA
-0.460660762860382,1.16555439417764,-0.475354119011857
NA,NA,NA
-0.00620524424285478,1.16555439417764,-0.475354119011857
-0.130731462069073,1.16555439417764,-0.475354119011857
-0.399614774834901,-1.4304531201271,-0.475354119011857
-0.3885996095614,-1.4304531201271,-0.475354119011857
0.678219302542615,-0.132449362974731,-0.475354119011857
-1.80194142946363,1.16555439417764,-0.475354119011857
-1.04285339456356,1.16555439417764,-0.475354119011857
-0.028851045891052,1.16555439417764,-0.475354119011857
-0.422553732535297,-0.132449362974731,-0.475354119011857
-0.785017190217765,-0.132449362974731,-0.475354119011857
-1.19641523655182,1.16555439417764,-0.475354119011857
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
-0.14882838564146,1.16555439417764,1.42606235703557
-0.285056111368265,-1.4304531201271,-0.475354119011857
NA,NA,NA
0.610005396727286,-0.132449362974731,-0.475354119011857
1.82222207916897,-1.4304531201271,-0.475354119011857
0.912171752946517,-1.4304531201271,-0.475354119011857
1.30202162380764,1.16555439417764,-0.475354119011857
2.55968967499534,-0.132449362974731,-0.475354119011857
-0.0948808110963243,-0.132449362974731,-0.475354119011857
-0.197989459902441,-0.132449362974731,-0.475354119011857
1.45760505680659,-0.132449362974731,-0.475354119011857
0.687344875333127,-0.132449362974731,-0.475354119011857
-0.161492737039871,-0.132449362974731,-0.475354119011857
0.514784368417986,-1.4304531201271,-0.475354119011857
0.153990977983456,-0.132449362974731,-0.475354119011857
1.16727916738999,-0.132449362974731,-0.475354119011857
-0.107117248623578,-0.132449362974731,-0.475354119011857
0.387919812831554,1.16555439417764,-0.475354119011857
-1.23985895989432,1.16555439417764,1.42606235703557
NA,NA,NA
-0.552197093285396,-1.4304531201271,-0.475354119011857
2.72469601306161,-1.4304531201271,-0.475354119011857
0.847088151199128,-1.4304531201271,1.42606235703557
0.846239234114195,-1.4304531201271,-0.475354119011857
0.590016121380653,-0.132449362974731,-0.475354119011857
NA,NA,NA
-0.791620994525669,-1.4304531201271,-0.475354119011857
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
0.441938234044099,1.16555439417764,-0.475354119011857
-1.30550523333182,1.16555439417764,1.42606235703557
-0.451393471876571,1.16555439417764,1.42606235703557
0.175972660485502,-1.4304531201271,-0.475354119011857
-0.224139312862267,-0.132449362974731,1.42606235703557
NA,NA,NA
NA,NA,NA
-0.575048549136921,-0.132449362974731,-0.475354119011857
NA,NA,NA
-1.20123089583277,1.16555439417764,1.42606235703557
NA,NA,NA
-0.123299572082303,-0.132449362974731,-0.475354119011857
NA,NA,NA
-1.66919413949265,-0.132449362974731,1.42606235703557
-0.92222861570694,-0.132449362974731,-0.475354119011857
