"ID_SAEB","ID_REGIAO","ID_UF","ID_MUNICIPIO","ID_AREA","ID_ESCOLA","IN_PUBLICA","ID_LOCALIZACAO","ID_TURMA","ID_SERIE","ID_ALUNO","IN_SITUACAO_CENSO","IN_PREENCHIMENTO_LP","IN_PREENCHIMENTO_MT","IN_PRESENCA_LP","IN_PRESENCA_MT","ID_CADERNO_LP","ID_BLOCO_1_LP","ID_BLOCO_2_LP","ID_CADERNO_MT","ID_BLOCO_1_MT","ID_BLOCO_2_MT","TX_RESP_BLOCO1_LP","TX_RESP_BLOCO2_LP","TX_RESP_BLOCO1_MT","TX_RESP_BLOCO2_MT","IN_PROFICIENCIA_LP","IN_PROFICIENCIA_MT","IN_AMOSTRA","ESTRATO","PESO_ALUNO_LP","PROFICIENCIA_LP","ERRO_PADRAO_LP","PROFICIENCIA_LP_SAEB","ERRO_PADRAO_LP_SAEB","PESO_ALUNO_MT","PROFICIENCIA_MT","ERRO_PADRAO_MT","PROFICIENCIA_MT_SAEB","ERRO_PADRAO_MT_SAEB","IN_PREENCHIMENTO_QUESTIONARIO","IN_INSE","INSE_ALUNO","NU_TIPO_NIVEL_INSE","PESO_ALUNO_INSE","TX_RESP_Q01","TX_RESP_Q02","TX_RESP_Q03","TX_RESP_Q04","TX_RESP_Q05a","TX_RESP_Q05b","TX_RESP_Q05c","TX_RESP_Q06","TX_RESP_Q07a","TX_RESP_Q07b","TX_RESP_Q07c","TX_RESP_Q07d","TX_RESP_Q07e","TX_RESP_Q08","TX_RESP_Q09","TX_RESP_Q10a","TX_RESP_Q10b","TX_RESP_Q10c","TX_RESP_Q10d","TX_RESP_Q10e","TX_RESP_Q10f","TX_RESP_Q11a","TX_RESP_Q11b","TX_RESP_Q11c","TX_RESP_Q12a","TX_RESP_Q12b","TX_RESP_Q12c","TX_RESP_Q12d","TX_RESP_Q12e","TX_RESP_Q12f","TX_RESP_Q12g","TX_RESP_Q13a","TX_RESP_Q13b","TX_RESP_Q13c","TX_RESP_Q13d","TX_RESP_Q13e","TX_RESP_Q13f","TX_RESP_Q13g","TX_RESP_Q13h","TX_RESP_Q13i","TX_RESP_Q14","TX_RESP_Q15a","TX_RESP_Q15b","TX_RESP_Q16","TX_RESP_Q17","TX_RESP_Q18","TX_RESP_Q19","TX_RESP_Q20","TX_RESP_Q21a","TX_RESP_Q21b","TX_RESP_Q21c","TX_RESP_Q21d","TX_RESP_Q21e","TX_RESP_Q22a","TX_RESP_Q22b","TX_RESP_Q22c","TX_RESP_Q22d","TX_RESP_Q22e","TX_RESP_Q22f","TX_RESP_Q22g","TX_RESP_Q22h","TX_RESP_Q23a","TX_RESP_Q23b","TX_RESP_Q23c","TX_RESP_Q23d","TX_RESP_Q23e","TX_RESP_Q23f","TX_RESP_Q23g","TX_RESP_Q23h","TX_RESP_Q23i","TX_RESP_Q24","TX_RESP_Q25","TX_RESP_Q10a_num","TX_RESP_Q10b_num","TX_RESP_Q10c_num","TX_RESP_Q10d_num","TX_RESP_Q10e_num","TX_RESP_Q10f_num","TX_RESP_Q21a_num","TX_RESP_Q21b_num","TX_RESP_Q21c_num","TX_RESP_Q21d_num","TX_RESP_Q21e_num","TX_RESP_Q22a_num","TX_RESP_Q22b_num","TX_RESP_Q22c_num","TX_RESP_Q22d_num","TX_RESP_Q22e_num","TX_RESP_Q22f_num","TX_RESP_Q22g_num","TX_RESP_Q22h_num","TX_RESP_Q23a_num","TX_RESP_Q23b_num","TX_RESP_Q23c_num","TX_RESP_Q23d_num","TX_RESP_Q23e_num","TX_RESP_Q23f_num","TX_RESP_Q23g_num","TX_RESP_Q23h_num","TX_RESP_Q23i_num","TX_RESP_Q19_num","TX_RESP_Q20_num","Q01_masculino","Q01_feminino","Q04_Branca","Q04_Preta","Q04_Parda","Q04_Amarela","Q04_Indigena"
2023,3,31,6324728,2,61399871,1,1,1613203,12,52350960,1,0,0,0,0,10,3,5,10,3,5,".............",".............",".............",".............",0,0,0,"63247282112",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6324728,2,61399871,1,1,1613203,12,52350961,1,0,0,0,0,3,3,4,3,3,4,".............",".............",".............",".............",0,0,0,"63247282112",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6324728,2,61399871,1,1,1613203,12,52351043,1,1,1,1,1,11,4,6,11,4,6,"BADEDECBDCACC","EACBABDBDBECE","DDEBCDCBCEBBC","DBBEBDDABADBC",1,1,0,"63247282112",1.6956521739,"0.88478",0.32215,298.730496,17.748327,1.6956521739,-0.028055,0.705779,248.396322,39.447631,1,1,5.21,5,1.6956521739,"A","C","A","A","A","A","A","B","B","A","A","A","B","F","F","B","C","C","C","C","C","B","B","B","B","B","D","C","C","A","C","B","B","B","B","B","A","B","B","B","A","A","A","B","A","A","B","A","C","C","D","D","C","B","B","B","C","C","C","C","B","A","A","A","A","B","B","A","A","A","C","A",2,3,3,3,3,3,3,3,4,4,3,3,3,3,2,2,2,2,3,4,4,4,4,3,3,4,4,4,2,1,1,0,1,0,0,0,0
2023,3,31,6324728,2,61399871,1,1,1613203,12,52351044,1,0,0,0,0,13,6,1,13,6,1,".............",".............",".............",".............",0,0,0,"63247282112",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6324728,2,61399871,1,1,1613203,12,52351045,1,1,1,1,1,12,5,7,12,5,7,"BCEABADCCABEB","EDEAABDCBABED","DCDEBBACACBCE","BDAACCBBAAABA",1,1,0,"63247282112",1.6956521739,"-0.507302",0.448918,222.036017,24.732402,1.6956521739,0.574941,0.612378,282.099172,34.227232,1,1,5.63,6,1.6956521739,"B","C","A","A","A","A","A","A",".",".","B",".",".","F","F","C","C","C","C","C","C","B","B","B","B","A","D","D","C","B","D","B","B","B","B","B","A","B","B","B","A","A","A","A","C","C","A","A","C","B","C","D","C","A","A","A","A","A","B","B","A","B","B","B","B","C","B","B","B","B","D","A",3,3,3,3,3,3,3,2,3,4,3,4,4,4,4,4,3,3,4,3,3,3,3,2,3,3,3,3,1,1,0,1,1,0,0,0,0
2023,3,31,6324728,2,61399871,1,1,1613203,12,52351046,1,1,1,1,1,21,7,3,21,7,3,"CDAAABBBDAEBD","BCDECBCCBABBA","EDCEBCDABCDDB","ECEAECBACCABC",1,1,0,"63247282112",1.6956521739,"0.661428",0.359357,286.425283,19.798186,1.6956521739,-0.326252,0.725613,231.729397,40.5562,1,1,5.24,5,1.6956521739,"B","C","A","C","A","A","A","D","B","B","A","A","B","D","B","B","C","C","B","C","A","B","B","B","B","C","C","C","B","B","D","B","B","A","B","A","A","B","B","B","A","A","A","H","C","A","B","B","B","A","B","D","D","A","D","B","B","B","B","B","B","C","C","B","B","B","B","B","B","B","B","A",2,3,3,2,3,1,2,1,2,4,4,4,1,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,2,2,0,1,0,0,1,0,0
2023,3,31,6324728,2,61399871,1,1,1613203,12,52351047,1,0,0,0,0,6,6,7,6,6,7,".............",".............",".............",".............",0,0,0,"63247282112",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6324728,2,61399871,1,1,1613203,12,52351048,1,1,1,1,1,11,4,6,11,4,6,"EABEDECADEADB","EBCADADBDBEBB","CDCECEADBEABC","ACBEDBDBBECBD",1,1,0,"63247282112",1.6956521739,"0.872456",0.324662,298.051525,17.886721,1.6956521739,1.778901,0.374501,349.391299,20.931733,1,1,6.29,7,1.6956521739,"A","B","A","F","A","A","A","D","B","B","A","A","B","D","D","B","B","C","C","C","A","B","B","B","D","B","D","D","C","D","D","B","B","B","B","A","B","B","B","B","A","A","A","F","A","A","A","A","B","B","B","D","D","C","A","A","C","D","C","A","A","B","B","C","B","A","B","B","A","A","C","A",2,2,3,3,3,1,2,2,2,4,4,2,4,4,2,1,2,4,4,3,3,2,3,4,3,3,4,4,1,1,1,0,NA,NA,NA,NA,NA
2023,3,31,6324728,2,61399871,1,1,1613203,12,52351049,1,1,1,1,1,7,7,1,7,7,1,"ACDAAEBBCEBBB","ACBAEACCCCADA","BCCBEDDAABECB","ECDCBCDDBAEAC",1,1,0,"63247282112",1.6956521739,"-0.829164",0.464191,204.303557,25.573843,1.6956521739,-0.723843,0.751731,209.507111,42.015996,1,1,5.13,5,1.6956521739,"A","C","A","B","A","A","B","B","B","A","A","A","B","B","B","A","A","A","B","B","A","B","B","B","B","C","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","A","B","A","B","A","B","C","B","B","B","A","B","C","B","B","B",".","A","A","B","C","A","B",".","B","D","C","B","A",1,1,1,2,2,1,2,3,2,2,2,4,3,2,3,3,3,NA,4,4,3,2,4,3,NA,3,1,2,2,1,1,0,0,1,0,0,0
2023,3,31,6324728,2,61399871,1,1,1613203,12,52351130,1,1,1,1,1,20,6,2,20,6,2,"EBEBCDABDBECB","EEEECEDCBECEB","DCCEAAACADDBA","AADCEECCCDDCD",1,1,0,"63247282112",1.6956521739,"1.436527",0.363358,329.128093,20.018614,1.6956521739,0.505708,0.466872,278.229578,26.094563,1,1,5.04,5,1.6956521739,"B","C","A","B","A","A","A","A","A","A","A","A","B","C","F","A","A","B","B","C","A","B","B","B","B","B","C","C","B","A","D","B","B","B","B","B","B","B","B","A","A","A","A","H","A","A","A","A","C","C","D","A","B","C","B",".","B","C","A","C","A","A","C",".","B","C",".","A","C","A","C","A",1,1,2,2,3,1,3,3,4,1,2,2,3,NA,3,2,4,2,4,4,2,NA,3,2,NA,4,2,4,1,1,0,1,0,1,0,0,0
