"PROFICIENCIA_LP_SAEB","TX_RESP_Q22c_num","TX_RESP_Q22d_num","TX_RESP_Q22e_num","TX_RESP_Q22f_num"
-0.099937575514674,1.886922878189,1.66613251696487,1.95287071394002,1.76005383349882
-0.0959523848048079,-0.453283149509089,-0.423593012787679,-1.29865902477011,-0.422806228158934
NA,NA,NA,NA,NA
-0.0980925127496756,-0.453283149509089,-0.423593012787679,0.869027467703308,-0.422806228158934
-0.0976669996827806,-0.453283149509089,-0.423593012787679,-0.214815778533402,0.668623802669942
NA,NA,NA,NA,NA
-0.0988277666872182,-0.453283149509089,-0.423593012787679,-0.214815778533402,-0.422806228158934
-0.0954308298716929,1.886922878189,1.66613251696487,-1.29865902477011,-1.51423625898781
-0.0961146670540737,0.716819864339954,1.66613251696487,1.95287071394002,1.76005383349882
-0.0949031404773563,-0.453283149509089,0.621269752088596,-0.214815778533402,0.668623802669942
NA,NA,NA,NA,NA
-0.0936126778520225,-0.453283149509089,-0.423593012787679,-0.214815778533402,-0.422806228158934
-0.0960143883642579,-0.453283149509089,0.621269752088596,0.869027467703308,0.668623802669942
-0.0947738062034853,1.886922878189,1.66613251696487,1.95287071394002,1.76005383349882
-0.096623558003249,0.716819864339954,0.621269752088596,0.869027467703308,0.668623802669942
-0.0917183431705896,-0.453283149509089,-0.423593012787679,-0.214815778533402,-0.422806228158934
-0.0947560389838965,-0.453283149509089,-0.423593012787679,-1.29865902477011,-0.422806228158934
NA,NA,NA,NA,NA
-0.094609383372951,-0.453283149509089,-0.423593012787679,-0.214815778533402,-0.422806228158934
-0.0952429956201589,-0.453283149509089,1.66613251696487,1.95287071394002,1.76005383349882
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-0.0952555391678755,-0.453283149509089,-0.423593012787679,-1.29865902477011,-0.422806228158934
-0.0952544171165142,-0.453283149509089,-0.423593012787679,-0.214815778533402,-0.422806228158934
-0.0950563595172688,-1.62338616335813,-0.423593012787679,-0.214815778533402,-0.422806228158934
-0.0937520114775719,-0.453283149509089,-0.423593012787679,-0.214815778533402,-0.422806228158934
-0.097577242247729,-0.453283149509089,-0.423593012787679,-0.214815778533402,-0.422806228158934
-0.0977401373025804,1.886922878189,1.66613251696487,1.95287071394002,1.76005383349882
NA,NA,NA,NA,NA
