"PROFICIENCIA_LP_SAEB","TX_RESP_Q21a_num","TX_RESP_Q22c_num","TX_RESP_Q19_num"
0.81330150288142,-0.503274819167544,-0.579921371923993,-0.529550073574993
1.68581655926466,-0.503274819167544,0.619915949298061,-0.529550073574993
0.462723544472922,0.62909352395943,-0.579921371923993,-0.529550073574993
-0.652902306432468,0.62909352395943,1.81975327052012,1.85342525751248
NA,NA,NA,NA
1.55946281716529,1.7614618670864,-0.579921371923993,-0.529550073574993
0.471247188904826,-0.503274819167544,-0.579921371923993,-0.529550073574993
0.243356212480626,-1.63564316229452,0.619915949298061,-0.529550073574993
1.27218467342311,0.62909352395943,-1.77975869314605,-0.529550073574993
1.02473827980333,1.7614618670864,-0.579921371923993,-0.529550073574993
NA,NA,NA,NA
-0.166471232105734,0.62909352395943,0.619915949298061,-0.529550073574993
-0.835469229960586,-1.63564316229452,1.81975327052012,1.85342525751248
-0.730589835947252,0.62909352395943,-0.579921371923993,1.85342525751248
0.242335261837449,0.62909352395943,-0.579921371923993,-0.529550073574993
0.536690219752487,0.62909352395943,-0.579921371923993,-0.529550073574993
1.02335636248845,0.62909352395943,-0.579921371923993,-0.529550073574993
0.978522138098793,0.62909352395943,-0.579921371923993,-0.529550073574993
0.215138487806544,0.62909352395943,-0.579921371923993,-0.529550073574993
-0.995697263533947,-0.503274819167544,-0.579921371923993,-0.529550073574993
1.43246283778504,0.62909352395943,-0.579921371923993,-0.529550073574993
1.02637986674775,0.62909352395943,0.619915949298061,-0.529550073574993
1.09759647194101,0.62909352395943,-0.579921371923993,-0.529550073574993
0.570082537971826,-1.63564316229452,0.619915949298061,-0.529550073574993
-0.434833286882225,-0.503274819167544,-0.579921371923993,-0.529550073574993
NA,NA,NA,NA
1.03417468663811,1.7614618670864,-0.579921371923993,-0.529550073574993
0.255252527113023,0.62909352395943,-1.77975869314605,-0.529550073574993
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
-1.57644120424929,0.62909352395943,0.619915949298061,1.85342525751248
0.165580150707818,NA,NA,NA
NA,NA,NA,NA
-1.10953503660614,0.62909352395943,0.619915949298061,-0.529550073574993
0.180034742313407,0.62909352395943,0.619915949298061,-0.529550073574993
-2.21919748386576,NA,NA,NA
-1.10588500460677,-0.503274819167544,1.81975327052012,1.85342525751248
-1.5848920626324,0.62909352395943,1.81975327052012,1.85342525751248
-1.12993828540759,-0.503274819167544,0.619915949298061,-0.529550073574993
NA,NA,NA,NA
-1.52107783609219,-0.503274819167544,0.619915949298061,-0.529550073574993
-0.316173049778225,-0.503274819167544,1.81975327052012,1.85342525751248
-0.141256338096517,-0.503274819167544,-0.579921371923993,-0.529550073574993
-0.450754382581979,NA,0.619915949298061,NA
-2.01156811177131,-1.63564316229452,-0.579921371923993,-0.529550073574993
NA,NA,NA,NA
-1.13113628271396,-1.63564316229452,1.81975327052012,-0.529550073574993
-0.93306134261215,-0.503274819167544,-0.579921371923993,-0.529550073574993
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
-0.210898250955319,-1.63564316229452,0.619915949298061,1.85342525751248
NA,NA,NA,NA
-1.6395216967156,-1.63564316229452,-1.77975869314605,-0.529550073574993
-0.797137422310911,-1.63564316229452,-0.579921371923993,-0.529550073574993
-1.41070024786634,-1.63564316229452,-0.579921371923993,1.85342525751248
0.607509456323233,-0.503274819167544,1.81975327052012,-0.529550073574993
-0.0114040096813417,-0.503274819167544,-0.579921371923993,-0.529550073574993
NA,NA,NA,NA
-1.72587351537467,NA,NA,NA
-0.509159946927017,0.62909352395943,-0.579921371923993,1.85342525751248
0.74161770658911,-0.503274819167544,0.619915949298061,-0.529550073574993
-0.0376939484538808,-0.503274819167544,0.619915949298061,1.85342525751248
NA,NA,NA,NA
0.240660236514468,-0.503274819167544,-0.579921371923993,-0.529550073574993
NA,NA,NA,NA
0.362027268408654,0.62909352395943,-0.579921371923993,-0.529550073574993
NA,NA,NA,NA
1.21919466247139,0.62909352395943,-0.579921371923993,-0.529550073574993
0.994781598768559,NA,-0.579921371923993,NA
1.20461908213569,NA,-0.579921371923993,NA
NA,NA,NA,NA
NA,NA,NA,NA
0.134014339200717,0.62909352395943,-1.77975869314605,1.85342525751248
NA,NA,NA,NA
0.774764119722343,1.7614618670864,-0.579921371923993,-0.529550073574993
NA,NA,NA,NA
1.14340542595832,NA,-0.579921371923993,NA
NA,NA,NA,NA
-0.102327495606597,NA,-0.579921371923993,NA
NA,NA,NA,NA
0.518610179515002,NA,1.81975327052012,NA
0.620562456778831,1.7614618670864,0.619915949298061,-0.529550073574993
1.52258667693291,-0.503274819167544,-0.579921371923993,-0.529550073574993
-0.88319416914893,0.62909352395943,1.81975327052012,-0.529550073574993
NA,NA,NA,NA
NA,NA,NA,NA
