"ID_ESCOLA","n_alunos","n_variaveis_total","n_validas","n_degeneradas","n_cor_MT","n_cor_LP"
"61399103",166,104,32,72,1,1
"61399357",130,104,32,72,0,1
"61399370",183,104,32,72,0,0
"61399373",144,104,32,72,0,0
"61399376",54,104,32,72,1,10
"61399380",126,104,32,72,0,0
"61399383",42,104,32,72,1,2
"61399385",24,104,32,72,5,10
"61399386",120,104,32,72,0,0
"61399388",114,104,32,72,0,0
"61399389",51,104,32,72,0,2
"61399391",16,104,29,75,10,14
"61399395",62,104,32,72,3,4
"61399396",109,104,32,72,1,1
"61399397",32,104,31,73,2,4
"61399398",69,104,32,72,2,0
"61399399",18,104,31,73,5,4
"61399418",168,104,32,72,0,1
"61399423",67,104,31,73,1,4
"61399426",229,104,32,72,0,0
"61399427",126,104,32,72,1,1
"61399428",252,104,32,72,0,0
"61399429",60,104,32,72,2,0
"61399431",85,104,32,72,0,1
"61399433",13,104,31,73,15,15
"61399435",22,104,32,72,8,12
"61399436",231,104,32,72,0,0
"61399443",35,104,32,72,3,8
"61399444",125,104,32,72,0,0
"61399445",65,104,31,73,2,8
"61399447",26,104,31,73,7,3
"61399450",82,104,32,72,0,0
"61399451",195,104,32,72,0,2
"61399452",39,104,32,72,10,4
"61399455",25,104,31,73,6,7
"61399456",48,104,31,73,5,1
"61399457",73,104,32,72,3,4
"61399458",16,104,32,72,9,13
"61399459",45,104,32,72,1,1
"61399460",54,104,31,73,2,1
"61399461",12,104,29,75,17,11
"61399462",12,104,31,73,19,17
"61399467",92,104,32,72,1,0
"61399472",66,104,32,72,3,5
"61399474",31,104,31,73,7,10
"61399475",15,104,31,73,9,13
"61399476",120,104,32,72,2,0
"61399477",58,104,32,72,3,6
"61399478",203,104,32,72,0,0
"61399479",48,104,32,72,3,1
"61399481",208,104,32,72,2,0
"61399485",24,104,31,73,5,11
"61399489",114,104,32,72,0,0
"61399490",18,104,31,73,6,10
"61399491",56,104,32,72,3,5
"61399492",53,104,32,72,3,10
"61399505",34,104,32,72,1,6
"61399510",82,104,32,72,2,1
"61399515",31,104,31,73,3,8
"61399517",34,104,32,72,1,1
"61399521",64,104,32,72,5,1
"61399522",37,104,32,72,5,8
"61399524",61,104,32,72,3,2
"61399530",95,104,32,72,0,3
"61399531",20,104,32,72,9,18
"61399532",78,104,32,72,2,4
"61399536",56,104,32,72,5,4
"61399541",81,104,32,72,3,1
"61399546",55,104,32,72,3,8
"61399548",358,104,32,72,0,0
"61399559",193,104,32,72,0,0
"61399561",64,104,32,72,2,6
"61399564",104,104,32,72,3,2
"61399565",99,104,32,72,1,0
"61399566",53,104,31,73,14,6
"61399570",43,104,32,72,14,7
"61399572",14,104,31,73,12,14
"61399575",21,104,31,73,11,11
"61399576",18,104,30,74,8,8
"61399577",27,104,31,73,5,7
"61399584",19,104,32,72,7,8
"61399585",78,104,32,72,1,4
"61399587",19,104,31,73,13,9
"61399591",59,104,32,72,1,0
"61399595",31,104,31,73,2,12
"61399596",75,104,32,72,4,2
"61399597",107,104,31,73,3,2
"61399599",64,104,32,72,1,1
"61399604",12,104,31,73,9,12
"61399605",358,104,32,72,0,0
"61399610",49,104,32,72,8,6
"61399617",15,104,31,73,19,21
"61399619",20,104,31,73,7,13
"61399620",24,104,32,72,1,4
"61399621",17,104,32,72,13,13
"61399626",181,104,32,72,0,0
"61399627",143,104,32,72,0,0
"61399628",112,104,32,72,0,0
"61399629",44,104,32,72,2,7
"61399632",57,104,32,72,3,6
"61399633",22,104,31,73,10,9
"61399634",14,104,32,72,9,14
"61399640",28,104,31,73,3,9
"61399642",58,104,32,72,1,1
"61399643",31,104,30,74,1,4
"61399648",15,104,31,73,12,11
"61399649",57,104,32,72,4,3
"61399652",107,104,32,72,0,0
"61399653",33,104,32,72,7,8
"61399662",33,104,32,72,3,5
"61399663",187,104,31,73,1,0
"61399664",104,104,32,72,1,3
"61399665",342,104,32,72,1,1
"61399667",226,104,32,72,0,1
"61399668",198,104,32,72,0,0
"61399679",85,104,32,72,0,3
"61399681",86,104,32,72,0,1
"61399683",48,104,32,72,6,8
"61399686",58,104,32,72,5,7
"61399689",116,104,32,72,1,1
"61399692",218,104,32,72,0,1
"61399698",27,104,30,74,7,7
"61399849",202,104,32,72,0,0
"61399850",108,104,31,73,0,1
"61399853",18,104,31,73,6,8
"61399854",201,104,32,72,5,2
"61399855",35,104,32,72,6,4
"61399859",18,104,32,72,5,7
"61399861",25,104,32,72,6,16
"61399864",24,104,32,72,7,4
"61399867",30,104,32,72,8,8
"61399871",121,104,32,72,0,2
"61399872",120,104,32,72,2,1
"61399874",57,104,32,72,6,6
"61399876",184,104,32,72,0,1
"61399877",30,104,32,72,2,1
"61399878",62,104,32,72,2,5
"61399879",16,104,31,73,10,14
"61399887",28,104,30,74,2,6
"61399891",32,104,32,72,6,5
"61399897",21,104,30,74,6,9
"61399904",298,104,32,72,0,0
"61399906",20,104,31,73,11,6
"61399907",17,104,30,74,5,10
"61399908",55,104,32,72,3,3
"61399912",30,104,32,72,5,8
"61399913",65,104,32,72,4,1
"61399916",113,104,32,72,1,2
"61399918",21,104,31,73,2,5
"61399921",27,104,32,72,9,10
"61399924",81,104,31,73,0,0
"61399927",59,104,32,72,4,4
"61399928",205,104,32,72,0,0
"61399931",45,104,31,73,5,3
"61399933",71,104,32,72,3,4
"61399936",110,104,32,72,4,3
"61399938",109,104,32,72,1,0
"61399939",198,104,32,72,0,0
"61399943",122,104,32,72,0,0
"61399945",195,104,32,72,0,0
"61399948",25,104,31,73,4,7
"61399952",71,104,32,72,1,0
"61399954",152,104,32,72,2,0
"61399955",135,104,31,73,0,1
"61399956",102,104,31,73,2,1
"61399959",97,104,32,72,3,2
"61399960",33,104,30,74,5,7
"61399963",21,104,32,72,4,5
"61399964",97,104,32,72,2,1
"61399965",23,104,31,73,6,9
"61399966",17,104,32,72,10,12
"61399967",104,104,32,72,1,1
"61399969",22,104,31,73,7,8
"61399978",39,104,32,72,0,3
"61399982",21,104,31,73,10,4
"61399988",29,104,31,73,2,10
"61400001",45,104,32,72,5,8
"61400006",12,104,31,73,14,16
"61400009",13,104,31,73,11,11
"61400015",36,104,32,72,6,8
"61400023",48,104,32,72,8,7
"61400033",17,104,31,73,5,9
"61400039",36,104,32,72,6,8
"61400066",20,104,32,72,8,7
"61400070",21,104,32,72,6,7
"61400084",17,104,31,73,10,10
"61400085",180,104,32,72,0,0
"61400087",23,104,32,72,4,2
"61400149",26,104,30,74,7,7
"61400151",16,104,32,72,17,14
"61400152",22,104,32,72,4,7
"61400166",59,104,32,72,3,1
"61400172",42,104,32,72,4,4
"61400177",13,104,31,73,27,23
"61400179",28,104,31,73,2,7
"61400449",54,104,32,72,1,2
"61400454",102,104,32,72,1,2
"61400483",25,104,30,74,11,4
"61400493",37,104,32,72,6,5
"61405112",160,104,32,72,0,1
"61405119",89,104,32,72,3,6
