"PROFICIENCIA_LP_SAEB","TX_RESP_Q10b_num","TX_RESP_Q10c_num","TX_RESP_Q10d_num","TX_RESP_Q10f_num","TX_RESP_Q21a_num","TX_RESP_Q21b_num","TX_RESP_Q21e_num","TX_RESP_Q22a_num","TX_RESP_Q22c_num","TX_RESP_Q22f_num","TX_RESP_Q22g_num","TX_RESP_Q23a_num","TX_RESP_Q23b_num","TX_RESP_Q23c_num","TX_RESP_Q23d_num"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.45688393195885,-1.05409255338946,-1.76383420737639,-1.33333333333333,-1.05409255338946,-0.769800358919501,-0.333333333333333,0.843274042711568,-0.333333333333333,0.50395263067897,1.46666666666667,1.76383420737639,0,0.11973686801785,-0.50395263067897,1.16666666666667
0.774002719386258,0.843274042711568,0.50395263067897,0.666666666666667,0.843274042711568,-0.769800358919501,-0.333333333333333,0.843274042711568,-0.333333333333333,0.50395263067897,-0.933333333333333,-0.50395263067897,-1.41421356237309,-2.03552675630345,-0.50395263067897,-0.333333333333333
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.3340739883035,-1.05409255338946,0.50395263067897,0.666666666666667,0.843274042711568,1.539600717839,2.66666666666667,-0.105409255338946,-0.333333333333333,0.50395263067897,0.266666666666667,-0.50395263067897,0,0.11973686801785,-0.50395263067897,-0.333333333333333
-0.328517032290403,-1.05409255338946,-1.76383420737639,-1.33333333333333,0.843274042711568,-0.769800358919501,-0.333333333333333,-0.105409255338946,1.16666666666667,0.50395263067897,-0.933333333333333,-0.50395263067897,0,0.11973686801785,-0.50395263067897,-0.333333333333333
-0.169660532621902,0.843274042711568,0.50395263067897,0.666666666666667,0.843274042711568,0.38490017945975,-0.333333333333333,0.843274042711568,-1.83333333333333,-1.76383420737639,0.266666666666667,-0.50395263067897,-1.41421356237309,-0.957894944142799,-0.50395263067897,-1.83333333333333
-0.186310568971352,0.843274042711568,0.50395263067897,0.666666666666667,-1.05409255338946,-0.769800358919501,-0.333333333333333,-0.105409255338946,1.16666666666667,0.50395263067897,-0.933333333333333,-0.50395263067897,1.41421356237309,1.1973686801785,1.76383420737639,1.16666666666667
-0.770096434303671,0.843274042711568,0.50395263067897,0.666666666666667,-1.05409255338946,0.38490017945975,-0.333333333333333,-1.05409255338946,1.16666666666667,0.50395263067897,1.46666666666667,1.76383420737639,1.41421356237309,1.1973686801785,1.76383420737639,1.16666666666667
-0.696363328893438,-1.05409255338946,0.50395263067897,-1.33333333333333,-1.05409255338946,-0.769800358919501,-0.333333333333333,-2.00277585143997,-0.333333333333333,0.50395263067897,0.266666666666667,-0.50395263067897,0,0.11973686801785,-0.50395263067897,-0.333333333333333
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.49975512134986,0.843274042711568,0.50395263067897,0.666666666666667,0.843274042711568,1.539600717839,-0.333333333333333,0.843274042711568,-0.333333333333333,-1.76383420737639,-0.933333333333333,-0.50395263067897,0,0.11973686801785,-0.50395263067897,-0.333333333333333
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
