"PROFICIENCIA_MT_SAEB","TX_RESP_Q21b_num","TX_RESP_Q19_num"
1.33744555340693,1.51456119318206,-0.505771491149261
-0.859534836781222,-0.995761226456713,-0.505771491149261
NA,NA,NA
1.1528003103521,-0.158987086577122,-0.505771491149261
0.266701552530208,0.677787053302468,-0.505771491149261
NA,NA,NA
1.60483842417983,-0.995761226456713,-0.505771491149261
-1.53194816474504,1.51456119318206,-0.505771491149261
1.14615273342012,1.51456119318206,-0.505771491149261
NA,NA,NA
0.383355816857554,-0.995761226456713,-0.505771491149261
NA,NA,NA
0.518787980736795,-0.995761226456713,-0.505771491149261
-1.65696081043022,NA,1.61846877167763
NA,NA,NA
0.144792141910965,-0.995761226456713,1.61846877167763
-1.50772201743358,-0.158987086577122,1.61846877167763
0.146221655536373,-0.995761226456713,-0.505771491149261
0.519409400979411,1.51456119318206,-0.505771491149261
-0.601908128211764,-0.995761226456713,-0.505771491149261
-0.501601100713653,-0.995761226456713,-0.505771491149261
0.266040509998524,-0.995761226456713,-0.505771491149261
-1.64514883871947,0.677787053302468,1.61846877167763
-1.15370217199509,-0.995761226456713,3.74270903450453
-2.1538646696688,-0.995761226456713,1.61846877167763
0.339849262372004,1.51456119318206,-0.505771491149261
-0.786255449170449,-0.995761226456713,1.61846877167763
NA,NA,NA
-0.0158098065786515,-0.158987086577122,1.61846877167763
1.16620158881132,0.677787053302468,-0.505771491149261
-0.0697346210446947,-0.995761226456713,1.61846877167763
-1.03233617237729,-0.995761226456713,-0.505771491149261
-1.40549962286017,-0.158987086577122,-0.505771491149261
-1.61314608512711,0.677787053302468,-0.505771491149261
0.635516411034786,1.51456119318206,-0.505771491149261
-0.398896673084287,-0.995761226456713,1.61846877167763
-0.362934023999499,0.677787053302468,-0.505771491149261
-0.621469826186294,-0.995761226456713,1.61846877167763
2.13273620137245,-0.158987086577122,-0.505771491149261
-1.82712943708133,-0.158987086577122,-0.505771491149261
-1.08608069627744,NA,-0.505771491149261
0.806298771387441,-0.158987086577122,-0.505771491149261
0.370882802615115,-0.995761226456713,-0.505771491149261
-0.491240398284716,-0.158987086577122,-0.505771491149261
0.373750774620567,NA,NA
NA,NA,NA
-0.279259390278211,-0.995761226456713,-0.505771491149261
-0.992872624109447,-0.995761226456713,-0.505771491149261
-0.669887600004253,-0.995761226456713,-0.505771491149261
-0.51343480520421,-0.995761226456713,-0.505771491149261
NA,NA,NA
-0.0904304727288468,-0.158987086577122,-0.505771491149261
NA,NA,NA
-0.875938350071836,0.677787053302468,-0.505771491149261
1.62126110806989,1.51456119318206,-0.505771491149261
0.190318929853496,0.677787053302468,-0.505771491149261
0.494159067824113,NA,-0.505771491149261
-1.20064822484161,-0.995761226456713,-0.505771491149261
1.17755836173002,1.51456119318206,-0.505771491149261
0.813483376746585,0.677787053302468,-0.505771491149261
NA,NA,NA
-0.319617963048047,-0.995761226456713,-0.505771491149261
NA,NA,NA
-0.447205760126637,0.677787053302468,-0.505771491149261
-0.193359937573889,-0.995761226456713,3.74270903450453
0.779616385302988,-0.158987086577122,-0.505771491149261
1.40202645309431,NA,NA
-0.390666149101508,1.51456119318206,-0.505771491149261
0.351459187860451,-0.158987086577122,-0.505771491149261
-1.19843109239965,1.51456119318206,1.61846877167763
0.0427666691991584,-0.158987086577122,-0.505771491149261
NA,NA,NA
NA,NA,NA
-1.24212178072163,-0.995761226456713,1.61846877167763
-1.56437413562824,-0.995761226456713,1.61846877167763
1.99819011724057,1.51456119318206,-0.505771491149261
NA,0.677787053302468,-0.505771491149261
0.871541994696677,NA,-0.505771491149261
1.14972903391078,-0.158987086577122,1.61846877167763
0.483702466644732,-0.995761226456713,-0.505771491149261
-0.545850550242597,1.51456119318206,-0.505771491149261
-0.216352212031363,1.51456119318206,-0.505771491149261
NA,NA,NA
1.73451549632533,-0.995761226456713,-0.505771491149261
0.068887731896293,1.51456119318206,-0.505771491149261
1.09469694575223,-0.995761226456713,-0.505771491149261
0.0173654647988276,0.677787053302468,-0.505771491149261
0.993377262221888,1.51456119318206,-0.505771491149261
0.202212731199352,-0.995761226456713,-0.505771491149261
NA,NA,NA
0.21323578012676,1.51456119318206,-0.505771491149261
1.4922489217266,1.51456119318206,-0.505771491149261
-0.227715367524336,-0.158987086577122,1.61846877167763
0.856631935157306,-0.158987086577122,1.61846877167763
0.539372606341591,1.51456119318206,-0.505771491149261
NA,NA,NA
0.433066279294625,1.51456119318206,-0.505771491149261
0.482898216532472,1.51456119318206,-0.505771491149261
0.388929359811825,0.677787053302468,-0.505771491149261
NA,NA,NA
0.188885595834165,0.677787053302468,-0.505771491149261
NA,NA,NA
-1.66298696711959,-0.995761226456713,-0.505771491149261
NA,NA,NA
0.999886733057395,NA,-0.505771491149261
0.804359109351992,NA,NA
0.485969470097188,-0.995761226456713,-0.505771491149261
NA,NA,NA
3.03693264561511,1.51456119318206,-0.505771491149261
-1.21580507725307,0.677787053302468,-0.505771491149261
-0.786394813480492,-0.995761226456713,-0.505771491149261
NA,NA,NA
NA,NA,NA
NA,NA,NA
1.92262455557789,-0.995761226456713,-0.505771491149261
-0.0978810186829105,0.677787053302468,-0.505771491149261
0.211738505981596,NA,NA
-0.954562400150671,-0.995761226456713,1.61846877167763
-0.284075969073744,-0.995761226456713,1.61846877167763
-0.579111471649098,-0.158987086577122,1.61846877167763
NA,NA,NA
-1.21513380887658,-0.995761226456713,-0.505771491149261
NA,NA,NA
1.74856633325786,-0.158987086577122,-0.505771491149261
NA,NA,NA
NA,NA,NA
-0.671299201243785,-0.158987086577122,-0.505771491149261
NA,NA,NA
-1.18984895491631,-0.995761226456713,1.61846877167763
0.163310506318825,-0.158987086577122,-0.505771491149261
-0.842314285353182,-0.158987086577122,-0.505771491149261
0.357178477699044,1.51456119318206,-0.505771491149261
-0.487825194883903,-0.995761226456713,1.61846877167763
NA,NA,NA
0.0408282653772759,0.677787053302468,-0.505771491149261
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
-0.55896799859763,-0.158987086577122,-0.505771491149261
0.246136120401466,-0.995761226456713,-0.505771491149261
-0.574152966363167,-0.995761226456713,-0.505771491149261
NA,NA,NA
NA,NA,NA
