"PROFICIENCIA_LP_SAEB","TX_RESP_Q10d_num","TX_RESP_Q10e_num","TX_RESP_Q10f_num","TX_RESP_Q21a_num","TX_RESP_Q21b_num","TX_RESP_Q21d_num","TX_RESP_Q22a_num","TX_RESP_Q22d_num","TX_RESP_Q22e_num","TX_RESP_Q23c_num","TX_RESP_Q23g_num","TX_RESP_Q20_num"
-0.00459204374422625,1.26660099276225,0.582085500087199,0.0893088561378213,-0.865956373023994,-0.78600120126252,-1.14476161647342,0.502845284514068,1.20075070385822,1.01801356538084,-0.137198868114007,-0.913907693767414,-0.242535625036333
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.475737627064731,-0.1688801323683,0.582085500087199,0.0893088561378213,0.185562079933713,0.884251351420335,-1.14476161647342,-0.921883021609123,-0.50031279327426,-1.4543050934012,-0.137198868114007,0.130558241966773,-0.242535625036333
1.35094579761424,-1.60436125749885,-2.71639900040693,-1.42894169820514,0.185562079933713,-0.78600120126252,0.868439846979836,-0.921883021609123,-0.50031279327426,-1.4543050934012,-0.137198868114007,0.130558241966773,-0.242535625036333
-0.764204410846205,-1.60436125749885,-1.06715675015986,-1.42894169820514,-0.865956373023994,-0.78600120126252,0.868439846979836,0.502845284514068,-0.50031279327426,-0.218145764010179,2.19518188982411,-0.913907693767414,-0.242535625036333
-0.6582313556746,-0.1688801323683,0.582085500087199,1.60755941048078,0.185562079933713,0.0491250750789075,0.868439846979836,1.92757359063726,-0.50031279327426,-1.4543050934012,-0.137198868114007,NA,-0.242535625036333
0.70290447790571,-1.60436125749885,-1.06715675015986,0.0893088561378213,0.185562079933713,0.0491250750789075,-1.14476161647342,-0.921883021609123,-0.50031279327426,-0.218145764010179,-0.137198868114007,-0.913907693767414,-0.242535625036333
-0.167701686812343,-0.1688801323683,0.582085500087199,0.0893088561378213,-0.865956373023994,-0.78600120126252,0.868439846979836,0.502845284514068,-0.50031279327426,1.01801356538084,-2.46957962605213,0.130558241966773,-0.242535625036333
0.494570201471624,-0.1688801323683,0.582085500087199,0.0893088561378213,0.185562079933713,1.71937762776176,-1.14476161647342,-0.921883021609123,-0.50031279327426,-0.218145764010179,-0.137198868114007,0.130558241966773,-0.242535625036333
-1.21633001628243,1.26660099276225,0.582085500087199,1.60755941048078,-0.865956373023994,-0.78600120126252,0.868439846979836,0.502845284514068,-0.50031279327426,-0.218145764010179,-0.137198868114007,-0.913907693767414,3.88057000058133
-1.63341625520677,1.26660099276225,0.582085500087199,0.0893088561378213,-0.865956373023994,-0.78600120126252,0.868439846979836,-0.921883021609123,1.20075070385822,1.01801356538084,-0.137198868114007,1.17502417770096,-0.242535625036333
1.47531898783406,-0.1688801323683,0.582085500087199,0.0893088561378213,2.28859898584913,0.884251351420335,-1.14476161647342,-0.921883021609123,-0.50031279327426,-0.218145764010179,-0.137198868114007,-0.913907693767414,-0.242535625036333
1.37858009452649,1.26660099276225,0.582085500087199,0.0893088561378213,0.185562079933713,1.71937762776176,-1.14476161647342,-0.921883021609123,-0.50031279327426,-0.218145764010179,-0.137198868114007,0.130558241966773,-0.242535625036333
0.724955392877276,-0.1688801323683,-1.06715675015986,0.0893088561378213,2.28859898584913,1.71937762776176,0.197372692495417,0.502845284514068,-0.50031279327426,-0.218145764010179,-0.137198868114007,-0.913907693767414,-0.242535625036333
-1.76766778585976,1.26660099276225,0.582085500087199,1.60755941048078,-0.865956373023994,-0.78600120126252,0.868439846979836,1.92757359063726,2.90181420099071,2.25417289477185,2.19518188982411,2.21949011343515,-0.242535625036333
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.506450526180165,-0.1688801323683,0.582085500087199,-1.42894169820514,-0.865956373023994,-0.78600120126252,0.868439846979836,-0.921883021609123,-0.50031279327426,-0.218145764010179,-0.137198868114007,-0.913907693767414,-0.242535625036333
0.153169263873203,-0.1688801323683,-1.06715675015986,-1.42894169820514,0.185562079933713,0.0491250750789075,-1.14476161647342,0.502845284514068,-0.50031279327426,-0.218145764010179,-0.137198868114007,1.17502417770096,-0.242535625036333
-0.0990135607916964,-0.1688801323683,0.582085500087199,0.0893088561378213,0.185562079933713,-0.78600120126252,0.868439846979836,0.502845284514068,1.20075070385822,1.01801356538084,-0.137198868114007,1.17502417770096,-0.242535625036333
