"Variavel","Metodo","Correlacao_Matematica","Correlacao_Portugues","Status_Calculo"
"TX_RESP_Q10a_num","Spearman",-0.440385506050544,-0.27524094128159,"OK"
"TX_RESP_Q10b_num","Spearman",-0.480074348899606,-0.57089922571845,"OK"
"TX_RESP_Q10d_num","Spearman",-0.314626602482846,-0.51367608568628,"OK"
"TX_RESP_Q21b_num","Spearman",0.676725462274536,0.80403025220737,"OK"
"TX_RESP_Q21c_num","Spearman",0.355334527259351,0.0710669054518702,"OK"
"TX_RESP_Q21e_num","Spearman",0.767681713075821,0.69228440197016,"OK"
"TX_RESP_Q22c_num","Spearman",-0.603022689155527,-0.301511344577764,"OK"
"TX_RESP_Q22e_num","Spearman",-0.394771016975861,-0.348714398328678,"OK"
"TX_RESP_Q22g_num","Spearman",-0.710669054518701,-0.284267621807481,"OK"
"TX_RESP_Q22h_num","Spearman",-0.870388279778489,-0.522232967867094,"OK"
"TX_RESP_Q23c_num","Spearman",-0.500043288169424,-0.572417974614999,"OK"
