"PROFICIENCIA_MT_SAEB","TX_RESP_Q21a_num","TX_RESP_Q22a_num","TX_RESP_Q23a_num"
-0.876659125360793,NA,1.16972467442278,1.21403631749682
NA,NA,NA,NA
1.64174771825079,1.60661686479944,-1.28384415485428,-2.60573648633464
NA,NA,NA,NA
0.704680766424634,0.432550694369081,-0.0570597402157457,1.21403631749682
0.69647445793131,-0.741515476061283,-0.0570597402157457,-1.33247888505749
-0.280307578496163,-0.741515476061283,-0.0570597402157457,-0.0592212837803329
NA,NA,NA,NA
-0.908376030480197,0.432550694369081,1.16972467442278,-0.0592212837803329
-0.890651961984367,-0.741515476061283,1.16972467442278,-0.0592212837803329
-0.765800851866965,-0.741515476061283,-0.0570597402157457,-0.0592212837803329
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
-0.279073787863607,0.432550694369081,-0.0570597402157457,-0.0592212837803329
-0.504831265970689,-0.741515476061283,1.16972467442278,-0.0592212837803329
NA,NA,NA,NA
0.371931667738247,-0.741515476061283,-0.0570597402157457,-0.0592212837803329
NA,NA,NA,NA
0.462692913383443,1.60661686479944,-1.28384415485428,-0.0592212837803329
0.688020201188384,0.432550694369081,-0.0570597402157457,-0.0592212837803329
NA,NA,NA,NA
-0.20019529772608,1.60661686479944,-0.0570597402157457,-0.0592212837803329
0.418054656563898,0.432550694369081,1.16972467442278,1.21403631749682
1.20381833782542,0.432550694369081,-0.0570597402157457,-0.0592212837803329
0.505353552637838,0.432550694369081,1.16972467442278,-0.0592212837803329
1.22952565581586,-0.741515476061283,-1.28384415485428,-0.0592212837803329
0.424607941094103,0.432550694369081,1.16972467442278,-1.33247888505749
2.81998299509246,NA,1.16972467442278,1.21403631749682
NA,NA,NA,NA
-0.570735614966127,-1.91558164649165,1.16972467442278,-0.0592212837803329
-0.0539725521813207,NA,-0.0570597402157457,1.21403631749682
-1.41595989477627,-1.91558164649165,NA,NA
1.10487966376972,-0.741515476061283,-0.0570597402157457,-1.33247888505749
NA,NA,NA,NA
-1.46693735649915,0.432550694369081,-1.28384415485428,-0.0592212837803329
0.256752659484838,NA,-0.0570597402157457,1.21403631749682
0.373768893537439,0.432550694369081,1.16972467442278,-0.0592212837803329
-0.658795281192134,NA,-0.0570597402157457,1.21403631749682
-1.61300775559838,0.432550694369081,-0.0570597402157457,1.21403631749682
0.719673377710473,-1.91558164649165,-1.28384415485428,-2.60573648633464
-0.984751093130135,0.432550694369081,1.16972467442278,NA
1.32332604468604,1.60661686479944,-1.28384415485428,-0.0592212837803329
-1.05522015211904,-1.91558164649165,-0.0570597402157457,-0.0592212837803329
-0.249423153789992,-0.741515476061283,1.16972467442278,-0.0592212837803329
NA,NA,NA,NA
-1.38494801287547,NA,1.16972467442278,1.21403631749682
-1.0417072842994,-0.741515476061283,NA,1.21403631749682
-1.42960221520651,0.432550694369081,-0.0570597402157457,1.21403631749682
1.09205688918139,0.432550694369081,-1.28384415485428,-2.60573648633464
0.709579049391973,0.432550694369081,-2.5106285694928,-0.0592212837803329
1.28785702709163,1.60661686479944,-1.28384415485428,-0.0592212837803329
NA,NA,NA,NA
0.851106652440901,0.432550694369081,-0.0570597402157457,-0.0592212837803329
-0.0274815523876629,-0.741515476061283,-0.0570597402157457,-0.0592212837803329
NA,NA,NA,NA
-0.684764479711495,0.432550694369081,-1.28384415485428,-0.0592212837803329
-1.21905543666028,0.432550694369081,1.16972467442278,-0.0592212837803329
NA,NA,NA,NA
-0.323633386098544,NA,-1.28384415485428,-0.0592212837803329
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
