"PROFICIENCIA_LP_SAEB","TX_RESP_Q21a_num","TX_RESP_Q22c_num","TX_RESP_Q22h_num","TX_RESP_Q19_num"
-1.49850460540122,-0.955376940290698,1.63283318211842,0.762915402458362,-0.298807152333598
0.00660335977017541,0.409447260124585,0.302376515207114,0.762915402458362,-0.298807152333598
-0.666077638047252,1.77427146053987,1.63283318211842,0.762915402458362,-0.298807152333598
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0.0631714449008054,-0.955376940290698,-1.02808015170419,-1.47496977808617,-0.298807152333598
0.676354421315793,NA,0.302376515207114,-0.356027187813902,NA
-0.238653439821485,-0.955376940290698,1.63283318211842,0.762915402458362,-0.298807152333598
1.40249862013795,1.77427146053987,-1.02808015170419,0.762915402458362,-0.298807152333598
1.44336336802608,-0.955376940290698,-1.02808015170419,-0.356027187813902,-0.298807152333598
-0.594191582165135,NA,0.302376515207114,-0.356027187813902,-0.298807152333598
-0.0285654997319117,-0.955376940290698,0.302376515207114,0.762915402458362,-0.298807152333598
NA,NA,NA,NA,NA
-0.723915254741778,-0.955376940290698,0.302376515207114,-0.356027187813902,3.88449298033678
1.55297237821248,0.409447260124585,0.302376515207114,-1.47496977808617,-0.298807152333598
1.11870574195377,0.409447260124585,-1.02808015170419,-2.59391236835843,-0.298807152333598
1.73648449158725,0.409447260124585,-1.02808015170419,-1.47496977808617,-0.298807152333598
-0.675297933181654,0.409447260124585,0.302376515207114,0.762915402458362,-0.298807152333598
-1.18945328041585,-0.955376940290698,1.63283318211842,0.762915402458362,1.79284291400159
-0.827318639068504,-0.955376940290698,-1.02808015170419,-0.356027187813902,-0.298807152333598
0.200916897027858,1.77427146053987,0.302376515207114,0.762915402458362,-0.298807152333598
-1.77306900288572,0.409447260124585,0.302376515207114,0.762915402458362,-0.298807152333598
0.363304472500752,0.409447260124585,-1.02808015170419,-0.356027187813902,-0.298807152333598
-0.530412088445831,0.409447260124585,-1.02808015170419,0.762915402458362,-0.298807152333598
0.181083768473418,-0.955376940290698,-1.02808015170419,0.762915402458362,-0.298807152333598
NA,NA,NA,NA,NA
