"PROFICIENCIA_MT_SAEB","TX_RESP_Q10d_num","TX_RESP_Q10f_num","TX_RESP_Q21a_num","TX_RESP_Q23d_num"
0.433739945153967,0.405279172582886,-1.48448769065415,0.62622429108515,0.235702260395516
-0.32922278899905,-1.4184771040401,-1.48448769065415,1.6908055859299,-0.824957911384305
0.225434657896422,0.405279172582886,-0.21206967009345,-0.438357003759605,1.29636243217534
-1.02305220945888,0.405279172582886,-1.48448769065415,-1.50293829860436,0.235702260395516
-1.6420501142214,0.405279172582886,-1.48448769065415,-1.50293829860436,1.29636243217534
NA,NA,NA,NA,NA
-0.852607585641431,0.405279172582886,-0.21206967009345,-0.438357003759605,-0.824957911384305
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-1.37528653364921,0.405279172582886,-0.21206967009345,-0.438357003759605,-0.824957911384305
NA,NA,NA,NA,NA
-0.626321471118732,0.405279172582886,1.06034835046725,-0.438357003759605,-1.88561808316413
-0.641853901959088,0.405279172582886,-0.21206967009345,0.62622429108515,-0.824957911384305
0.607675647768616,0.405279172582886,1.06034835046725,0.62622429108515,-0.824957911384305
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
1.34614839171958,0.405279172582886,1.06034835046725,1.6908055859299,1.29636243217534
NA,NA,NA,NA,NA
-0.0682888061458675,0.405279172582886,1.06034835046725,-0.438357003759605,0.235702260395516
1.15631241864251,-3.24223338066309,-0.21206967009345,-1.50293829860436,1.29636243217534
0.603553959288204,0.405279172582886,-0.21206967009345,0.62622429108515,-0.824957911384305
2.55224209521442,-1.4184771040401,1.06034835046725,-0.438357003759605,1.29636243217534
0.227073311400429,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-0.558728857122906,0.405279172582886,1.06034835046725,0.62622429108515,-0.824957911384305
-0.275110725744273,NA,NA,NA,NA
-0.435461961963051,0.405279172582886,1.06034835046725,NA,0.235702260395516
NA,NA,NA,NA,NA
0.675804528939726,0.405279172582886,-0.21206967009345,0.62622429108515,0.235702260395516
