"PROFICIENCIA_LP_SAEB","TX_RESP_Q10b_num","TX_RESP_Q21d_num","TX_RESP_Q21e_num","TX_RESP_Q22b_num","TX_RESP_Q22d_num","TX_RESP_Q23e_num","TX_RESP_Q23f_num","TX_RESP_Q23h_num","TX_RESP_Q23i_num","TX_RESP_Q20_num"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.08026347113319,-1.82179947411998,0.75955452531275,-2.21369656653476,-1.44640602718608,-1.46761806960554,0.384527882536078,0.440210530013156,0.91803380637738,-0.179398740368981,-0.277350098112614
1.05476418783888,-0.479420914242099,0.75955452531275,-0.699062073642556,-0.503097748586463,-1.46761806960554,0.384527882536078,0.440210530013156,-0.33383047504632,-0.179398740368981,-0.277350098112614
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.173209185499551,0.862957645635778,-1.2152872405004,-0.699062073642556,0.440210530013156,1.2719356603248,0.384527882536078,0.440210530013156,0.91803380637738,-0.179398740368981,-0.277350098112614
0.582503862099415,0.862957645635778,0.75955452531275,-0.699062073642556,1.38351880861277,1.2719356603248,1.4612059536371,1.38351880861277,0.91803380637738,1.16609181239838,-0.277350098112614
-0.137883939582746,0.862957645635778,0.75955452531275,0.815572419249648,1.38351880861277,NA,NA,1.38351880861277,0.91803380637738,1.16609181239838,-0.277350098112614
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.00444886175151,NA,NA,NA,0.440210530013156,-0.0978412046403697,-0.69215018856494,0.440210530013156,-2.83755903789372,-2.87037984590369,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.838663332882544,0.862957645635778,0.75955452531275,0.815572419249648,-0.503097748586463,-0.0978412046403697,-0.69215018856494,-0.503097748586463,-0.33383047504632,-0.179398740368981,-0.277350098112614
-2.2290337041933,-0.479420914242099,-1.2152872405004,0.815572419249648,1.38351880861277,1.2719356603248,0.384527882536078,-1.44640602718608,-0.33383047504632,-0.179398740368981,-0.277350098112614
0.308303908978571,0.862957645635778,-1.2152872405004,0.815572419249648,-0.503097748586463,1.2719356603248,-0.69215018856494,-0.503097748586463,-0.33383047504632,-0.179398740368981,-0.277350098112614
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.654624339541373,0.862957645635778,-1.2152872405004,0.815572419249648,-1.44640602718608,-0.0978412046403697,0.384527882536078,-0.503097748586463,-0.33383047504632,-0.179398740368981,3.32820117735137
-0.144800841928117,0.862957645635778,-1.2152872405004,0.815572419249648,0.440210530013156,-1.46761806960554,-1.76882825966596,-1.44640602718608,0.91803380637738,1.16609181239838,-0.277350098112614
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.327621110110327,-1.82179947411998,0.75955452531275,0.815572419249648,0.440210530013156,-0.0978412046403697,-1.76882825966596,-1.44640602718608,-0.33383047504632,-0.179398740368981,-0.277350098112614
0.324541700281917,-0.479420914242099,0.75955452531275,-0.699062073642556,0.440210530013156,-0.0978412046403697,0.384527882536078,0.440210530013156,-0.33383047504632,-0.179398740368981,-0.277350098112614
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.405484504462063,-0.479420914242099,NA,NA,-0.503097748586463,-0.0978412046403697,0.384527882536078,-0.503097748586463,-0.33383047504632,-0.179398740368981,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.754423680695436,-0.479420914242099,0.75955452531275,-0.699062073642556,-1.44640602718608,-0.0978412046403697,1.4612059536371,1.38351880861277,0.91803380637738,1.16609181239838,-0.277350098112614
