"PROFICIENCIA_LP_SAEB","TX_RESP_Q21a_num","TX_RESP_Q21b_num","TX_RESP_Q21e_num","TX_RESP_Q22a_num","TX_RESP_Q22b_num","TX_RESP_Q23g_num","TX_RESP_Q23h_num"
-1.43560931676163,-1.4621976535414,-0.665536116930045,-2.38648908332136,1.33389063046669,1.79757962744542,1.36838212339519,1.07203852969276
0.932861545609493,-0.274162060039013,1.12452654239904,0.552660629821788,0.0952779021761923,-0.359515925489084,0.21285944141703,1.07203852969276
NA,NA,NA,NA,NA,NA,NA,NA
2.2830189527735,0.913873533463375,2.01955787206359,0.552660629821788,0.0952779021761923,0.719031850978166,-0.942663240561131,1.07203852969276
-0.105186782447262,-1.4621976535414,-0.665536116930045,0.552660629821788,1.33389063046669,-0.359515925489084,1.36838212339519,-0.625355808987443
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
-0.259220515854835,0.913873533463375,2.01955787206359,-1.40677251227364,0.0952779021761923,1.79757962744542,-0.942663240561131,-0.625355808987443
0.647178843087014,-1.4621976535414,1.12452654239904,0.552660629821788,-2.3819475544048,-1.43806370195633,-2.09818592253929,-2.32275014766765
0.88677248180016,0.913873533463375,-0.665536116930045,0.552660629821788,0.0952779021761923,-0.359515925489084,1.36838212339519,-0.625355808987443
-0.450373862692012,0.913873533463375,2.01955787206359,0.552660629821788,0.0952779021761923,-0.359515925489084,0.21285944141703,-2.32275014766765
2.03376161759983,0.913873533463375,2.01955787206359,-0.427055941225927,0.0952779021761923,0.719031850978166,0.21285944141703,-0.625355808987443
-1.6777698207299,-1.4621976535414,-0.665536116930045,-2.38648908332136,0.0952779021761923,0.719031850978166,1.36838212339519,1.07203852969276
0.970048002653969,-0.274162060039013,-0.665536116930045,0.552660629821788,-1.14333482611431,-0.359515925489084,-0.942663240561131,-0.625355808987443
0.408144706563563,-1.4621976535414,-0.665536116930045,0.552660629821788,-1.14333482611431,-1.43806370195633,-0.942663240561131,-0.625355808987443
0.774596450924627,0.913873533463375,-0.665536116930045,0.552660629821788,-1.14333482611431,-1.43806370195633,-0.942663240561131,-0.625355808987443
