"PROFICIENCIA_MT_SAEB","TX_RESP_Q10e_num","TX_RESP_Q10f_num","TX_RESP_Q21b_num","TX_RESP_Q22a_num","TX_RESP_Q22d_num","TX_RESP_Q22e_num","TX_RESP_Q22f_num","TX_RESP_Q22g_num","TX_RESP_Q22h_num","TX_RESP_Q23a_num","TX_RESP_Q23b_num","TX_RESP_Q23c_num","TX_RESP_Q23d_num","TX_RESP_Q23f_num","TX_RESP_Q23g_num","TX_RESP_Q23h_num"
0.993599302376211,0.544704779401922,-0.682221028637269,1.20761472884912,-1.41019018704442,-0.282038037408883,0,-1.06066017177982,-1.08012344973464,-0.195047374401374,-2.47487373415292,-1.20761472884912,0.801783725737273,-0.353553390593274,-1.1351812029964,-1.34807555140938,-0.540061724867322
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.27613364139414,-1.99725085780705,-0.682221028637269,-0.724568837309472,0.846114112226649,-1.41019018704442,-1.73205080756888,-1.06066017177982,-1.08012344973464,-0.975236872006867,0.353553390593274,0.724568837309472,-1.0690449676497,-0.353553390593274,-1.1351812029964,1.04850320665174,1.62018517460197
1.05018579847435,0.544704779401922,1.50088626300199,1.20761472884912,-0.282038037408883,0.846114112226649,1.73205080756888,1.76776695296637,1.08012344973464,1.36533162080961,0.353553390593274,0.724568837309472,0.801783725737273,1.06066017177982,0.882918713441648,-0.14978617237882,-0.540061724867322
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.624436016212175,0.544704779401922,1.50088626300199,1.20761472884912,0.846114112226649,-0.282038037408883,0,0.353553390593274,0,0.585142123204121,0.353553390593274,-1.20761472884912,0.801783725737273,1.06066017177982,0.882918713441648,-0.14978617237882,-0.540061724867322
-1.27238645688254,NA,-0.682221028637269,-0.724568837309472,0.846114112226649,-0.282038037408883,NA,-1.06066017177982,-1.08012344973464,1.36533162080961,0.353553390593274,0.724568837309472,NA,-1.76776695296637,-1.1351812029964,-1.34807555140938,1.62018517460197
0.282288314570372,-0.726273039202563,-0.682221028637269,-0.724568837309472,0.846114112226649,-0.282038037408883,0,0.353553390593274,0,-0.975236872006867,0.353553390593274,0.724568837309472,-1.0690449676497,-0.353553390593274,0.882918713441648,1.04850320665174,-0.540061724867322
-0.946642407133538,0.544704779401922,0.409332617182361,-0.724568837309472,-1.41019018704442,1.97426626186218,0,0.353553390593274,1.08012344973464,-0.975236872006867,0.353553390593274,0.724568837309472,0.801783725737273,1.06066017177982,-0.126131244777378,1.04850320665174,-0.540061724867322
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.544653073777102,0.544704779401922,-0.682221028637269,-0.724568837309472,-0.282038037408883,-0.282038037408883,0,0.353553390593274,1.08012344973464,-0.195047374401374,0.353553390593274,-1.20761472884912,-1.0690449676497,-0.353553390593274,0.882918713441648,-0.14978617237882,-0.540061724867322
