"PROFICIENCIA_LP_SAEB","TX_RESP_Q21c_num","TX_RESP_Q23e_num","TX_RESP_Q23f_num"
NA,NA,NA,NA
-0.508844946543834,1.07699336681036,0.468826312576818,0.303505822717583
1.35946917074091,-0.807745025107771,-1.84405016280215,-1.10020860735124
NA,NA,NA,NA
NA,NA,NA,NA
-0.760662746458784,-0.807745025107771,0.468826312576818,1.7072202527864
-0.118436344183165,0.134624170851295,-0.687611925112667,-2.50392303742006
-0.458516998425578,-1.75011422106684,-0.687611925112667,-1.10020860735124
1.82872287095231,-0.807745025107771,0.468826312576818,0.303505822717583
-1.80534723793343,-0.807745025107771,-1.84405016280215,-1.10020860735124
0.40219228393111,0.134624170851295,0.468826312576818,0.303505822717583
-0.506372565719081,0.134624170851295,-0.687611925112667,-1.10020860735124
-0.351281742390478,0.134624170851295,0.468826312576818,-1.10020860735124
0.383912031353328,1.07699336681036,0.468826312576818,-1.10020860735124
NA,NA,NA,NA
1.14608296764349,1.07699336681036,1.6252645502663,0.303505822717583
NA,NA,NA,NA
0.75007476109526,-1.75011422106684,0.468826312576818,0.303505822717583
-0.516743911220958,0.134624170851295,-1.84405016280215,0.303505822717583
1.36728970344945,0.134624170851295,0.468826312576818,1.7072202527864
1.65963055155511,1.07699336681036,0.468826312576818,0.303505822717583
0.449826248713546,1.07699336681036,0.468826312576818,0.303505822717583
-1.37737101061315,1.07699336681036,0.468826312576818,0.303505822717583
-0.856184659119851,-1.75011422106684,-1.84405016280215,0.303505822717583
-0.142976014685955,-0.807745025107771,1.6252645502663,0.303505822717583
-2.42801612833301,-0.807745025107771,-0.687611925112667,-1.10020860735124
-0.763192409058346,1.07699336681036,0.468826312576818,-1.10020860735124
0.156160801933604,NA,0.468826312576818,-1.10020860735124
NA,NA,NA,NA
NA,NA,NA,NA
-0.743744444339809,-1.75011422106684,0.468826312576818,0.303505822717583
1.18623005758202,1.07699336681036,1.6252645502663,1.7072202527864
0.5880211629168,1.07699336681036,1.6252645502663,1.7072202527864
1.15312792545784,1.07699336681036,-0.687611925112667,1.7072202527864
-0.19183248778426,0.134624170851295,0.468826312576818,0.303505822717583
-0.518734515035569,0.134624170851295,-1.84405016280215,0.303505822717583
-1.58001239555622,0.134624170851295,-0.687611925112667,-1.10020860735124
0.849418554445047,1.07699336681036,-0.687611925112667,0.303505822717583
0.232367955423472,0.134624170851295,-0.687611925112667,0.303505822717583
-0.500777932730911,-0.807745025107771,0.468826312576818,0.303505822717583
0.474384583810416,0.134624170851295,-0.687611925112667,0.303505822717583
NA,NA,NA,NA
-0.195209920650999,1.07699336681036,0.468826312576818,0.303505822717583
-0.803709243249813,-1.75011422106684,0.468826312576818,-1.10020860735124
1.1410560230295,NA,0.468826312576818,0.303505822717583
