"metrica","valor"
"n_linhas","173"
"n_colunas_entrada","74"
"n_colunas_validas","67"
"n_degeneradas","7"
"n_somente_na","0"
"n_variancia_zero","0"
"n_near_zero_var","7"
"nzv_aplicado","sim"
