"Variavel","Correlacao_Matematica","Correlacao_Portugues"
"PROFICIENCIA_LP_SAEB",-0.00880965490475274,1
"PROFICIENCIA_MT_SAEB",1,-0.00880965490475274
"TX_RESP_Q01",-0.080073985283795,-0.100715865857738
"TX_RESP_Q02",-0.155028800319509,0.0356644790705811
"TX_RESP_Q04",-0.192499596763029,-0.0737417442033599
"TX_RESP_Q06",-0.0979529693815486,-0.137108620465383
"TX_RESP_Q07a",0.257546889547911,0.0284304292595625
"TX_RESP_Q07b",-0.0242368298535136,0.0505214038908233
"TX_RESP_Q07c",-0.0608948991727811,0.242229670669969
"TX_RESP_Q07d",-0.0351791990437597,-0.0569565304673007
"TX_RESP_Q07e",-0.111500870405458,-0.0635862453673872
"TX_RESP_Q08",0.456529666235711,-0.0189101555871232
"TX_RESP_Q09",0.192445836241819,-0.0756353812997228
"TX_RESP_Q10a",0.0399388596444616,0.030762369261547
"TX_RESP_Q10b",0.0998111795583835,-0.027962123774358
"TX_RESP_Q10c",0.103642470656519,-0.101404370288382
"TX_RESP_Q10d",0.146728471232419,-0.0634385452278892
"TX_RESP_Q10e",0.0882905244836896,0.0281654851140003
"TX_RESP_Q10f",0.18625489376338,-0.140639006320412
"TX_RESP_Q11a",0.0679151264309387,0.0280868134503344
"TX_RESP_Q12a",-0.059282514645101,-0.0325095313148606
"TX_RESP_Q12b",0.198962790998262,-0.0960248043000258
"TX_RESP_Q12c",0.113483785542285,-0.0917854975167782
"TX_RESP_Q12d",0.097041219172448,-0.066586705448637
"TX_RESP_Q12e",0.322043980399173,-0.0692785912752776
"TX_RESP_Q12f",0.148559139935199,0.0200307236544764
"TX_RESP_Q12g",0.116763648989661,-0.110807730072906
"TX_RESP_Q13a",0.078297144738438,-0.133409942827846
"TX_RESP_Q13b",0.073094820205824,0.0228652234119332
"TX_RESP_Q13c",0.121574348789099,0.0447336501365401
"TX_RESP_Q13d",0.21541860922904,0.0591546710472734
"TX_RESP_Q13e",0.146122257077362,-0.114807564046725
"TX_RESP_Q13f",0.104704871807098,-0.0463119489864827
"TX_RESP_Q13g",0.115526379894071,0.0377800699429273
"TX_RESP_Q13h",0.0591091158002907,0.0531833282023616
"TX_RESP_Q13i",-0.0119045261214002,0.0398125892850078
"TX_RESP_Q14",-0.108150927680434,-0.0498478702861066
"TX_RESP_Q15a",-0.120980323049108,-0.0310401404547902
"TX_RESP_Q16",-0.0621407927566301,-0.0602976159344885
"TX_RESP_Q17",-0.180416191324853,0.0347562739578287
"TX_RESP_Q18",0.234991844389822,-0.0408968568960698
"TX_RESP_Q19",-0.132958306715817,-0.034438853034922
"TX_RESP_Q20",0.0276554760634549,-0.0214665570769789
"TX_RESP_Q21a",0.214905039606505,-0.0270661677810393
"TX_RESP_Q21b",0.197807810138818,-0.0793312439431333
"TX_RESP_Q21c",-0.184944771610959,0.0103598693277402
"TX_RESP_Q21d",-0.0595348463535293,0.0772707829843699
"TX_RESP_Q21e",0.173657477944529,-0.0306724038788368
"TX_RESP_Q22a",0.137887923014762,0.197734776856675
"TX_RESP_Q22b",0.208950815498263,0.0448429896000396
"TX_RESP_Q22c",0.134030507022789,0.0390914538264547
"TX_RESP_Q22d",0.138645835540624,0.0383603823305261
"TX_RESP_Q22e",0.0244095376479242,0.0233336884060991
"TX_RESP_Q22f",0.205301286383577,0.027268695697806
"TX_RESP_Q22g",0.201559430392237,0.106659948613777
"TX_RESP_Q22h",0.137236030089185,0.0662710526033519
"TX_RESP_Q23a",0.192626337392677,-0.00481109091164437
"TX_RESP_Q23b",0.215448336334587,-0.0463235223448478
"TX_RESP_Q23c",0.14667229186115,-0.0210410489919916
"TX_RESP_Q23d",-0.124571652461068,-0.0178507600210844
"TX_RESP_Q23e",0.0697742032081097,0.0513301864490206
"TX_RESP_Q23f",-0.0348954492221276,0.0686685723932213
"TX_RESP_Q23g",0.319407295381059,-0.0252270986167069
"TX_RESP_Q23h",0.0614238349867563,-0.00900537735346967
"TX_RESP_Q23i",0.143236837092344,-0.00456266154835629
"TX_RESP_Q24",-0.0284448784007202,0.128117607457473
"TX_RESP_Q25",-0.203116436186116,-0.0304716741877936
