"PROFICIENCIA_MT_SAEB","TX_RESP_Q22h_num","TX_RESP_Q23c_num","TX_RESP_Q23d_num"
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
0.865483587706249,NA,NA,NA
0.0655180783837633,1.35061121545012,0.253880898580981,0.249484795453562
NA,NA,NA,NA
1.50560849390361,NA,NA,NA
0.215368858679145,1.35061121545012,-0.797911395540226,0.249484795453562
0.322833864042012,-1.09737161255322,-0.797911395540226,0.249484795453562
NA,NA,NA,NA
0.0640918316909569,0.126619801448449,-0.797911395540226,0.249484795453562
0.893642372897212,1.35061121545012,-0.797911395540226,1.3187053473974
0.115379864073377,NA,NA,NA
0.232898026663881,-1.09737161255322,-0.797911395540226,-1.88895630843411
-0.161461842027884,NA,NA,NA
0.749532304651776,NA,NA,NA
-0.00562870786675129,NA,NA,NA
1.90491475426166,NA,NA,NA
-0.545463506394826,NA,NA,NA
NA,NA,NA,NA
0.311322739760005,NA,NA,NA
0.315649078101643,NA,NA,NA
-0.686748796699054,NA,NA,NA
1.26440750252178,NA,NA,NA
-0.403671115606509,0.126619801448449,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
-0.0212601476280801,0.126619801448449,-0.797911395540226,0.249484795453562
NA,NA,NA,NA
-1.50376405352485,0.126619801448449,0.253880898580981,0.249484795453562
-0.207132003447711,NA,NA,NA
NA,NA,NA,NA
1.24458046901525,-1.09737161255322,NA,NA
0.72777979203569,NA,NA,NA
0.0140260078767347,0.126619801448449,0.253880898580981,0.249484795453562
-0.138526744714246,-1.09737161255322,0.253880898580981,0.249484795453562
-2.17371173482986,NA,NA,NA
0.353139993664757,NA,NA,NA
-0.290344577285794,NA,NA,-1.88895630843411
0.421204446814862,-1.09737161255322,0.253880898580981,0.249484795453562
0.6427507224532,NA,1.30567319270219,1.3187053473974
-0.084142521509214,0.126619801448449,-0.797911395540226,0.249484795453562
1.21900478450795,0.126619801448449,0.253880898580981,0.249484795453562
-1.20089697805871,0.126619801448449,0.253880898580981,-0.819735756490274
-1.30020258494193,NA,NA,NA
1.08084343591248,NA,NA,NA
-1.08846385524002,NA,NA,NA
0.53507576019435,NA,NA,NA
0.688686307099566,0.126619801448449,1.30567319270219,0.249484795453562
NA,NA,NA,NA
1.78340106657515,NA,0.253880898580981,NA
-1.65990227022491,1.35061121545012,1.30567319270219,NA
-1.5952509279791,1.35061121545012,1.30567319270219,-0.819735756490274
-0.73199500396801,NA,NA,NA
-0.637122734053868,NA,NA,NA
0.0490605978772117,0.126619801448449,0.253880898580981,0.249484795453562
-0.948899970478991,1.35061121545012,1.30567319270219,1.3187053473974
NA,NA,NA,NA
NA,NA,NA,NA
0.58021897375302,-1.09737161255322,-1.84970368966143,0.249484795453562
-0.16670137236512,-1.09737161255322,0.253880898580981,-1.88895630843411
NA,NA,NA,NA
-1.43085226838507,-2.3213630265549,1.30567319270219,1.3187053473974
-0.569070153888259,0.126619801448449,NA,0.249484795453562
-0.797890351455049,0.126619801448449,-1.84970368966143,-1.88895630843411
NA,NA,NA,NA
-0.966530182878049,NA,NA,NA
0.144012115532647,NA,-1.84970368966143,1.3187053473974
NA,NA,NA,NA
0.31404253925322,NA,NA,NA
0.299704616850555,NA,NA,NA
NA,NA,NA,NA
-1.31947098566749,1.35061121545012,1.30567319270219,0.249484795453562
3.18694147397189,-1.09737161255322,-0.797911395540226,0.249484795453562
-1.87548993796649,NA,NA,-1.88895630843411
0.119985518805502,0.126619801448449,0.253880898580981,0.249484795453562
0.279485349554718,NA,NA,NA
