"PROFICIENCIA_MT_SAEB","TX_RESP_Q10a_num","TX_RESP_Q21b_num","TX_RESP_Q21c_num","TX_RESP_Q21d_num","TX_RESP_Q22a_num","TX_RESP_Q22c_num","TX_RESP_Q22e_num","TX_RESP_Q22g_num","TX_RESP_Q22h_num","TX_RESP_Q23a_num","TX_RESP_Q23c_num","TX_RESP_Q23d_num","TX_RESP_Q23f_num","TX_RESP_Q23g_num","TX_RESP_Q23h_num","TX_RESP_Q23i_num"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.36779068930536,-1.06066017177982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.524341545389753,0.353553390593274,0.613571991077896,0.956182887467515,-0.613571991077896,0,0.214598768819738,0.540061724867322,0.935414346693485,0.836660026534076,0.14978617237882,1.0690449676497,-0.58554004376912,0.14978617237882,-0.952661023244934,0.944911182523068,0.935414346693485
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.665447259516532,1.76776695296637,-0.153392997769474,-1.43427433120127,0.153392997769474,-0.935414346693485,-0.643796306459214,-0.540061724867322,-0.935414346693485,-0.836660026534076,0.14978617237882,-0.801783725737273,-0.58554004376912,0.14978617237882,0.158776837207489,-0.377964473009227,-0.935414346693485
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.21368170788332,-1.06066017177982,1.38053697992527,-0.239045721866879,-0.613571991077896,0.935414346693485,1.07299384409869,-0.540061724867322,0,0.836660026534076,0.14978617237882,1.0690449676497,1.4638501094228,0.14978617237882,-0.952661023244934,-0.377964473009227,-0.935414346693485
-1.10547857244871,-1.06066017177982,-0.920357986616845,-0.239045721866879,1.68732297546422,0.935414346693485,1.07299384409869,-0.540061724867322,0.935414346693485,0.836660026534076,0.14978617237882,-0.801783725737273,-0.58554004376912,0.14978617237882,1.27021469765991,0.944911182523068,0.935414346693485
-0.198633223354664,0.353553390593274,-0.920357986616845,0.956182887467515,-0.613571991077896,0.935414346693485,1.07299384409869,1.62018517460197,0.935414346693485,0.836660026534076,1.34807555140938,1.0690449676497,1.4638501094228,1.34807555140938,1.27021469765991,0.944911182523068,0.935414346693485
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.775901213438755,0.353553390593274,NA,NA,NA,0,-0.643796306459214,0.540061724867322,0,-0.836660026534076,0.14978617237882,-0.801783725737273,-0.58554004376912,0.14978617237882,-0.952661023244934,-1.70084012854152,-0.935414346693485
-0.604908554603998,0.353553390593274,NA,NA,NA,0,-0.643796306459214,0.540061724867322,0,0,0.14978617237882,-0.801783725737273,-0.58554004376912,0.14978617237882,0.158776837207489,-0.377964473009227,-0.935414346693485
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.30724754609328,NA,NA,NA,NA,-1.87082869338697,-1.50219138173817,-1.62018517460197,-1.87082869338697,-1.67332005306815,-2.24679258568229,NA,NA,-2.24679258568229,NA,NA,0.935414346693485
