"metrica","valor"
"n_linhas","151"
"n_colunas_entrada","74"
"n_colunas_validas","74"
"n_degeneradas","1"
"n_somente_na","0"
"n_variancia_zero","0"
"n_near_zero_var","1"
"nzv_aplicado","sim"
