"PROFICIENCIA_LP_SAEB","TX_RESP_Q10f_num","TX_RESP_Q21c_num","TX_RESP_Q22g_num","TX_RESP_Q19_num","TX_RESP_Q20_num"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
-1.47367358580183,-1.0396155986863,-0.624521052740937,-1.42801576494915,2.30883592764632,2.74873708374511
NA,NA,NA,NA,NA,NA
-0.723344193125091,-1.0396155986863,-0.624521052740937,NA,0.875765351865846,2.74873708374511
-1.46824165532126,-1.0396155986863,NA,0.807139345406042,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
0.494129051436421,0.0577564221492389,0.397422488107869,-0.310438209771555,-0.557305223914629,-0.343592135468138
-0.0227247258505279,-1.0396155986863,1.41936602895667,0.807139345406042,-0.557305223914629,-0.343592135468138
-1.91485868739616,0.0577564221492389,-0.624521052740937,-0.310438209771555,-0.557305223914629,-0.343592135468138
0.363235621577015,-1.0396155986863,0.397422488107869,0.807139345406042,0.875765351865846,-0.343592135468138
0.381904937902759,1.15512844298478,-1.64646459358974,0.807139345406042,0.875765351865846,-0.343592135468138
-0.187649560298394,1.15512844298478,-0.624521052740937,0.807139345406042,-0.557305223914629,-0.343592135468138
0.330094276058635,1.15512844298478,1.41936602895667,-1.42801576494915,-0.557305223914629,-0.343592135468138
1.32249079286172,-1.0396155986863,0.397422488107869,-0.310438209771555,-0.557305223914629,-0.343592135468138
-0.347408233918339,1.15512844298478,0.397422488107869,-0.310438209771555,-0.557305223914629,-0.343592135468138
1.59539880960124,1.15512844298478,0.397422488107869,0.807139345406042,-0.557305223914629,-0.343592135468138
1.60789659369914,1.15512844298478,1.41936602895667,0.807139345406042,-0.557305223914629,-0.343592135468138
-0.46257960094661,-1.0396155986863,-1.64646459358974,-2.54559332012675,2.30883592764632,-0.343592135468138
0.153522385839195,0.0577564221492389,0.397422488107869,0.807139345406042,-0.557305223914629,-0.343592135468138
0.120891472212037,1.15512844298478,0.397422488107869,0.807139345406042,-0.557305223914629,-0.343592135468138
0.992061780323869,0.0577564221492389,-1.64646459358974,-0.310438209771555,-0.557305223914629,-0.343592135468138
NA,NA,NA,NA,NA,NA
-0.761145478853838,-1.0396155986863,0.397422488107869,-0.310438209771555,-0.557305223914629,-0.343592135468138
