Termo,Item,Categoria,Coef,SE,t_value,p_valor,Sig,IC_95_inf,IC_95_sup
(Intercept),NA,NA,293.6807769735741,15.913980630505346,18.454262562731817,9.321871619711478e-71,***,262.4725572182673,324.8889967288809
TX_RESP_Q21a_D,TX_RESP_Q21a,D,50.392121556135656,5.109720263840223,9.862011803805348,1.7893538412420196e-22,***,40.371669942892346,60.412573169378966
TX_RESP_Q23d_C,TX_RESP_Q23d,C,-30.175194479544615,4.267039018924799,-7.071694058974907,2.0552796488284266e-12,***,-38.543100316492044,-21.807288642597186
TX_RESP_Q24_B,TX_RESP_Q24,B,-42.36086119661201,6.491692030468128,-6.525395998115037,8.414180924102671e-11,***,-55.091437924993386,-29.63028446823063
TX_RESP_Q23d_D,TX_RESP_Q23d,D,-36.73465031713503,6.962268313448162,-5.276247433064192,1.449570699304284e-7,***,-50.38805385999205,-23.081246774278007
TX_RESP_Q10a_C,TX_RESP_Q10a,C,-20.100822221634832,4.043266240534692,-4.9714317647745725,7.166154252865401e-7,***,-28.0298969323292,-12.171747510940465
TX_RESP_Q25_B,TX_RESP_Q25,B,-17.425992702482834,3.5154743487297506,-4.956939227498384,7.715204942674859e-7,***,-24.32003754057928,-10.531947864386387
TX_RESP_Q10d_C,TX_RESP_Q10d,C,-24.334455535449894,4.954979362359787,-4.911111380262281,9.731295043025084e-7,***,-34.05145145331058,-14.617459617589216
TX_RESP_Q01_B,TX_RESP_Q01,B,-13.61080872515271,2.794094672912101,-4.871276860124092,1.188821894486424e-6,***,-19.0901870525476,-8.131430397757823
TX_RESP_Q23d_B,TX_RESP_Q23d,B,-16.748326904064974,3.6952537314879446,-4.532388875315751,6.148811194133197e-6,***,-23.9949293212398,-9.50172448689015
TX_RESP_Q21a_C,TX_RESP_Q21a,C,15.43973286915005,3.4145265818086035,4.521778495270038,6.462258403910788e-6,***,8.743652334707694,22.135813403592408
TX_RESP_Q19_B,TX_RESP_Q19,B,-17.82588323717017,4.028132479203022,-4.425346814982876,1.0105098753539489e-5,***,-25.725279782462113,-9.926486691878228
TX_RESP_Q12b_C,TX_RESP_Q12b,C,20.805409010116904,4.816785628576335,4.319355398896217,1.6353005600711925e-5,***,11.359418852088131,30.251399168145674
TX_RESP_Q23b_C,TX_RESP_Q23b,C,24.09529136670135,5.605020861163798,4.2988763045742395,1.7925275587727862e-5,***,13.103527154485874,35.087055578916825
TX_RESP_Q24_C,TX_RESP_Q24,C,-23.116809789491384,5.637243891358554,-4.100729050401316,4.2701559283131854e-5,***,-34.171765193832115,-12.061854385150655
TX_RESP_Q23b_D,TX_RESP_Q23b,D,35.90406637731731,8.898933366731129,4.034648299710334,5.6575696745166946e-5,***,18.45275268372017,53.35538007091444
TX_RESP_Q10f_C,TX_RESP_Q10f,C,10.891623840684161,2.707313261135067,4.023037894077224,5.94176704379274e-5,***,5.5824287900127585,16.200818891355564
TX_RESP_Q04_C,TX_RESP_Q04,C,-8.85321568556731,2.2207962692016707,-3.9865051145595873,6.926863894018497e-5,***,-13.208323286248765,-4.498108084885855
TX_RESP_Q21d_C,TX_RESP_Q21d,C,-21.616328764486678,5.5779159802806255,-3.875341407239906,1.0963166455376554e-4,***,-32.55493876603144,-10.677718762941911
TX_RESP_Q16_C,TX_RESP_Q16,C,13.293116559908386,3.4379903586432965,3.866536893126754,1.1363593100741204e-4,***,6.5510222266090095,20.03521089320776
TX_RESP_Q10d_B,TX_RESP_Q10d,B,-19.583621567230242,5.080133220288277,-3.854942521786653,1.1911988248820271e-4,***,-29.54605130784987,-9.621191826610616
TX_RESP_Q21d_D,TX_RESP_Q21d,D,-7.979461389576628,2.111150710770352,-3.7796739706304283,1.6126594812641381e-4,***,-12.119547823513754,-3.839374955639503
TX_RESP_Q10b_C,TX_RESP_Q10b,C,17.877909184995328,4.773104191973336,3.74555183921181,1.8468428228348192e-4,***,8.517580804769702,27.238237565220956
TX_RESP_Q09_E,TX_RESP_Q09,E,25.375180537798453,6.855920572620536,3.701206901249048,2.1991645136413987e-4,***,11.930330954085191,38.820030121511714
TX_RESP_Q13a_B,TX_RESP_Q13a,B,-10.214289248815529,2.7979123231107974,-3.6506823907401773,2.6772322258841974e-4,***,-15.701154205050557,-4.7274242925805
TX_RESP_Q23b_B,TX_RESP_Q23b,B,17.632989091896846,5.018986186588008,3.5132571472335634,4.516968199913493e-4,***,7.79047215684173,27.47550602695196
TX_RESP_Q02_D,TX_RESP_Q02,D,22.12331229188435,6.357762224817858,3.4797325709232787,5.118108058756493e-4,***,9.655379518121538,34.59124506564716
TX_RESP_Q10b_B,TX_RESP_Q10b,B,15.067150344320885,4.342042608984803,3.4700604533781116,5.304941828753591e-4,***,6.552158207887668,23.5821424807541
TX_RESP_Q04_B,TX_RESP_Q04,B,-10.084443265831135,3.0316400150549874,-3.326398654112047,8.944145623331942e-4,***,-16.029661499128267,-4.1392250325340045
TX_RESP_Q12c_B,TX_RESP_Q12c,B,-21.91520564879836,6.705057976577467,-3.268458785196779,0.0010982210119064601,**,-35.064205114336715,-8.766206183260003
TX_RESP_Q10a_B,TX_RESP_Q10a,B,-9.602479920568634,2.9404472238757573,-3.2656528716443876,0.0011091058791234496,**,-15.368863911616794,-3.8360959295204733
TX_RESP_Q24_D,TX_RESP_Q24,D,-21.696041510511513,6.666061396547855,-3.25470172263148,0.001152550320005633,**,-34.76856646803541,-8.623516552987617
TX_RESP_Q23g_C,TX_RESP_Q23g,C,13.814156722636483,4.343647400095134,3.180312638252803,0.0014919024967862268,**,5.296017499701442,22.332295945571524
TX_RESP_Q12c_C,TX_RESP_Q12c,C,-8.39880094770023,2.6644197059946495,-3.152206436847715,0.00164252312909392,**,-13.623879300859603,-3.173722594540858
TX_RESP_Q19_C,TX_RESP_Q19,C,-24.26053841387792,7.729247215191931,-3.138797057259798,0.0017192107262813232,**,-39.4180311390116,-9.103045688744238
TX_RESP_Q22a_B,TX_RESP_Q22a,B,9.240567733517231,3.013614857178185,3.066273618709754,0.0021941530728065636,**,3.33069785844702,15.150437608587442
TX_RESP_Q23e_D,TX_RESP_Q23e,D,18.71320528511454,6.20185734887463,3.0173550006773664,0.0025795243530339815,**,6.55101082675683,30.87539974347225
TX_RESP_Q23h_B,TX_RESP_Q23h,B,-11.025031915062485,3.784123758905597,-2.913496655366003,0.0036105749802363314,**,-18.445913502842416,-3.604150327282553
TX_RESP_Q12b_D,TX_RESP_Q12b,D,20.096488751578153,6.9587093344052455,2.8879620897825276,0.003915834241566501,**,6.450064568735117,33.74291293442119
TX_RESP_Q16_D,TX_RESP_Q16,D,8.013519721048313,2.935321324244468,2.730031514730654,0.006383946840023864,**,2.2571879102717745,13.769851531824852
TX_RESP_Q22f_C,TX_RESP_Q22f,C,11.366566152257212,4.2006045396846075,2.7059357873070917,0.006864476587516687,**,3.128942101846773,19.604190202667652
TX_RESP_Q05c_B,TX_RESP_Q05c,B,-17.332841970574226,6.409236041413148,-2.704353819796684,0.006897134356110858,**,-29.901717821826452,-4.7639661193219975
AREA_LOCAL_Urbana_Interior,NA,NA,3.2274204417249694,1.2024448239579333,2.684048679341214,0.007328886890005835,**,0.8693578563164577,5.585483027133481
TX_RESP_Q15b_B,TX_RESP_Q15b,B,-6.291087961121794,2.3607434081973233,-2.664875792632501,0.0077586772731556425,**,-10.92063984883039,-1.6615360734131963
TX_RESP_Q08_C,TX_RESP_Q08,C,14.73443873857973,5.5968249347284305,2.6326424196605096,0.008532380908970258,**,3.7587472035423932,25.710130273617068
TX_RESP_Q02_C,TX_RESP_Q02,C,6.460864306145678,2.4627049156994287,2.6234829292614372,0.008764487060223045,**,1.6313601119344279,11.290368500356927
TX_RESP_Q06_E,TX_RESP_Q06,E,-16.950937884179673,6.630277953232057,-2.5565953650429707,0.010637673797855837,*,-29.953289477255687,-3.948586291103659
TX_RESP_Q21e_B,TX_RESP_Q21e,B,-8.913159462223692,3.533561161545569,-2.522429655165528,0.011725643542151967,*,-15.842673567383791,-1.9836453570635948
TX_RESP_Q21b_D,TX_RESP_Q21b,D,-6.9728685914986155,2.770157193315794,-2.517138236170744,0.011902698037683046,*,-12.405304162019856,-1.5404330209773756
TX_RESP_Q17_C,TX_RESP_Q17,C,-5.775903377526881,2.326840303597727,-2.482294710383116,0.013128975544450049,*,-10.338969351792604,-1.2128374032611582
TX_RESP_Q13e_B,TX_RESP_Q13e,B,-6.206979020798438,2.6095686305089476,-2.37854599730833,0.017467067604675618,*,-11.324491299993177,-1.0894667416037
TX_RESP_Q12g_C,TX_RESP_Q12g,C,8.842295265846206,3.7972641440673898,2.328596307860453,0.019971804242109575,*,1.3956446365347972,16.288945895157614
TX_RESP_Q11b_B,TX_RESP_Q11b,B,-4.757761522032249,2.0546399325823277,-2.3156181511826084,0.020671858328908558,*,-8.787027110752645,-0.7284959333118532
TX_RESP_Q12f_C,TX_RESP_Q12f,C,10.894490156823423,4.728256277268073,2.304124294023699,0.02130962810952424,*,1.6221110842025936,20.166869229444252
TX_RESP_Q12e_D,TX_RESP_Q12e,D,12.48932596032567,5.492983336052032,2.27368721080121,0.02308200799247276,*,1.7172736973522529,23.26137822329909
TX_RESP_Q08_B,TX_RESP_Q08,B,11.189704741109354,5.3507023856134825,2.091259041279382,0.03662076788655404,*,0.6966735019373953,21.682735980281315
TX_RESP_Q23a_D,TX_RESP_Q23a,D,-20.41252257748706,10.07450251241261,-2.0261568799389513,0.042870712574055274,*,-40.169194125149964,-0.6558510298241558
TX_RESP_Q11a_B,TX_RESP_Q11a,B,4.724650360603781,2.452778241046782,1.9262444038101965,0.05420422440041853,,-0.08538706088780135,9.534687782095364
TX_RESP_Q13i_B,TX_RESP_Q13i,B,4.794209437011483,2.5046253166951784,1.9141423689421866,0.05573324465102354,,-0.11750304416966095,9.705921918192628
TX_RESP_Q13c_B,TX_RESP_Q13c,B,-5.964991011342507,3.1324348407423757,-1.9042665896056838,0.05700748196662085,,-12.107873621848947,0.17789159916393338
TX_RESP_Q12a_B,TX_RESP_Q12a,B,15.037603588344277,8.02960764520121,1.8727694120062397,0.06123446885876123,,-0.7089129972030381,30.784120173891594
TX_RESP_Q15a_B,TX_RESP_Q15a,B,-4.612095505389856,2.476068630925742,-1.8626686868794529,0.0626438079345507,,-9.467806704071794,0.24361569329208255
TX_RESP_Q22h_B,TX_RESP_Q22h,B,6.233774304275006,3.390487077170771,1.8386073040210043,0.06610942443136374,,-0.41516339639337474,12.882712004943386
TX_RESP_Q23g_D,TX_RESP_Q23g,D,10.034144566951033,5.520213899362449,1.8177093768250383,0.06924627788901085,,-0.7913083770702976,20.859597510972364
TX_RESP_Q10f_B,TX_RESP_Q10f,B,6.100147388945527,3.466403400635418,1.7597915429656352,0.07858391267418488,,-0.6976665332483556,12.89796131113941
TX_RESP_Q21c_B,TX_RESP_Q21c,B,9.359213434188307,5.427260244339326,1.724482153578325,0.08476311226849635,,-1.2839521135884997,20.002378981965116
TX_RESP_Q09_F,TX_RESP_Q09,F,-8.036180041064164,4.67982279376554,-1.717197508369326,0.08608564542500344,,-17.21357830204792,1.1412182199195922
TX_RESP_Q22b_B,TX_RESP_Q22b,B,6.106899725245621,3.5708444145715945,1.7102116519905237,0.08736955476591166,,-0.895728956376793,13.109528406868035
TX_RESP_Q22c_C,TX_RESP_Q22c,C,-7.293698473389422,4.287546086351403,-1.7011358773745988,0.08906060776729222,,-15.701819834136067,1.1144228873572226
