"PROFICIENCIA_LP_SAEB","TX_RESP_Q10e_num","TX_RESP_Q21a_num","TX_RESP_Q21b_num","TX_RESP_Q22c_num","TX_RESP_Q22e_num","TX_RESP_Q23a_num","TX_RESP_Q23f_num"
-0.967997041459846,NA,-0.711512473537885,-0.858116330321033,2.28831021418942,1.6601957715884,0.858116330321033,0.176166065854411
0.851588578219566,0.333333333333333,0.474341649025257,1.28717449548155,-0.572077553547355,-0.711512473537885,0.858116330321033,1.93782672439852
NA,NA,NA,NA,NA,NA,NA,NA
0.00495833073605228,0.333333333333333,-1.89736659610103,-0.858116330321033,-0.572077553547355,-0.711512473537885,-2.00227143741574,0.176166065854411
-0.922980448015117,0.333333333333333,-0.711512473537885,-0.858116330321033,0.858116330321033,0.474341649025257,-0.572077553547355,0.176166065854411
0.726168591971723,0.333333333333333,0.474341649025257,-0.143019388386839,-0.572077553547355,1.6601957715884,-0.572077553547355,0.176166065854411
0.6768308167679,0.333333333333333,0.474341649025257,0.572077553547355,-0.572077553547355,-0.711512473537885,0.858116330321033,-1.5854945926897
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
1.4482647503543,0.333333333333333,1.6601957715884,1.28717449548155,-0.572077553547355,-0.711512473537885,-0.572077553547355,0.176166065854411
-1.33993449918189,0.333333333333333,0.474341649025257,1.28717449548155,0.858116330321033,0.474341649025257,0.858116330321033,0.176166065854411
0.625792537223302,0.333333333333333,0.474341649025257,-0.858116330321033,-0.572077553547355,-0.711512473537885,-0.572077553547355,0.176166065854411
-1.102691616616,-2.66666666666667,-0.711512473537885,-0.858116330321033,-0.572077553547355,-0.711512473537885,0.858116330321033,-1.5854945926897
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
