"PROFICIENCIA_MT_SAEB","TX_RESP_Q10c_num","TX_RESP_Q10d_num","TX_RESP_Q21a_num","TX_RESP_Q21b_num","TX_RESP_Q21d_num","TX_RESP_Q21e_num","TX_RESP_Q22d_num","TX_RESP_Q23a_num","TX_RESP_Q23b_num","TX_RESP_Q23d_num","TX_RESP_Q23e_num","TX_RESP_Q23f_num"
-1.46703240439692,0.572077553547355,0.572077553547355,-0.711512473537885,-0.858116330321033,-0.398526698493043,0.774596669241483,0.707106781186547,0.858116330321033,0,0,-1.16189500386223,0.176166065854411
1.33083396060179,0.572077553547355,0.572077553547355,0.474341649025257,1.28717449548155,0.9298956298171,-1.16189500386223,-0.707106781186547,0.858116330321033,1.5,0,0.774596669241483,1.93782672439852
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.61451543850493,0.572077553547355,0.572077553547355,-1.89736659610103,-0.858116330321033,0.9298956298171,0.774596669241483,-0.707106781186547,-2.00227143741574,-1.5,1.5,0.774596669241483,0.176166065854411
0.483080365726916,0.572077553547355,0.572077553547355,-0.711512473537885,-0.858116330321033,0.9298956298171,-1.16189500386223,0.707106781186547,-0.572077553547355,0,0,0.774596669241483,0.176166065854411
1.54712749043423,0.572077553547355,0.572077553547355,0.474341649025257,-0.143019388386839,0.9298956298171,-1.16189500386223,2.12132034355964,-0.572077553547355,0,1.5,-1.16189500386223,0.176166065854411
-1.3065880001876,-0.858116330321033,-0.858116330321033,0.474341649025257,0.572077553547355,-1.06273786264811,0.774596669241483,-0.707106781186547,0.858116330321033,-1.5,-1.5,-1.16189500386223,-1.5854945926897
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.370903514745767,0.572077553547355,0.572077553547355,1.6601957715884,1.28717449548155,-1.06273786264811,0.774596669241483,0.707106781186547,-0.572077553547355,0,0,0.774596669241483,0.176166065854411
-0.268414669837772,0.572077553547355,0.572077553547355,0.474341649025257,1.28717449548155,0.9298956298171,-1.16189500386223,-0.707106781186547,0.858116330321033,1.5,0,0.774596669241483,0.176166065854411
0.23840702238839,-0.858116330321033,-0.858116330321033,0.474341649025257,-0.858116330321033,-1.06273786264811,0.774596669241483,-0.707106781186547,-0.572077553547355,0,0,0.774596669241483,0.176166065854411
-0.313801840969861,-2.28831021418942,-2.28831021418942,-0.711512473537885,-0.858116330321033,-1.06273786264811,0.774596669241483,-0.707106781186547,0.858116330321033,0,-1.5,-1.16189500386223,-1.5854945926897
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
