"PROFICIENCIA_LP_SAEB","TX_RESP_Q10c_num","TX_RESP_Q21e_num","TX_RESP_Q22e_num","TX_RESP_Q22f_num","TX_RESP_Q23c_num","TX_RESP_Q23f_num","TX_RESP_Q23g_num","TX_RESP_Q23h_num","TX_RESP_Q23i_num"
0.838854855021242,0.50395263067897,-0.282038037408883,-0.769800358919501,-0.384900179459751,1.76383420737639,1.8490006540841,1.16666666666667,0.843274042711568,1.05409255338946
2.25481063000442,0.50395263067897,-1.41019018704442,-0.769800358919501,-1.539600717839,-0.50395263067897,0.18490006540841,1.16666666666667,0.843274042711568,1.05409255338946
-0.214195566651796,0.50395263067897,NA,1.539600717839,0.769800358919501,-0.50395263067897,0.18490006540841,-0.333333333333333,0.843274042711568,-0.843274042711568
-0.559771036234976,-1.76383420737639,0.846114112226649,-0.769800358919501,0.769800358919501,-0.50395263067897,-1.47920052326728,-0.333333333333333,-1.05409255338946,-0.843274042711568
-1.01168780487699,0.50395263067897,-1.41019018704442,0.384900179459751,-0.384900179459751,-0.50395263067897,0.18490006540841,-0.333333333333333,-1.05409255338946,-0.843274042711568
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.0802303140613002,0.50395263067897,-0.282038037408883,-0.769800358919501,-1.539600717839,-0.50395263067897,0.18490006540841,-1.83333333333333,0.843274042711568,-0.843274042711568
-0.28549270772213,-1.76383420737639,0.846114112226649,-0.769800358919501,0.769800358919501,-0.50395263067897,-1.47920052326728,-0.333333333333333,-1.05409255338946,-0.843274042711568
-0.856837952699893,0.50395263067897,0.846114112226649,0.384900179459751,0.769800358919501,-0.50395263067897,0.18490006540841,-0.333333333333333,-1.05409255338946,1.05409255338946
-0.0854501027785759,0.50395263067897,0.846114112226649,1.539600717839,0.769800358919501,1.76383420737639,0.18490006540841,1.16666666666667,0.843274042711568,1.05409255338946
