"PROFICIENCIA_LP_SAEB","TX_RESP_Q10a_num","TX_RESP_Q10e_num","TX_RESP_Q10f_num","TX_RESP_Q21a_num","TX_RESP_Q21c_num","TX_RESP_Q21e_num","TX_RESP_Q22a_num","TX_RESP_Q23d_num","TX_RESP_Q23e_num","TX_RESP_Q23h_num"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.16428044657635,-1.4638501094228,0.377964473009227,-1.73205080756888,-1.58113883008419,-1.29099444873581,0.597614304667197,0.58554004376912,0.207019667802706,0.256776295506548,-1.70084012854152
0.143188455213385,-1.4638501094228,0.377964473009227,0,1.58113883008419,0.645497224367903,-1.79284291400159,-1.4638501094228,0.207019667802706,0.256776295506548,-0.377964473009227
0.383989239631038,0.58554004376912,0.377964473009227,0,0,0.645497224367903,0.597614304667197,0.58554004376912,0.207019667802706,1.15549332977946,0.944911182523068
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.07656322742998,0.58554004376912,0.377964473009227,0,NA,NA,NA,0.58554004376912,1.65615734242165,1.15549332977946,0.944911182523068
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.17858444079751,0.58554004376912,0.377964473009227,0,0,0.645497224367903,0.597614304667197,0.58554004376912,0.207019667802706,-1.54065777303929,-0.377964473009227
1.2123409011592,0.58554004376912,-2.26778683805536,1.73205080756888,0,0.645497224367903,-0.597614304667197,-1.4638501094228,-1.24211800681624,-0.641940738766369,0.944911182523068
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.677259362794801,0.58554004376912,0.377964473009227,0,0,-1.29099444873581,0.597614304667197,0.58554004376912,-1.24211800681624,-0.641940738766369,-0.377964473009227
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
