"Variavel","Metodo","Correlacao_Matematica","Correlacao_Portugues","Status_Calculo"
"TX_RESP_Q21e_num","Spearman",0.474294911145448,0.112975826474559,"OK"
"TX_RESP_Q22a_num","Spearman",-0.646299466764847,-0.403752298459504,"OK"
"TX_RESP_Q22h_num","Spearman",-0.486850707333007,-0.455006384337641,"OK"
"TX_RESP_Q23b_num","Spearman",-0.516259784234813,-0.372165666786321,"OK"
"TX_RESP_Q23d_num","Spearman",-0.378911885498672,-0.356530235024125,"OK"
"TX_RESP_Q23f_num","Spearman",-0.431603821890475,-0.242867610037631,"OK"
"TX_RESP_Q23g_num","Spearman",-0.52944783972365,-0.440776611998922,"OK"
"TX_RESP_Q23i_num","Spearman",-0.371906139025979,-0.414782536006418,"OK"
"TX_RESP_Q20_num","Spearman",0.308666041661089,0.163411433820577,"OK"
